map_order,relative_time_min,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalized_force
2,0.0,1,0,1,110.0,True,604.745323587619,0.04211054389664156
2,0.0,1,0,1,115.0,True,604.745323587619,0.02887110740512814
2,0.0,1,0,1,120.0,True,604.745323587619,0.015053109039788183
2,0.0,1,0,1,125.0,True,604.745323587619,0.019020203157277978
2,0.0,1,0,1,130.0,True,604.745323587619,-0.008392457888928846
2,0.0,1,0,1,135.0,True,604.745323587619,0.0033091352923979712
2,0.0,1,0,1,140.0,True,604.745323587619,-0.026473603396710437
2,0.0,1,0,1,145.0,True,604.745323587619,-0.012099226751096929
2,0.0,1,0,1,150.0,True,604.745323587619,-0.03591024725585841
2,0.0,1,0,1,155.0,True,604.745323587619,-0.017769219567670337
2,0.0,1,0,1,160.0,True,604.745323587619,-0.024174851896664604
2,0.0,1,0,1,165.0,True,604.745323587619,-0.014147516567138587
2,0.0,1,0,1,170.0,True,604.745323587619,-0.010563539359505733
2,0.0,1,0,1,175.0,True,604.745323587619,-0.005552331456485662
2,0.0,1,0,1,180.0,True,604.745323587619,0.00898040493470567
2,0.0,1,0,1,185.0,True,604.745323587619,0.020575620347446238
2,0.0,1,0,1,190.0,True,604.745323587619,0.015171163758412607
2,0.0,1,0,1,195.0,True,604.745323587619,-0.007901743884250434
2,0.0,1,0,1,200.0,True,604.745323587619,0.0
2,0.0,2,0,2,20.0,True,446.9379716919815,1.0
2,0.0,2,0,2,25.0,True,446.9379716919815,0.8168702882729166
2,0.0,2,0,2,30.0,True,446.9379716919815,0.6512296755456564
2,0.0,2,0,2,35.0,True,446.9379716919815,0.5295809150921352
2,0.0,2,0,2,40.0,True,446.9379716919815,0.46973583472878133
2,0.0,2,0,2,45.0,True,446.9379716919815,0.37850459351236754
2,0.0,2,0,2,50.0,True,446.9379716919815,0.3463831656701458
2,0.0,2,0,2,55.0,True,446.9379716919815,0.28418100223169923
2,0.0,2,0,2,60.0,True,446.9379716919815,0.20969043825005398
2,0.0,2,0,2,65.0,True,446.9379716919815,0.18905960944464917
2,0.0,2,0,2,70.0,True,446.9379716919815,0.17405062018160483
2,0.0,2,0,2,75.0,True,446.9379716919815,0.14245314565046607
2,0.0,2,0,2,80.0,True,446.9379716919815,0.10951467672220468
2,0.0,2,0,2,85.0,True,446.9379716919815,0.11266150056848681
2,0.0,2,0,2,90.0,True,446.9379716919815,0.07392117149565942
2,0.0,2,0,2,95.0,True,446.9379716919815,0.07135997919318111
2,0.0,2,0,2,100.0,True,446.9379716919815,0.07502042803295476
2,0.0,2,0,2,105.0,True,446.9379716919815,0.03731993316270733
