metric,dataset,Moran_I_rook_neighbors,Moran_permutation_p_two_sided,horizontal_neighbor_Spearman_rho,horizontal_neighbor_p_naive,vertical_neighbor_Spearman_rho,vertical_neighbor_p_naive,finite_pixels,variance,Moran_BH_q_across_spatial_tests
fit_RMSE_pN,map2,0.41811359639021767,0.0002,0.48004101161995905,0.00018116343564613486,0.30553656869446344,0.02202615974899515,64,10.82245767701895,0.0002745098039215686
fit_RMSE_pN,map3,0.3947445127402596,0.0002,0.42112098427887906,0.0012290951042625102,0.19794941900205057,0.1436254807895265,64,27.25035467590001,0.0002745098039215686
fit_RMSE_pN,map4,0.4554847262394983,0.0002,0.6511961722488039,5.4991907252414515e-08,0.3599453178400547,0.006433688146560741,64,22.967139097693213,0.0002745098039215686
fit_RMSE_pN,map5,0.11589240404035916,0.1504,0.2210526315789474,0.10158438546187003,0.039644565960355434,0.7717431427348935,64,3.838041140214244,0.16196923076923078
fit_RMSE_pN,map5_minus_map2,0.2543814270977205,0.003,0.3302118933697881,0.012937026532900665,0.14859876965140123,0.2743882382152509,64,12.239054653381247,0.00375
contact_height_nm,map2,0.7790503156493622,0.0002,0.8285714285714285,3.2299595198407446e-15,0.8185235816814765,1.3107369369283436e-14,64,2499.130676080511,0.0002745098039215686
contact_height_nm,map3,0.809734441233831,0.0002,0.8922077922077922,2.749907831093487e-20,0.8407382091592619,5.220456368645512e-16,64,3298.320344972217,0.0002745098039215686
contact_height_nm,map4,0.8145618987803142,0.0002,0.9041695146958306,1.3440610536968226e-21,0.8609706083390294,1.749534451922693e-17,64,3799.567221767054,0.0002745098039215686
contact_height_nm,map5,0.819462960907347,0.0002,0.9078605604921395,4.884989240746222e-22,0.8741626794258374,1.4139367223204016e-18,64,3910.9120227100893,0.0002745098039215686
contact_height_nm,map5_minus_map2,0.8324285779690691,0.0002,0.9100478468899522,2.6277284060289356e-22,0.9247436773752564,2.5771294244559433e-24,64,735.8985694845273,0.0002745098039215686
local_contact_InvOLS_nm_per_V,map2,0.36303314760139044,0.0002,0.44237867395762137,0.0006407161781189299,0.17259056732740943,0.20337682372164106,64,33.01925920909309,0.0002745098039215686
local_contact_InvOLS_nm_per_V,map3,0.47864539238568,0.0002,0.5412850307587149,1.6509054379330765e-05,0.4023923444976077,0.0021091689108734477,64,34.06023891778876,0.0002745098039215686
local_contact_InvOLS_nm_per_V,map4,0.3677744176368791,0.0002,0.3869446343130554,0.0032189694293077034,0.3872863978127137,0.0031896857401271204,64,25.11590249810377,0.0002745098039215686
local_contact_InvOLS_nm_per_V,map5,0.4379593736121728,0.0002,0.48174982911825015,0.0001704696170425431,0.49166097060833913,0.00011901923929513565,64,27.4423666048589,0.0002745098039215686
local_contact_InvOLS_nm_per_V,map5_minus_map2,0.07852639713647883,0.3034,0.1303485987696514,0.33829848851470923,0.013192071086807929,0.9231250678102066,64,32.478917618564566,0.31698507462686565
far_slope_pN_per_100nm,map2,0.48279765669987995,0.0002,0.7118933697881066,7.689022963564388e-10,0.24415584415584415,0.06976414120930634,64,23.024726340451085,0.0002745098039215686
far_slope_pN_per_100nm,map3,0.5369409849099323,0.0002,0.6892002734107997,4.2811085309380664e-09,0.3773069036226931,0.0041490319655394185,64,35.775937789828674,0.0002745098039215686
far_slope_pN_per_100nm,map4,0.43187817612469503,0.0002,0.6195488721804512,3.561863367473604e-07,0.2019822282980178,0.13547910923118492,64,23.126413909321954,0.0002745098039215686
far_slope_pN_per_100nm,map5,0.12076083699379604,0.1336,0.17040328092959675,0.20925106386461673,0.013328776486671225,0.922330874180167,64,10.713623417421667,0.146125
far_slope_pN_per_100nm,map5_minus_map2,0.4401381201143308,0.0002,0.6624060150375941,2.6899308232289095e-08,0.21941216678058786,0.10421282910696661,64,39.05577555676261,0.0002745098039215686
force_20nm_pN,map2,0.6073397516805679,0.0002,0.7127136021872864,7.204262606413019e-10,0.6706083390293918,1.563446551553483e-08,64,67649.82913435005,0.0002745098039215686
force_20nm_pN,map3,0.5859572491438775,0.0002,0.7232399179767601,3.0603062092298953e-10,0.6999316473000685,1.938783036506514e-09,64,96870.26286797241,0.0002745098039215686
force_20nm_pN,map4,0.46877414836340475,0.0002,0.6243335611756664,2.7214212015890774e-07,0.6498974709501026,5.962821043070803e-08,64,54621.23656544042,0.0002745098039215686
force_20nm_pN,map5,0.4062202480309998,0.0002,0.40615174299384826,0.001897155087818131,0.5098427887901573,5.979175440989795e-05,64,31285.997062076913,0.0002745098039215686
force_20nm_pN,map5_minus_map2,0.14860504812913247,0.0596,0.23766233766233766,0.07777300682096099,0.16308954203691048,0.22975718264662912,64,43912.65718276423,0.06953333333333332
force_50nm_pN,map2,0.5527247143958246,0.0002,0.6679425837320574,1.8684332980947728e-08,0.4524948735475051,0.00046286781568043216,64,12367.155990801375,0.0002745098039215686
force_50nm_pN,map3,0.5967171248526193,0.0002,0.7276144907723855,2.1194130754467303e-10,0.5395762132604238,1.7764281113025966e-05,64,18356.483434907837,0.0002745098039215686
force_50nm_pN,map4,0.4785988945139552,0.0002,0.5898838004101162,1.717132363524239e-06,0.32077922077922083,0.015933859425278737,64,8598.86345743957,0.0002745098039215686
force_50nm_pN,map5,0.1120557094341642,0.1582,0.09022556390977444,0.5084143671981084,0.13786739576213264,0.3109242590785323,64,3464.3472681422436,0.1677878787878788
force_50nm_pN,map5_minus_map2,0.443524921407497,0.0002,0.5927546138072454,1.4847945983289652e-06,0.29405331510594673,0.027824852365792727,64,15150.986374050508,0.0002745098039215686
force_100nm_pN,map2,0.49721761986412644,0.0002,0.6821599453178401,7.069478867745164e-09,0.35269993164730007,0.007673498349743106,64,8144.463764795112,0.0002745098039215686
force_100nm_pN,map3,0.574312654462085,0.0002,0.7289815447710185,1.886809042851194e-10,0.408339029391661,0.0017827502136327545,64,15179.124123953776,0.0002745098039215686
force_100nm_pN,map4,0.47565746774441225,0.0002,0.6503759398496242,5.7878889885250815e-08,0.2538619275461381,0.05903421570308603,64,8605.680723288642,0.0002745098039215686
force_100nm_pN,map5,0.14576747183301586,0.0806,0.144771018455229,0.28707828406177194,0.12030075187969926,0.37715130977792033,64,3774.4342929483873,0.09249180327868853
force_100nm_pN,map5_minus_map2,0.4348273716900096,0.0002,0.6184552289815448,3.785466506484354e-07,0.2645933014354067,0.04876355258107961,64,13585.428828044955,0.0002745098039215686
force_200nm_pN,map2,0.4963978908897995,0.0002,0.7017771701982228,1.6859481601513766e-09,0.3084757347915243,0.020718271704078514,64,6393.99615121888,0.0002745098039215686
force_200nm_pN,map3,0.5311812326886493,0.0002,0.6948051948051949,2.842683144942655e-09,0.40129870129870127,0.0021746875857544604,64,8393.108527131631,0.0002745098039215686
force_200nm_pN,map4,0.3834670277805155,0.0002,0.5796308954203692,2.8537174626695888e-06,0.20410116199589884,0.13134033105829446,64,4696.350978865448,0.0002745098039215686
force_200nm_pN,map5,0.1330562717326133,0.1054,0.14976076555023923,0.27061076416628393,0.06684894053315106,0.6244757403080881,64,2837.083552809778,0.11899999999999998
force_200nm_pN,map5_minus_map2,0.44644185483099597,0.0002,0.6655502392344499,2.189120633811368e-08,0.26971975393028025,0.04439942155793668,64,10632.08884656224,0.0002745098039215686
model_free_local_decay_30_80nm,map2,0.610854534195501,0.0002,0.7149609300552695,1.2540176181102537e-09,0.4541642843529635,0.0005614646121902917,63,67.59034036296646,0.0002745098039215686
model_free_local_decay_30_80nm,map3,0.5890945649801244,0.0002,0.6743047830923248,4.392270180978965e-05,0.44783092324805335,0.013077845710969184,44,344.79454813045373,0.0002745098039215686
model_free_local_decay_30_80nm,map4,0.6615421384481585,0.0002,0.675187969924812,0.0010889426257988844,0.4466165413533834,0.04837283310926692,32,385.20458789858856,0.0002745098039215686
model_free_local_decay_30_80nm,map5,0.10193683302460838,0.3834,0.18333333333333335,0.6368198117628943,0.2606060606060606,0.4670890543863402,22,393.42713261489035,0.3889565217391304
model_free_local_decay_30_80nm,map5_minus_map2,0.12656757238769867,0.3118,0.5952380952380953,0.11952980613879259,-0.07878787878787878,0.8287173946974606,21,419.9504613694568,0.3209705882352941
model_free_normalized_force_50nm,map2,0.5339297394611459,0.0002,0.6596035543403964,3.225527229489051e-08,0.504647983595352,7.30789931883752e-05,64,0.005417260526147556,0.0002745098039215686
model_free_normalized_force_50nm,map3,0.6467979542092737,0.0002,0.7998632946001368,1.424755341688942e-13,0.4189336978810663,0.0013112049171759563,64,0.027807850141181586,0.0002745098039215686
model_free_normalized_force_50nm,map4,0.5915475326626713,0.0002,0.7984962406015038,1.6801841780308342e-13,0.46712235133287766,0.00028405926280586005,64,0.056502602254083836,0.0002745098039215686
model_free_normalized_force_50nm,map5,0.30529755747678294,0.0014,0.41857142857142854,0.0027614459626014052,0.08897959183673468,0.543196880620026,60,0.018129290750763274,0.001849056603773585
model_free_normalized_force_50nm,map5_minus_map2,0.4350987505683268,0.0002,0.4943877551020408,0.00030547630432138043,0.2542857142857142,0.07787378025652536,60,0.03283522049599227,0.0002745098039215686
best_discrete_contact_offset_nm,map2,0.17010309278350516,0.0454,0.35716467891011294,0.006887083603647067,-0.21928064515410944,0.10442581250275212,64,63.12698412698413,0.05386440677966103
best_discrete_contact_offset_nm,map3,0.29845825046268737,0.0018,0.4673511091477371,0.00028184922700823207,0.10849064559780099,0.42608333246761476,64,69.7609126984127,0.0023333333333333335
best_discrete_contact_offset_nm,map4,0.3552026444380569,0.0002,0.592409862117619,1.5110564183130798e-06,0.13744517521946278,0.31242271537452987,64,63.111111111111114,0.0002745098039215686
best_discrete_contact_offset_nm,map5,0.25393002699412476,0.0036,0.3950347872167787,0.0025860792255682054,-0.018103484096536504,0.8946447172362642,64,42.84126984126984,0.004421052631578947
best_discrete_contact_offset_nm,map5_minus_map2,0.26395437011638256,0.0044,0.48955658120016327,0.00012857196864449292,-0.07922622013965175,0.5616338650851211,64,137.55555555555554,0.005310344827586207
