map_order,relative_time_min,point_index,row,column,best_discrete_contact_offset_nm,best_offset_at_search_boundary,lambda_D_nm_with_profiled_contact_offset,zeta_magnitude_mV_with_profiled_contact_offset,baseline_pN_with_profiled_contact_offset,rmse_pN_with_profiled_contact_offset,rss_improvement_vs_zero_offset_pN2,zero_offset_lambda_D_nm,zero_offset_zeta_magnitude_mV
3,27.161,22,2,6,10.0,True,23.036510285681896,44.5,-38.17899183467799,12.709239974953375,1739.5189887287825,21.62186346530268,35.5
3,27.161,23,2,7,10.0,True,20.94745836293309,47.5,168.69625402144106,13.353200071749628,2370.7032112858597,20.294088553975286,38.5
3,27.161,24,3,7,10.0,True,18.453731477822707,50.5,151.93409339356566,10.608743045626351,469.91555194197826,17.320508075688775,38.5
3,27.161,25,3,6,10.0,True,19.66109792896721,49.0,132.2175371700995,15.883099129255687,1332.7613380542061,18.453731477822707,38.5
3,27.161,26,3,5,5.0,False,28.75737120051241,29.5,34.273605317234384,15.473170176906017,589.655219616363,29.683217073187816,28.0
3,27.161,27,3,4,10.0,True,28.75737120051241,23.5,-59.26749656078678,5.869081457245096,218.4304405389962,29.683217073187816,20.5
3,27.161,28,3,3,5.0,False,19.66109792896721,17.5,-161.32706967115828,8.332600122194249,205.9363751132487,19.047850843082976,16.0
3,27.161,29,3,2,10.0,True,20.94745836293309,20.5,-207.40491057827242,11.508630518563104,14.113820785485586,20.294088553975286,16.0
3,27.161,30,3,1,-10.0,True,21.62186346530268,14.5,-29.091069436314225,8.178158171364036,240.0943438890672,21.62186346530268,17.5
3,27.161,31,3,0,-10.0,True,26.149526485552656,17.5,-92.62021658459194,9.46753941831978,159.8246570815354,25.333899557064026,20.5
3,27.161,32,4,0,-10.0,True,43.416257570305966,23.5,92.00550454052807,12.416157715576189,757.2455230530995,38.24769311355391,25.0
3,27.161,33,4,1,-10.0,True,54.19820188053225,23.5,4.454212259079171,7.232625937557691,302.75124312058506,50.86994977074026,25.0
3,27.161,34,4,2,-10.0,True,44.81404746557166,20.5,-59.13381667767359,7.423833324791512,329.90865596180674,42.062065981861544,22.0
3,27.161,35,4,3,-10.0,True,37.0547136355806,19.0,-73.19745297272877,10.044250070191538,402.7507845716659,38.24769311355391,22.0
3,27.161,36,4,4,-10.0,True,44.81404746557166,22.0,58.69204545224693,13.73469429797301,847.5552940115222,40.750112830372316,23.5
3,27.161,37,4,5,10.0,True,26.149526485552656,28.0,136.29452836520272,17.709363292362458,250.9099516500828,24.54371275602257,23.5
3,27.161,38,4,6,10.0,True,17.320508075688775,43.0,156.99175078952885,8.100349890532224,10.750242424972384,16.25687467927739,32.5
3,27.161,39,4,7,-10.0,True,14.7826298876199,32.5,71.50645465002493,12.487116320433918,641.6636625684769,15.258557842693115,44.5
3,27.161,40,5,7,-2.0,False,16.780266063679814,44.5,-23.70213256134899,20.07600314930565,462.61301531251775,16.780266063679814,47.5
3,27.161,41,5,6,-5.0,False,12.223089594559632,22.0,100.1671671812613,17.223209051385243,100.37917490532345,12.223089594559632,26.5
3,27.161,42,5,5,-5.0,False,15.258557842693115,25.0,166.7206175211554,6.727831544213167,521.5760493391813,15.258557842693115,29.5
3,27.161,43,5,4,-10.0,True,57.744210488143835,20.5,102.60062175345736,17.02031807151456,1405.7244540808952,35.89894424582464,19.0
3,27.161,44,5,3,-10.0,True,108.82887575664789,31.0,23.365043221991698,9.270893040078422,1038.7098605702622,79.27318278510033,26.5
3,27.161,45,5,2,-10.0,True,272.7946824821739,64.0,-51.14659904061946,10.307707156889137,1263.1953718139212,300.0,70.0
3,27.161,46,5,1,-10.0,True,256.04266034843863,62.5,-43.00656298783301,12.023319761246503,1621.6761764605044,135.85531569916466,41.5
3,27.161,47,5,0,10.0,True,20.294088553975286,26.5,146.59241123499515,13.897278963991791,354.9590153187646,20.294088553975286,20.5
3,27.161,48,6,0,-2.0,False,12.223089594559632,31.0,163.30468153492956,16.902592046117206,68.62214258503445,13.02280581041226,32.5
3,27.161,49,6,1,10.0,True,11.841840586928083,32.5,90.17418405427921,12.856703319124016,15.916357095033163,11.114646149663537,22.0
3,27.161,50,6,2,10.0,True,11.114646149663537,28.0,93.80900876853478,13.029767529406985,175.65439389935545,11.114646149663537,17.5
3,27.161,51,6,3,10.0,True,12.223089594559632,34.0,56.15438011307805,12.346479827763423,163.35847149370784,12.616612944575133,22.0
3,27.161,52,6,4,-2.0,False,13.44207608814922,28.0,35.39842822780553,12.799679311998208,131.4114043873924,13.874844806111179,29.5
3,27.161,53,6,5,10.0,True,11.841840586928083,38.5,-1.5604581586247335,18.757247185697693,115.008452168031,11.841840586928083,25.0
3,27.161,54,6,6,-2.0,False,16.780266063679814,29.5,-81.15824673639108,21.281135966412037,206.22365358084062,17.320508075688775,31.0
3,27.161,55,6,7,10.0,True,19.66109792896721,62.5,-61.69590022304952,16.121169994527968,1594.1329979803413,19.047850843082976,47.5
3,27.161,56,7,7,10.0,True,26.149526485552656,34.0,60.70926579932767,9.056533793706288,952.5292343411629,24.54371275602257,28.0
3,27.161,57,7,6,10.0,True,21.62186346530268,58.0,104.37059353595112,21.07868054246063,2293.561969110342,20.294088553975286,46.0
3,27.161,58,7,5,10.0,True,20.94745836293309,49.0,-44.28269810679744,8.764624793739936,642.2074118670757,20.294088553975286,38.5
