map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
3,27.161,40,5,7,20_60nm,-3.8191961998244124,9,-0.054246611590097846,8.123286749729566,0.9987564883950784,18.434331116499443,negative_log_slope
3,27.161,41,5,6,20_60nm,123.59425180744232,5,-0.0726989062416484,7.348712301959153,0.9880033229355245,13.755365131299747,negative_log_slope
3,27.161,42,5,5,20_60nm,169.04841969217134,9,-0.055879709182330636,7.301407031244521,0.9986281119595374,17.89558347086394,negative_log_slope
3,27.161,43,5,4,20_60nm,114.61066373284069,8,-0.03384212255463167,6.009227029273853,0.95835754086136,29.548974015612945,negative_log_slope
3,27.161,44,5,3,20_60nm,89.13160165720755,9,-0.020945639795361744,5.521783471308554,0.9687549620432613,47.74263330077139,negative_log_slope
3,27.161,45,5,2,20_60nm,147.38313369454775,9,-0.018592026206031224,5.610291968591841,0.9076672347814186,53.7864990570851,negative_log_slope
3,27.161,46,5,1,20_60nm,167.807798154944,9,-0.022033979458627253,5.679082118928346,0.9137503188504672,45.384448228141416,negative_log_slope
3,27.161,47,5,0,20_60nm,142.2362629739476,9,-0.03731824652274089,6.289879606194153,0.9748307219630856,26.796543063474935,negative_log_slope
3,27.161,48,6,0,20_60nm,187.4372390951574,6,-0.07295637913038693,7.785722237022457,0.99738855773033,13.706820594986079,negative_log_slope
3,27.161,49,6,1,20_60nm,97.91459159396122,5,-0.076898069312114,7.117639971741524,0.9375332134222301,13.004227660660744,negative_log_slope
3,27.161,50,6,2,20_60nm,109.43425775391881,4,nan,nan,nan,nan,insufficient_positive_signal
3,27.161,51,6,3,20_60nm,71.05981672333382,6,-0.07628482925221959,7.153637336427504,0.9989039516913085,13.108766314383589,negative_log_slope
3,27.161,52,6,4,20_60nm,50.88666919267025,8,-0.0675179267182576,7.54242084096621,0.9940704651585951,14.81088132597515,negative_log_slope
3,27.161,53,6,5,20_60nm,22.619889723629637,5,-0.089608254579062,7.638299621825409,0.9701023112516259,11.159686177323016,negative_log_slope
3,27.161,54,6,6,20_60nm,-61.51352443854408,9,-0.05456284968218885,7.402823756407279,0.9928587696774032,18.3274884985788,negative_log_slope
3,27.161,55,6,7,20_60nm,-59.20803594577027,9,-0.045727894610890614,7.950142049779301,0.9950626294545687,21.868489868366666,negative_log_slope
3,27.161,56,7,7,20_60nm,61.34718320293639,9,-0.03524119038727841,6.784857481992093,0.9941560304981196,28.37588597350521,negative_log_slope
3,27.161,57,7,6,20_60nm,95.07603375166931,9,-0.041338333186127674,7.797745094597711,0.9931150389339267,24.19062218830778,negative_log_slope
3,27.161,58,7,5,20_60nm,-40.70313733943451,9,-0.042824748725040905,7.530973257485083,0.9986040614436115,23.350983479682863,negative_log_slope
3,27.161,59,7,4,20_60nm,-159.3208743070241,9,-0.05681891173464025,7.92550104068858,0.9969367433129163,17.599773903982385,negative_log_slope
3,27.161,60,7,3,20_60nm,-138.39114688125866,9,-0.05390571047907414,7.495127931557279,0.9963276808016653,18.550910304543592,negative_log_slope
3,27.161,61,7,2,20_60nm,-53.99541416657032,8,-0.06385946311333639,7.457059558190458,0.969138083301184,15.659386271776537,negative_log_slope
3,27.161,62,7,1,20_60nm,-122.26434499259642,6,-0.06859357890963906,7.326190120612073,0.9883137727705852,14.578624062134711,negative_log_slope
3,27.161,63,7,0,20_60nm,-61.19407415720376,6,-0.07289027887768645,7.2893775691158975,0.9915231010107154,13.71925056944905,negative_log_slope
4,53.33301666666667,0,0,0,20_60nm,-109.04420392510272,8,-0.06758219344655372,8.174118839439995,0.999287707146818,14.79679704078906,negative_log_slope
4,53.33301666666667,1,0,1,20_60nm,-7.058557712902179,6,-0.08131662044541815,7.5648939844593475,0.9730374913197348,12.297608957706576,negative_log_slope
4,53.33301666666667,2,0,2,20_60nm,23.637196516220417,5,-0.08769158941280314,7.6031788963299185,0.9975728551535367,11.403602177770518,negative_log_slope
4,53.33301666666667,3,0,3,20_60nm,73.60815327138101,4,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,4,0,4,20_60nm,-18.093107197879988,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,5,0,5,20_60nm,-90.70059024378241,2,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,6,0,6,20_60nm,-84.84426002104006,6,-0.06122489721409936,6.591380292462223,0.9858714309010457,16.333224643939655,negative_log_slope
4,53.33301666666667,7,0,7,20_60nm,-45.10731867945871,9,-0.040063224882819735,6.99123116002569,0.993030146548295,24.960546808822393,negative_log_slope
