map_order,relative_time_min,point_index,row,column,best_lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,best_zeta_magnitude_mV,zeta_profile_low_mV,zeta_profile_high_mV,profile_grid_points,profile_log_lambda_zeta_correlation,profile_lambda_hits_grid_boundary,profile_zeta_hits_grid_boundary,profile_status
2,0.0,53,6,5,23.036510285681896,21.62186346530268,24.54371275602257,34.0,34.0,34.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,54,6,6,23.77817258228512,21.62186346530268,25.333899557064026,34.0,34.0,34.0,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,55,6,7,26.149526485552656,24.54371275602257,27.860403281929248,35.5,35.5,35.5,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,56,7,7,19.66109792896721,19.047850843082976,20.294088553975286,46.0,46.0,46.0,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,57,7,6,24.54371275602257,23.036510285681896,26.149526485552656,37.0,37.0,37.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,58,7,5,24.54371275602257,23.036510285681896,25.333899557064026,37.0,37.0,37.0,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,59,7,4,23.036510285681896,21.62186346530268,24.54371275602257,46.0,44.5,46.0,6,0.0,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,60,7,3,22.317981094042864,20.94745836293309,23.77817258228512,40.0,40.0,41.5,9,0.18898223650461363,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,61,7,2,24.54371275602257,21.62186346530268,26.9914125884324,34.0,32.5,34.0,13,0.37115374447904476,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,62,7,1,26.9914125884324,23.036510285681896,29.683217073187816,29.5,28.0,29.5,13,0.5544159532159298,False,False,diagnostic_correlated_distance_bins_not_formal_CI
2,0.0,63,7,0,23.77817258228512,20.94745836293309,26.9914125884324,28.0,28.0,29.5,12,0.3560344974581563,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,0,0,0,18.453731477822707,17.320508075688775,19.66109792896721,40.0,40.0,41.5,7,-0.5960395606792703,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,1,0,1,15.258557842693115,14.321546547664008,16.25687467927739,31.0,31.0,31.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,2,0,2,13.44207608814922,11.472483074052871,15.258557842693115,25.0,23.5,26.5,16,-0.6674526227228146,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,3,0,3,12.616612944575133,11.472483074052871,15.258557842693115,25.0,23.5,25.0,15,-0.49999999999999933,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,4,0,4,13.02280581041226,11.114646149663537,14.7826298876199,23.5,22.0,25.0,15,-0.805629233294362,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,5,0,5,13.44207608814922,10.767970476385223,15.258557842693115,20.5,20.5,22.0,17,-0.5806513267897978,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,6,0,6,17.878143222611804,16.25687467927739,19.66109792896721,25.0,23.5,25.0,12,-0.2669889430725818,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,7,0,7,28.75737120051241,26.9914125884324,30.638870628004046,32.5,32.5,32.5,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,8,1,7,20.294088553975286,19.66109792896721,20.94745836293309,46.0,46.0,46.0,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,9,1,6,20.94745836293309,19.66109792896721,22.317981094042864,25.0,25.0,25.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,10,1,5,17.320508075688775,16.25687467927739,17.878143222611804,25.0,25.0,25.0,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,11,1,4,15.258557842693115,14.321546547664008,16.25687467927739,22.0,22.0,22.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,12,1,3,11.472483074052871,10.432107924894561,14.321546547664008,20.5,19.0,22.0,16,-0.7082073371539963,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,13,1,2,11.114646149663537,8.096135972076024,13.02280581041226,17.5,16.0,20.5,31,-0.8173071384345051,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,14,1,1,13.02280581041226,11.472483074052871,15.258557842693115,20.5,19.0,22.0,15,-0.6524101729952976,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,15,1,0,15.749808336458166,14.321546547664008,16.780266063679814,25.0,25.0,25.0,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,16,2,0,17.320508075688775,14.321546547664008,19.66109792896721,20.5,20.5,22.0,17,-0.45392064950160166,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,17,2,1,14.7826298876199,13.02280581041226,17.320508075688775,17.5,17.5,19.0,11,-0.42712109808862475,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,18,2,2,12.223089594559632,9.791483623609768,16.25687467927739,16.0,14.5,17.5,26,-0.7783124149117011,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,19,2,3,11.472483074052871,8.356791719157386,13.874844806111179,16.0,14.5,19.0,31,-0.8301938043227538,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,20,2,4,16.780266063679814,13.44207608814922,19.047850843082976,19.0,19.0,20.5,18,-0.5023310149673527,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,21,2,5,20.94745836293309,19.66109792896721,22.317981094042864,28.0,28.0,28.0,5,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,22,2,6,21.62186346530268,20.294088553975286,23.036510285681896,35.5,35.5,37.0,7,0.18136906252750243,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,23,2,7,20.294088553975286,19.66109792896721,20.94745836293309,38.5,37.0,38.5,5,-0.32732683535398965,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,24,3,7,17.320508075688775,16.780266063679814,17.878143222611804,38.5,38.5,38.5,3,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,25,3,6,18.453731477822707,17.878143222611804,19.66109792896721,38.5,38.5,38.5,4,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,26,3,5,29.683217073187816,25.333899557064026,32.64347032328333,28.0,26.5,28.0,12,0.6391872270970738,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,27,3,4,29.683217073187816,21.62186346530268,37.0547136355806,20.5,19.0,20.5,29,0.3795639010066896,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,28,3,3,19.047850843082976,13.02280581041226,28.75737120051241,16.0,14.5,16.0,46,-0.07270047139068565,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,29,3,2,20.294088553975286,15.749808336458166,26.9914125884324,16.0,16.0,16.0,18,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,30,3,1,21.62186346530268,17.320508075688775,26.9914125884324,17.5,17.5,19.0,28,0.12186202904854761,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,31,3,0,25.333899557064026,20.294088553975286,31.625291525678737,20.5,20.5,22.0,22,0.48176165092774237,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,32,4,0,38.24769311355391,30.638870628004046,57.744210488143835,25.0,23.5,29.5,36,0.8798613717870202,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,33,4,1,50.86994977074026,34.77922432862523,84.4597642353182,25.0,22.0,32.5,62,0.926786174138234,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,34,4,2,42.062065981861544,30.638870628004046,65.5474176783434,22.0,20.5,26.5,48,0.8721686543691382,False,False,diagnostic_correlated_distance_bins_not_formal_CI
3,27.161,35,4,3,38.24769311355391,27.860403281929248,54.19820188053225,22.0,20.5,25.0,36,0.8308180329817529,False,False,diagnostic_correlated_distance_bins_not_formal_CI
