map_order,relative_time_min,point_index,row,column,rmse_pN,mean_residual_pN,median_residual_pN,lag1_residual_Pearson_rho,Durbin_Watson,residual_sign_runs,runs_test_z,runs_test_p_naive_correlated_bins
2,0.0,48,6,0,14.229193526041112,-1.3346681117655935e-14,2.6080773074781334,0.5486138962945207,0.888663589936882,14,-1.8309104232915465,0.0671139143096102
2,0.0,49,6,1,10.894805757918698,-1.1522314633947571e-14,-0.3664310983030532,0.34786229751949405,1.2247721692394797,11,-2.812891634063097,0.004909819436614774
2,0.0,50,6,2,8.46641882195026,2.4965015040219738e-15,-0.7067318740776329,0.26613142206219614,1.4090900527585695,13,-2.0941828477415783,0.03624369511073487
2,0.0,51,6,3,12.186742419804604,4.4168872763465686e-15,-1.831858969607154,0.471991016259913,0.9675085520851028,12,-2.43402830987508,0.014931827188895736
2,0.0,52,6,4,11.78234236822111,-2.381278357682498e-14,-2.1089022458588147,0.5754572411253774,0.8256390719613235,9,-3.484356088645901,0.0004933226775485019
2,0.0,53,6,5,7.803888738625464,-1.4210854715202004e-14,1.5590734715484018,0.5855926489037111,0.8233125175541801,7,-4.133255620542589,3.5766055975310964e-05
2,0.0,54,6,6,11.162298702315328,9.601928861622975e-15,-0.2951863250818034,0.4117963539482272,1.0363768557733353,11,-2.832048635042096,0.004625081325014471
2,0.0,55,6,7,15.641117926192528,5.761157316973786e-16,0.07976046991523589,0.7543853981917189,0.47708755333333597,6,-4.500612321293013,6.77579882394268e-06
2,0.0,56,7,7,16.724691204110755,-8.142435674656283e-14,0.09191291956133796,0.4801044218167523,0.8921896135508006,10,-3.1657613722922795,0.001546776282088043
2,0.0,57,7,6,15.051911858127966,-2.458093788575482e-14,1.1357010577789026,0.5881168193290979,0.761012976820393,8,-3.752145162010069,0.00017532789009653597
2,0.0,58,7,5,14.82710644195449,5.233051229584522e-15,2.1622445068793645,0.5045403134879017,0.876754319823214,10,-3.1137192341420836,0.0018474520055344445
2,0.0,59,7,4,22.56335150254976,-8.641735975460678e-15,0.8699721429098997,0.7842291326950539,0.41486291765235933,6,-4.491552770520107,7.070577646318873e-06
2,0.0,60,7,3,14.813101321528347,1.5363086178596762e-15,-1.129367409225992,0.7381510617986055,0.4645016681373189,8,-3.7934101584090874,0.00014859240887383818
2,0.0,61,7,2,11.929833878862967,-2.1700359227267924e-14,2.723599622151113,0.6651764013573672,0.6595861927496097,13,-1.9193048768793046,0.05494576119147972
2,0.0,62,7,1,12.743445622640994,3.8407715446491904e-16,4.125245322288514,0.6404154086247636,0.6858517556112685,11,-2.51810376016943,0.011798855703493982
2,0.0,63,7,0,11.49939011375999,-6.241253760054934e-15,-2.144943386870036,0.5564652392550798,0.8184941136993513,10,-3.1137192341420836,0.0018474520055344445
3,27.161,0,0,0,20.050528116125008,-5.3770801625088666e-15,-2.203191221486975,0.6387026593814384,0.6051816800134626,9,-3.499474109542463,0.0004661768742750613
3,27.161,1,0,1,22.21709544427406,-6.145234471438705e-15,-3.8607389308218387,0.8513783228486816,0.2805167928393674,4,-5.1630172251029105,2.430007692604888e-07
3,27.161,2,0,2,31.485505683709405,4.6089258535790285e-15,-2.3075177627640144,0.9415969115681756,0.11625924136625253,6,-4.491552770520107,7.070577646318873e-06
3,27.161,3,0,3,28.039468321611775,9.217851707158057e-15,-5.9527723027808825,0.8623120314569612,0.2641433125922916,4,-5.114947496883346,3.138282354465501e-07
3,27.161,4,0,4,25.204363888941476,9.601928861622975e-15,0.5127502976678073,0.9287417220112042,0.1410218095017063,6,-4.500612321293013,6.77579882394268e-06
3,27.161,5,0,5,23.518131859943214,-7.681543089298381e-15,1.7193061677517534,0.9107564570958651,0.1756243656452089,5,-4.827284997811509,1.3840698370691208e-06
3,27.161,6,0,6,16.729520749616917,-1.574716333306168e-14,-5.891713574954252,0.845826478813089,0.2947036512066029,4,-5.152792006943095,2.5663655673628154e-07
3,27.161,7,0,7,13.988309050450315,-3.4566943901842714e-15,-0.18709130295623666,0.5384015025593512,0.856801622597563,13,-2.16462316054173,0.030416555859351053
3,27.161,8,1,7,21.4553242326248,-5.185041585276407e-14,-0.4919860455851506,0.7785086055244482,0.4283956698982157,6,-4.500612321293013,6.77579882394268e-06
3,27.161,9,1,6,10.454274420463094,-2.1124243495570545e-14,0.49932928986103775,0.5204806700670598,0.9042943248568059,10,-3.1657613722922795,0.001546776282088043
3,27.161,10,1,5,12.31472024433057,-1.1522314633947571e-15,-0.8461447334329772,0.7031392187545724,0.5748998546879432,10,-3.148623861354499,0.001640411890005108
3,27.161,11,1,4,14.791439700645265,3.4566943901842714e-15,-0.05224406503171508,0.812392068288317,0.35454176920740216,5,-4.834325058543196,1.335981315156415e-06
3,27.161,12,1,3,19.088097704158006,2.4965015040219738e-15,-3.0372099949710574,0.8617648293356887,0.26948639251911305,6,-4.491552770520107,7.070577646318873e-06
3,27.161,13,1,2,18.575317906202454,3.8407715446491904e-16,-0.7886915072161571,0.9208474514678429,0.1565976053629213,6,-4.500612321293013,6.77579882394268e-06
3,27.161,14,1,1,21.17473604547549,1.9203857723245952e-16,-1.0856455662798687,0.9372276421591527,0.12620227511961055,4,-5.16803779579338,2.365644775139772e-07
3,27.161,15,1,0,20.847874776752235,-3.0726172357193523e-14,-0.29120224824356455,0.8556156913408095,0.275465702993931,10,-3.1657613722922795,0.001546776282088043
3,27.161,16,2,0,16.930368731319355,-1.8051626259851193e-14,1.0634021356545915,0.8359867802453911,0.3104334472472995,3,-5.4926374690765964,3.959751053431338e-08
3,27.161,17,2,1,12.363341171281972,5.761157316973786e-15,0.3747107716463347,0.7403824777256035,0.513457351455777,6,-4.500612321293013,6.77579882394268e-06
3,27.161,18,2,2,11.748329199177606,2.669336223531187e-14,-1.355730638026234,0.7995354063236255,0.38727578945359836,12,-2.43402830987508,0.014931827188895736
3,27.161,19,2,3,13.164805338456489,-1.3442700406272166e-14,-2.466362954723195,0.6571371328597765,0.651325147074522,10,-3.1137192341420836,0.0018474520055344445
