map_order,relative_time_min,distance_nm,residual_mean_pN,residual_median_pN,residual_q25_pN,residual_q75_pN,residual_std_pN,one_sample_t_p_naive_pixels,exact_physical_row_signflip_p,exact_row_signflip_BH_q_across_distance_tests
2,0.0,75.0,5.673231273871842,5.113550295151121,0.1644210504444743,10.500630390614266,8.089942509305613,4.826550875891175e-07,0.0234375,0.13444767441860464
2,0.0,80.0,4.901757710112252,5.27938525817564,0.22274091907510396,9.250334182106961,8.271532975686258,1.258115171082204e-05,0.046875,0.1371822033898305
2,0.0,85.0,6.414149042512403,7.44167241411143,1.759319191673848,12.984244223438779,9.107522994003004,4.4003257593464673e-07,0.0234375,0.13444767441860464
2,0.0,90.0,5.062053065688209,4.6142837236672065,-0.8428291854549919,10.980399527526835,9.540903801413052,7.334637160063186e-05,0.03125,0.13444767441860464
2,0.0,95.0,5.722366782616047,6.711199393344575,-1.3369599957917728,14.513029700507492,10.543939110546464,5.228391618610624e-05,0.015625,0.13444767441860464
2,0.0,100.0,5.7825929442574235,5.620654373007901,1.1494097378316148,11.449325777591353,8.447601435513889,8.069990357918206e-07,0.015625,0.13444767441860464
2,0.0,105.0,4.730374127099999,4.798944647059638,-2.8942867356649735,12.031265693553681,9.712047987660384,0.00023894697884710396,0.109375,0.19984567901234568
2,0.0,110.0,4.362360746737216,3.1551705678301545,-2.090401075174334,10.700489987074224,9.577280687805242,0.0005449591466473122,0.0390625,0.13444767441860464
2,0.0,115.0,4.384814710132217,4.056478461817269,-0.8665515264552912,11.838711072105767,10.842705633352859,0.0019380203909633998,0.0546875,0.1371822033898305
2,0.0,120.0,2.4560007669458868,2.5300182077911417,-1.5133419959735495,7.210049972183418,9.368726024448211,0.03999592742829205,0.03125,0.13444767441860464
2,0.0,125.0,3.1730330979479215,3.4124425888827794,-1.3013452578050426,9.435408850840272,8.443169795371121,0.003792611591996752,0.0546875,0.1371822033898305
2,0.0,130.0,1.9893507139163178,2.4457293088196153,-4.088872401483851,8.138397837610047,8.665469040068034,0.07099086027324798,0.171875,0.25956632653061223
2,0.0,135.0,0.49756414698213414,0.13010219472721474,-4.22406118258149,4.3798850394621205,8.558372012257786,0.6434623054310687,0.5546875,0.6620463709677419
2,0.0,140.0,-0.4375126456840466,-0.5606319981230481,-7.000702218648204,6.030441906099911,9.878900065930218,0.7242966999484565,0.859375,0.8894230769230769
2,0.0,145.0,-0.4962157194901143,-0.6282229198514386,-5.327501032348245,4.311214356372509,7.224601010966841,0.5846232184908315,0.765625,0.8151978417266187
2,0.0,150.0,-0.5658722155189424,-0.16855922210236685,-5.206254472393709,5.011215769758575,8.528203758936458,0.5974069376428279,0.75,0.8102189781021898
2,0.0,155.0,-0.7686923615267124,-0.20414664931856308,-5.580210504985097,3.0587686309578297,8.312890831056091,0.46219379266649796,0.4765625,0.5877604166666667
2,0.0,160.0,-0.909617864606775,-0.8713974012492542,-5.462390656998696,3.817731397705087,6.6636175818900325,0.2789737548696497,0.1953125,0.2890625
2,0.0,165.0,-2.666617576234617,-2.917900703413345,-6.915863792939447,1.9130551563166982,7.6305479162081244,0.006856124332286858,0.0390625,0.13444767441860464
2,0.0,170.0,-3.281727332148528,-2.724626639495085,-10.394827173382573,3.4932484473148104,8.882618333191724,0.0043854079078817455,0.046875,0.1371822033898305
2,0.0,175.0,-3.8421735507797647,-3.2656860251173754,-9.413250885610825,2.175637932679461,8.791470055641774,0.0008702493006016004,0.1015625,0.19984567901234568
2,0.0,180.0,-3.105565097729305,-3.1431360984794345,-10.59480021263246,3.0654119746261834,9.973944997181999,0.015387778548924905,0.09375,0.19006849315068494
2,0.0,185.0,-3.9427631648721624,-4.969016040631935,-13.081655437233419,3.9951079057840637,11.707879243938997,0.009035496961802298,0.3515625,0.4564144736842105
2,0.0,190.0,-5.08008805886215,-3.690492610088569,-12.385440953105148,3.131322031595225,12.818218527212148,0.0023500753697999212,0.171875,0.25956632653061223
2,0.0,195.0,-5.406110595136703,-6.3886566761582415,-15.791651246827056,3.7737619238434323,14.345808340672859,0.003703713433376778,0.2265625,0.32241586538461536
2,0.0,200.0,-4.678100143055563,-3.2723792816060886,-14.967107795819079,5.219327659075963,13.941673643811406,0.009273812369679682,0.1640625,0.25831117021276595
3,27.161,20.0,8.875850149066672,3.625005886551847,-5.459536488090322,25.591114256027325,20.487682987486643,0.0009571483946231077,0.1171875,0.20647321428571427
3,27.161,25.0,0.1637622433601732,1.3061105996856774,-9.840601600266506,8.908320785482488,12.743171987592339,0.918442036349054,0.3359375,0.43998893805309736
3,27.161,30.0,-3.2048629752236155,-1.1590599208523429,-11.26330315658748,6.642842379881817,14.415456212371994,0.08013507424530134,0.8671875,0.8912760416666666
3,27.161,35.0,-2.5143899054403316,-1.5985332868856545,-8.251824131350716,6.5644061606382,17.11637973117199,0.24433837780743473,0.90625,0.925
3,27.161,40.0,-1.8667492479279795,-0.6664782095699167,-8.122150698928799,8.312317799199196,12.702147570957605,0.24413627454567272,0.734375,0.7991727941176471
3,27.161,45.0,-1.9139130459349585,-1.960905029342623,-8.887960380888678,7.1598123425861235,10.289347078131028,0.14172015852017722,0.3984375,0.5040064102564102
3,27.161,50.0,-1.460535827051928,-0.20578645563741915,-8.274471211797206,5.328921454320264,11.196548664900392,0.3006762420023542,0.6953125,0.7622685185185185
3,27.161,55.0,-2.049212751557087,-2.625016938196352,-10.167991441384565,5.074333505102366,10.342614479790303,0.1179591209619283,0.1640625,0.25831117021276595
3,27.161,60.0,-2.0268506409467415,-0.8684140504661677,-10.084948757884874,5.192253853222269,12.193975900796453,0.1883989160456273,0.0546875,0.1371822033898305
3,27.161,65.0,-3.4158092666817343,-2.854477940339912,-10.015026906124803,1.4372456535309492,11.718854672071176,0.02291996756466298,0.0546875,0.1371822033898305
3,27.161,70.0,-4.18154968617846,-3.600385688219216,-16.109908944509577,5.562351623873409,12.637848279426501,0.010246036280641914,0.1484375,0.24409722222222222
3,27.161,75.0,-4.384740766298144,-0.8959311696671151,-16.211036012584664,5.264333447804757,13.8947191858009,0.014115903917906068,0.109375,0.19984567901234568
3,27.161,80.0,-6.13504891161213,-5.047447777382175,-15.456310592656827,5.32670513306774,16.984390839832667,0.00528188363291502,0.0625,0.14453125
3,27.161,85.0,-3.827179251023936,-4.944179924645356,-15.915157455372388,9.050081833802897,16.232777551836776,0.06388623731122403,0.1328125,0.22336647727272727
3,27.161,90.0,-6.918157816595528,-6.721438995999179,-19.603907884971854,3.8945660066429086,17.16244739488997,0.0019995228260046923,0.0390625,0.13444767441860464
3,27.161,95.0,-5.812983541673463,-7.748384648990218,-19.19759203169107,7.6482840956427,16.918141787032802,0.007795048779016927,0.125,0.21511627906976744
3,27.161,100.0,-6.607717281862353,-9.453191218718583,-19.440332958844863,6.554754840131963,17.08398524602252,0.002941623858473622,0.0703125,0.15303308823529413
3,27.161,105.0,-7.145466909998875,-6.681079343673235,-18.83145920687697,4.652941482593535,15.926022483902353,0.0006487321831393067,0.1171875,0.20647321428571427
3,27.161,110.0,-7.157262728063146,-7.941672217661669,-18.05488019367852,3.2335964344424397,15.733741803877342,0.0005532873968537716,0.0625,0.14453125
3,27.161,115.0,-5.944152173099809,-5.787484447172078,-15.062189343988072,3.96067036434607,14.94938586780679,0.0022786550948460786,0.0703125,0.15303308823529413
3,27.161,120.0,-4.544214390071819,-6.036556036260125,-14.01431844394526,3.9321572607456297,12.595766939887787,0.00533468288783639,0.1328125,0.22336647727272727
3,27.161,125.0,-4.037407538818786,-4.321452488886095,-15.459546850125818,5.759589391859535,13.706800272491199,0.021573946601455344,0.1640625,0.25831117021276595
3,27.161,130.0,-2.21937190811399,-3.0899852613594643,-8.501838346780119,5.359052663703345,10.995107061068731,0.11135026811259062,0.1484375,0.24409722222222222
3,27.161,135.0,-2.283479945423746,-2.8137897839402886,-8.230193237776755,4.997249155591284,10.273598459013776,0.08020734232716721,0.375,0.47844827586206895
3,27.161,140.0,-0.22911626928756879,0.21033085613466795,-7.388812147896619,8.276868944161642,10.387190975299317,0.8604981204703479,0.5703125,0.67525
3,27.161,145.0,-0.6815575946466471,-0.7593827123973966,-7.047247306240833,4.959721686422307,8.63680741783877,0.5301249756957838,0.859375,0.8894230769230769
3,27.161,150.0,0.35592126865962237,-0.6407835140791036,-5.012910785652707,7.345171364526287,9.774443262075032,0.7717730103634541,0.9296875,0.9424229452054794
3,27.161,155.0,4.652304291779844,4.650302518129305,-2.691697028717144,12.803492551542693,10.163851651548393,0.0005144965293748847,0.0390625,0.13444767441860464
3,27.161,160.0,3.901568113185387,4.457946210193938,-3.602987468277231,11.073292192363233,11.182043677797603,0.006939808471392808,0.09375,0.19006849315068494
3,27.161,165.0,4.613470698047113,4.086996571667591,-2.8688967802866117,13.035867658327934,10.924980873934603,0.0012551420883282524,0.0546875,0.1371822033898305
3,27.161,170.0,6.238416789095927,5.371241422310121,-3.7192213186692733,16.218330943384576,13.763440132432535,0.0005769991285337641,0.0546875,0.1371822033898305
3,27.161,175.0,7.187156339717413,7.223515069038413,-4.719342518118621,18.112056413208286,15.571913230891255,0.0004663097836146563,0.0390625,0.13444767441860464
3,27.161,180.0,8.113739830114977,6.527703200198431,-4.596401684473612,22.33095229426977,18.595607987938006,0.0008858416028217396,0.1171875,0.20647321428571427
3,27.161,185.0,10.044715285370724,11.774260553366826,-5.955571425243315,25.498596569163727,20.33687457036307,0.00019903797387571504,0.0625,0.14453125
3,27.161,190.0,10.505749272940882,13.126036402667971,-1.8989281566271856,25.19705698719039,21.730306555053097,0.0002628942919826837,0.0625,0.14453125
3,27.161,195.0,12.085885353628393,12.26303910075509,-2.1940564576561403,30.099256145166116,23.60593863048528,0.00012219725738138614,0.0234375,0.13444767441860464
3,27.161,200.0,13.823190738565696,17.021431825430355,-5.20263465912139,32.56969566546527,25.825771306191267,6.440092638017658e-05,0.0546875,0.1371822033898305
4,53.33301666666667,20.0,2.246508534620191,-3.6936835318253927,-8.857241226570473,6.957741941497105,16.857055308214502,0.2904268583536965,0.671875,0.742070895522388
4,53.33301666666667,25.0,2.209790958215987,3.232005078761887,-4.29717429285963,8.9231197543571,11.646361168683399,0.13403527989114794,0.09375,0.19006849315068494
4,53.33301666666667,30.0,1.0747617650404437,1.5710119982978428,-4.873470161377657,8.270095135826399,11.048211151142818,0.43934414606470085,0.65625,0.7357954545454546
4,53.33301666666667,35.0,-3.413854284166249,-1.8542292691748972,-11.110457955150821,4.660298101104695,13.301689891459771,0.04421215414944451,0.6171875,0.7080910852713178
4,53.33301666666667,40.0,0.11789366716383276,-0.008774758181928632,-6.060757498115752,6.537508393344524,8.860813260250632,0.9155710812061653,0.8359375,0.8837053571428571
4,53.33301666666667,45.0,-2.04598241590584,-2.4778637566419732,-9.137147483740907,5.579676321416989,9.428332434251757,0.08744724545749293,0.03125,0.13444767441860464
4,53.33301666666667,50.0,-3.0260433971577374,-3.2035464546882935,-7.50145765259565,1.273378073238225,7.9908005482256685,0.003549303486944214,0.046875,0.1371822033898305
4,53.33301666666667,55.0,-4.994691189331731,-5.898883350745862,-11.509418372356006,1.7953287613076583,11.402456106299264,0.0008486427474606646,0.0078125,0.13444767441860464
4,53.33301666666667,60.0,-7.1977826223583445,-7.703214324760785,-13.851816812696082,-0.9444168610593504,11.012931966756025,2.065859449463868e-06,0.0078125,0.13444767441860464
4,53.33301666666667,65.0,-6.53037389915843,-6.796077099687385,-16.333254968007424,5.414603675803051,12.211910372270673,6.529092444376834e-05,0.0234375,0.13444767441860464
4,53.33301666666667,70.0,-7.955105528917663,-7.349173638762077,-18.330696997619608,1.7306073418781658,14.998464123171955,7.368975221131725e-05,0.0078125,0.13444767441860464
4,53.33301666666667,75.0,-7.058537898766104,-9.487397371469463,-18.754331080231985,4.179145283251095,15.188429239297768,0.00042941688876521313,0.0234375,0.13444767441860464
4,53.33301666666667,80.0,-7.06538948556568,-9.592222651946841,-18.93175811574806,3.7580781865901898,15.089133759596129,0.0003919722696943799,0.0390625,0.13444767441860464
4,53.33301666666667,85.0,-8.149631446559425,-8.759523398069241,-22.334284692257672,2.3645161369255625,16.733579894717025,0.00023920029985254008,0.03125,0.13444767441860464
4,53.33301666666667,90.0,-7.872812922932458,-7.143209934073845,-20.803408334043326,2.7501406136565194,15.781830582277333,0.00017435141851018029,0.0390625,0.13444767441860464
4,53.33301666666667,95.0,-7.7261985934378306,-10.41092700209991,-18.420145561248493,5.43738928418578,14.112610044556364,4.575907121151453e-05,0.046875,0.1371822033898305
4,53.33301666666667,100.0,-6.921234965577808,-5.735574327508804,-19.231388639932522,3.214559262576298,13.935627421025917,0.00018494254564217698,0.109375,0.19984567901234568
4,53.33301666666667,105.0,-6.834931775060614,-9.114207233753934,-18.08212415170516,4.637513425747786,13.784440954162703,0.00018902276069673185,0.0703125,0.15303308823529413
4,53.33301666666667,110.0,-5.073244680529345,-7.125691327556424,-14.51518514599553,4.285530073085905,11.603971661917138,0.0008666621594305382,0.109375,0.19984567901234568
4,53.33301666666667,115.0,-4.753358484086737,-5.991922379740352,-13.438722365207788,3.5256333976261387,12.358882453252205,0.00309419521732979,0.1015625,0.19984567901234568
4,53.33301666666667,120.0,-3.7478204659473153,-5.184027480476571,-12.273630945818727,5.886945834085896,11.109733392838628,0.008922789695645998,0.2109375,0.30606617647058826
4,53.33301666666667,125.0,-3.4386572331128686,-3.9142307630601145,-9.273043030524605,1.5351218366133086,9.200241564961829,0.003975448611417157,0.0234375,0.13444767441860464
4,53.33301666666667,130.0,-2.8703151362056163,-2.204165331443188,-10.785199769486805,4.719569610344132,9.872215173714855,0.02325160394104817,0.3046875,0.40994318181818185
4,53.33301666666667,135.0,-1.1545826909544175,-1.6835972279950333,-7.817671495093775,4.947090518053527,8.795632064126297,0.2976646216062288,0.515625,0.6255122950819673
4,53.33301666666667,140.0,0.530295237617785,1.4776639114996044,-4.277540042669617,6.626260541483935,8.450057524814987,0.6173817020000554,0.3125,0.4166666666666667
4,53.33301666666667,145.0,1.1874028463005648,1.7976698773748616,-5.321472741210771,6.924029662206587,8.615696641432923,0.27441740947444837,0.2734375,0.37471064814814814
4,53.33301666666667,150.0,0.8606383448115662,0.7742296799251065,-4.40671484121121,7.267767900769762,9.201937088010348,0.4571094547535479,0.1953125,0.2890625
4,53.33301666666667,155.0,4.990022058771256,5.583052128890664,-0.7670183786371094,12.453303694584427,9.911850886899998,0.00015407474944559497,0.015625,0.13444767441860464
4,53.33301666666667,160.0,5.328763041577702,5.927143172038878,-0.8797126659171317,12.4974577400646,9.887934003232035,5.814421569831978e-05,0.0078125,0.13444767441860464
4,53.33301666666667,165.0,7.1207714816592125,7.109420485573649,-1.6560240484749151,16.857479047134625,13.492244229558715,7.924562392192627e-05,0.0234375,0.13444767441860464
4,53.33301666666667,170.0,7.886349158682481,9.331433507979952,-2.1006827588427077,20.93359844233926,14.136053346042967,3.409713115945584e-05,0.046875,0.1371822033898305
4,53.33301666666667,175.0,9.35216035712077,10.309973681269717,-3.7980109281846546,21.335007860621516,15.257723749821,6.936620289216312e-06,0.03125,0.13444767441860464
4,53.33301666666667,180.0,10.285314093023903,10.306716947692756,-3.2792291882710316,21.96049871749254,17.075672311222373,9.471849544825006e-06,0.0390625,0.13444767441860464
4,53.33301666666667,185.0,12.625329614093978,15.593448694803294,-2.2875562758995382,26.113102280590432,19.648145370476616,2.8757643953580486e-06,0.0234375,0.13444767441860464
4,53.33301666666667,190.0,12.532398561886858,14.843545820836944,-4.361343068276156,29.312914307079154,19.828105444828175,3.937977991652133e-06,0.03125,0.13444767441860464
4,53.33301666666667,195.0,14.401864463032165,13.76368707745297,-2.536318177973781,31.846220297983265,22.02845582446074,2.0528809384410174e-06,0.0234375,0.13444767441860464
4,53.33301666666667,200.0,15.080284932113518,20.149138135803156,-5.42436942664091,34.65777083582074,22.130567128492974,8.872509997912025e-07,0.0390625,0.13444767441860464
5,78.6563,20.0,0.21268028839071113,-1.1833864127674047,-3.9774156684324673,4.729875709358954,6.742568105854693,0.8015971468460967,0.7578125,0.8127264492753623
5,78.6563,25.0,0.4081256867996834,1.0104314056702215,-3.153331596481948,4.414192095423157,6.553516611437255,0.6200732399635173,0.4609375,0.573266806722689
5,78.6563,30.0,0.3373753687730549,0.12271979829229451,-3.5417774243126705,5.47299940133381,9.082852845533456,0.7673267887086515,0.25,0.3490566037735849
5,78.6563,35.0,0.3136318764454854,1.4543859946687263,-4.529246828057012,5.037962549732017,8.116893443735359,0.7582539073150539,0.2578125,0.3566004672897196
5,78.6563,40.0,-1.6940212593027746,-2.157049321614986,-6.446157023376205,2.2494575027219788,6.98191647285252,0.05673023638914795,0.0390625,0.13444767441860464
5,78.6563,45.0,0.15172893300147905,1.066024779080756,-4.222614419754205,4.977400434476259,6.901784338676566,0.8609585002808311,0.3203125,0.4232700892857143
5,78.6563,50.0,-0.8482037920550848,-0.9799220636451516,-5.748924172232467,3.4779331972999703,7.411741678944836,0.36340751240990754,0.5390625,0.6486280487804879
5,78.6563,55.0,-1.1797423965039329,-2.0565383094423955,-8.347486179528602,4.170574857437998,9.757555991524107,0.3371205692360736,0.171875,0.25956632653061223
5,78.6563,60.0,-2.8192207661981303,-2.4853077866230002,-8.666458797951046,1.9823891579484272,9.400801195378506,0.0194046730958069,0.0078125,0.13444767441860464
5,78.6563,65.0,-3.401541286043149,-2.7387033036250035,-9.152822316647942,2.6169438968398047,7.8296321259410515,0.0009285250398782372,0.015625,0.13444767441860464
5,78.6563,70.0,-3.6561435515754246,-3.2437795951305484,-9.310188714856412,0.2349822558038177,8.549261706763904,0.001099359285701048,0.015625,0.13444767441860464
5,78.6563,75.0,-2.4875194709919652,-3.2330980841252295,-9.085681293972584,4.925001600809765,9.920420754312833,0.049156787895969306,0.109375,0.19984567901234568
5,78.6563,80.0,-1.924082655747391,-1.611826500905389,-6.927518999091306,3.135094828096282,9.136264681184706,0.09697783807224672,0.0703125,0.15303308823529413
5,78.6563,85.0,-2.619329917811207,-2.9928698777576592,-8.936636056734228,3.1996337834941597,8.744849207136635,0.019545891011088227,0.046875,0.1371822033898305
