metric,dataset,lag_grid_units,pairs,semivariance,semivariance_over_sample_variance
apparent_zeta_magnitude_mV,map5,2.0,96,36.9140625,0.5976311581305844
apparent_zeta_magnitude_mV,map5,2.236068,168,37.526785714285715,0.6075510222519357
apparent_zeta_magnitude_mV,map5,2.828427,72,51.296875,0.8304859649281308
apparent_zeta_magnitude_mV,map5,3.0,80,56.6859375,0.9177337898759566
apparent_zeta_magnitude_mV,map5,3.162278,140,51.37232142857143,0.8317074272498126
apparent_zeta_magnitude_mV,map5,3.605551,120,62.4,1.0102432986710272
apparent_zeta_magnitude_mV,map5,4.0,64,64.65234375,1.0467082855258523
apparent_zeta_magnitude_mV,map5,4.123106,112,65.80245535714286,1.0653283583437985
apparent_zeta_magnitude_mV,map5,4.242641,50,69.345,1.1226814350375383
apparent_zeta_magnitude_mV,map5,4.472136,96,70.875,1.1474518236107223
apparent_zeta_magnitude_mV,map5,5.0,128,75.990234375,1.2302664269516745
apparent_zeta_magnitude_mV,map5,5.09902,84,80.02232142857143,1.2955450956300198
apparent_zeta_magnitude_mV,map5,5.385165,72,78.09375,1.2643219167562587
apparent_zeta_magnitude_mV,map5,5.656854,32,80.75390625,1.3073893049770977
apparent_zeta_magnitude_mV,map5,5.830952,60,82.35,1.333229737909601
apparent_zeta_magnitude_mV,map5,6.0,32,92.8125,1.5026154832997551
apparent_zeta_magnitude_mV,map5,6.082763,56,95.10267857142857,1.5396930082123466
apparent_zeta_magnitude_mV,map5,6.324555,48,83.34375,1.3493183481348308
apparent_zeta_magnitude_mV,map5,6.403124,48,76.7578125,1.242693360557247
apparent_zeta_magnitude_mV,map5,6.708204,40,79.5375,1.2876959353853659
apparent_zeta_magnitude_mV,map5,7.0,16,82.7578125,1.3398321392756152
apparent_zeta_magnitude_mV,map5,7.071068,46,80.46195652173913,1.3026626983020275
apparent_zeta_magnitude_mV,map5,7.211103,32,80.5078125,1.303405097256227
apparent_zeta_magnitude_mV,map5,7.28011,24,77.0625,1.2476261891640392
apparent_zeta_magnitude_mV,map5,7.615773,20,77.11875,1.248536865214524
apparent_zeta_magnitude_mV,map5,7.81025,24,78.28125,1.2673575035912077
apparent_zeta_magnitude_mV,map5,8.062258,16,57.5859375,0.9323046066837117
apparent_zeta_magnitude_mV,map5,8.485281,8,89.015625,1.441144849892038
apparent_zeta_magnitude_mV,map5,8.602325,12,56.90625,0.9213006044070217
apparent_zeta_magnitude_mV,map5,9.219544,8,6.75,0.10928112605816402
apparent_zeta_magnitude_mV,map5,9.899495,2,73.125,1.1838788656301102
apparent_zeta_magnitude_mV,map5_minus_map2,1.0,112,29.8125,0.8926763246278008
apparent_zeta_magnitude_mV,map5_minus_map2,1.414214,98,25.289540816326532,0.7572452611301677
apparent_zeta_magnitude_mV,map5_minus_map2,2.0,96,32.0859375,0.9607499122763045
apparent_zeta_magnitude_mV,map5_minus_map2,2.236068,168,22.064732142857142,0.6606847461025614
apparent_zeta_magnitude_mV,map5_minus_map2,2.828427,72,26.59375,0.7962972245893695
apparent_zeta_magnitude_mV,map5_minus_map2,3.0,80,34.9171875,1.04552609153341
apparent_zeta_magnitude_mV,map5_minus_map2,3.162278,140,23.75357142857143,0.7112536969271642
apparent_zeta_magnitude_mV,map5_minus_map2,3.605551,120,28.9875,0.8679733319965912
apparent_zeta_magnitude_mV,map5_minus_map2,4.0,64,30.0234375,0.8989924306982805
apparent_zeta_magnitude_mV,map5_minus_map2,4.123106,112,33.066964285714285,0.9901248182866308
