model,map_order,relative_time_min,point_index,row,column,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rss_pN2,rmse_pN,r2,aic_correlated_bins_diagnostic,bic_correlated_bins_diagnostic,delta_aic_to_best_same_curve,aic_winner_tie_inclusive
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,22,2,6,20.94745836293309,50.5,-50.5,-31.349061931980046,8584.078896452054,15.231616208943226,0.9919603512073651,207.5296228210047,212.36237655893737,4.905058538262637,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,23,2,7,19.66109792896721,52.0,-52.0,174.8241456634313,10422.227021355804,16.783379021758243,0.9917109760357696,214.7087899029452,219.54154364087788,8.214360023963962,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,24,3,7,16.780266063679814,53.5,-53.5,159.379317086959,6279.191109240422,13.027197235680001,0.9950889863938523,195.9609057676555,200.79365950558818,11.24059755503609,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,25,3,6,17.878143222611804,53.5,-53.5,137.65220415657276,12928.476931600717,18.692733760706805,0.9898023279855687,222.68198107574105,227.51473481367373,7.114766867227729,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,26,3,5,26.9914125884324,38.5,-38.5,40.51165757769793,10461.435866674039,16.814919265643507,0.9714527891725154,214.8477242449851,219.68047798291778,3.769408838812325,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,27,3,4,27.860403281929248,29.5,-29.5,-56.5491285610999,1418.8063733194335,6.192424258545479,0.9878288964699855,140.9261721848918,145.7589259228245,0.0,True
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,28,3,3,19.66109792896721,23.5,-23.5,-158.03596455325112,2574.742083685816,8.34191967615371,0.9517583073243351,162.97570914918236,167.80846288711504,0.0,True
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,29,3,2,20.94745836293309,23.5,-23.5,-202.56227357985082,5036.504599444619,11.667122435756626,0.9218037089051965,187.8013380105383,192.63409174847098,1.4212115455201513,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,30,3,1,21.62186346530268,26.5,-26.5,-24.144167898935876,2389.3208936987576,8.035934318437196,0.9732456852475216,160.21032223931837,165.04307597725105,0.0,True
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,31,3,0,26.149526485552656,31.0,-31.0,-90.08099732684931,3743.962724134522,10.059233655371838,0.9732992894872441,176.82833284349263,181.6610865814253,2.865374844962531,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,32,4,0,39.47908066151966,37.0,-37.0,98.63710925971566,7428.215232150642,14.16907102960209,0.964968233181325,202.17855045226048,207.01130419019316,5.160402108458044,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,33,4,1,46.2568393186441,35.5,-35.5,14.209798963551506,2621.835088460629,8.417862424406401,0.9812235448358337,163.646338611967,168.47909234989967,5.852604951557282,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,34,4,2,40.750112830372316,32.5,-32.5,-52.989555054117055,2671.082329719437,8.49655308444204,0.9777912986321174,164.33488157124677,169.16763530917945,4.4390114580757825,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,35,4,3,34.77922432862523,31.0,-31.0,-67.57621754304995,4728.215463099544,11.304406535099421,0.9635796039474439,185.46425303362173,190.2970067715544,4.955154657484599,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,36,4,4,38.24769311355391,34.0,-34.0,68.66920534012378,8769.053403191861,15.394851195432508,0.9458962508722066,208.3184505512372,213.15120428916987,4.203602191958851,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,37,4,5,23.77817258228512,34.0,-34.0,141.19587686347407,12734.026949300802,18.551627705450628,0.9465869510710029,222.1212573775068,226.95401111543947,2.6468247232568274,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,38,4,6,16.25687467927739,46.0,-46.0,161.175131464104,2962.6273547596306,8.948240586176599,0.9955772329796776,168.1678128504718,173.00056658840447,7.203200977552257,False
