joint_model,held_out_point_index,held_out_row,held_out_column,map_order,training_pixels_per_map,held_out_baseline_fit_window_nm,held_out_prediction_window_nm,selected_lambda_D_nm,selected_zeta_magnitude_mV,held_out_baseline_pN,held_out_shape_RMSE_pN
all_shared_lambda_and_zeta,4,0,4,3,63,150-200,20-145,16.25687467927739,25.0,-45.13669583890946,61.60228143640622
all_shared_lambda_and_zeta,4,0,4,4,63,150-200,20-145,16.25687467927739,25.0,-21.712352348436983,86.59878655625168
all_shared_lambda_and_zeta,4,0,4,5,63,150-200,20-145,16.25687467927739,25.0,-7.894956694069474,96.58612585056825
map_shared_lambda_and_zeta,4,0,4,2,63,150-200,20-145,22.317981094042864,28.0,-97.12035537516702,20.387695347042865
map_shared_lambda_and_zeta,4,0,4,3,63,150-200,20-145,16.780266063679814,28.0,-45.16753283467899,82.12677887248356
map_shared_lambda_and_zeta,4,0,4,4,63,150-200,20-145,13.874844806111179,23.5,-21.673461887629625,67.52150137691613
map_shared_lambda_and_zeta,4,0,4,5,63,150-200,20-145,11.841840586928083,19.0,-7.8479465350531115,42.350848081195096
shared_lambda_map_specific_zeta,4,0,4,2,63,150-200,20-145,18.453731477822707,28.0,-96.62899870722866,14.614593039463013
shared_lambda_map_specific_zeta,4,0,4,3,63,150-200,20-145,18.453731477822707,26.5,-45.24411912806996,77.64236433655384
shared_lambda_map_specific_zeta,4,0,4,4,63,150-200,20-145,18.453731477822707,22.0,-21.772922928732218,71.64308280899358
shared_lambda_map_specific_zeta,4,0,4,5,63,150-200,20-145,18.453731477822707,17.5,-7.916420445286442,49.45097885128391
map_specific_lambda_shared_zeta,4,0,4,2,63,150-200,20-145,22.317981094042864,28.0,-97.12035537516702,20.387695347042865
map_specific_lambda_shared_zeta,4,0,4,3,63,150-200,20-145,16.780266063679814,28.0,-45.16753283467899,82.12677887248356
map_specific_lambda_shared_zeta,4,0,4,4,63,150-200,20-145,9.791483623609768,28.0,-21.664517627181848,66.95382775182276
map_specific_lambda_shared_zeta,4,0,4,5,63,150-200,20-145,6.694329500821696,28.0,-7.84696938324474,37.601149503393195
all_shared_lambda_and_zeta,5,0,5,2,63,150-200,20-145,16.25687467927739,25.0,-97.00212826477944,45.71303137780145
all_shared_lambda_and_zeta,5,0,5,3,63,150-200,20-145,16.25687467927739,25.0,-55.45189076509159,69.41629683153703
all_shared_lambda_and_zeta,5,0,5,4,63,150-200,20-145,16.25687467927739,25.0,-93.60735526186305,102.36449413814357
all_shared_lambda_and_zeta,5,0,5,5,63,150-200,20-145,16.25687467927739,25.0,56.856598192215785,100.33392166475957
map_shared_lambda_and_zeta,5,0,5,2,63,150-200,20-145,22.317981094042864,28.0,-97.6181356223624,25.886325591810525
map_shared_lambda_and_zeta,5,0,5,3,63,150-200,20-145,16.780266063679814,28.0,-55.48272776086112,92.22259136345566
map_shared_lambda_and_zeta,5,0,5,4,63,150-200,20-145,13.874844806111179,23.5,-93.56846480105568,83.2369972455697
map_shared_lambda_and_zeta,5,0,5,5,63,150-200,20-145,11.841840586928083,19.0,56.90360835123215,46.339894428368865
shared_lambda_map_specific_zeta,5,0,5,2,63,150-200,20-145,18.453731477822707,28.0,-97.12677895442404,34.6298944325973
shared_lambda_map_specific_zeta,5,0,5,3,63,150-200,20-145,18.453731477822707,26.5,-55.559314054252084,86.54684701990729
shared_lambda_map_specific_zeta,5,0,5,4,63,150-200,20-145,18.453731477822707,22.0,-93.66792584215827,87.47924284273662
shared_lambda_map_specific_zeta,5,0,5,5,63,150-200,20-145,18.453731477822707,17.5,56.83513444099883,52.53652090672155
map_specific_lambda_shared_zeta,5,0,5,2,63,150-200,20-145,22.317981094042864,28.0,-97.6181356223624,25.886325591810525
map_specific_lambda_shared_zeta,5,0,5,3,63,150-200,20-145,16.780266063679814,28.0,-55.48272776086112,92.22259136345566
map_specific_lambda_shared_zeta,5,0,5,4,63,150-200,20-145,9.791483623609768,28.0,-93.5595205406079,82.01976561620519
map_specific_lambda_shared_zeta,5,0,5,5,63,150-200,20-145,6.694329500821696,28.0,56.90458550304052,42.077588161540746
all_shared_lambda_and_zeta,6,0,6,2,63,150-200,20-145,16.25687467927739,25.0,-53.41213642118899,34.177351280027054
all_shared_lambda_and_zeta,6,0,6,3,63,150-200,20-145,16.25687467927739,25.0,-118.56247484342765,20.350478469517295
all_shared_lambda_and_zeta,6,0,6,4,63,150-200,20-145,16.25687467927739,25.0,-93.69508958935556,51.97433280587062
all_shared_lambda_and_zeta,6,0,6,5,63,150-200,20-145,16.25687467927739,25.0,-34.74134566807231,89.77804457662342
map_shared_lambda_and_zeta,6,0,6,2,63,150-200,20-145,22.317981094042864,28.0,-54.02814377877194,28.77703108995067
map_shared_lambda_and_zeta,6,0,6,3,63,150-200,20-145,16.780266063679814,28.0,-118.5933118391972,39.304069742156805
map_shared_lambda_and_zeta,6,0,6,4,63,150-200,20-145,13.44207608814922,23.5,-93.65357356349215,32.65143472001011
map_shared_lambda_and_zeta,6,0,6,5,63,150-200,20-145,11.841840586928083,19.0,-34.694335509055946,36.31141072480241
shared_lambda_map_specific_zeta,6,0,6,2,63,150-200,20-145,18.453731477822707,28.0,-53.53678711083358,33.35622520645297
shared_lambda_map_specific_zeta,6,0,6,3,63,150-200,20-145,18.453731477822707,26.5,-118.66989813258814,32.35082654801885
shared_lambda_map_specific_zeta,6,0,6,4,63,150-200,20-145,18.453731477822707,22.0,-93.75566016965077,37.442301421019486
shared_lambda_map_specific_zeta,6,0,6,5,63,150-200,20-145,18.453731477822707,17.5,-34.762809419289276,41.36549699932817
map_specific_lambda_shared_zeta,6,0,6,2,63,150-200,20-145,22.317981094042864,28.0,-54.02814377877194,28.77703108995067
map_specific_lambda_shared_zeta,6,0,6,3,63,150-200,20-145,16.780266063679814,28.0,-118.5933118391972,39.304069742156805
map_specific_lambda_shared_zeta,6,0,6,4,63,150-200,20-145,9.48607856330461,28.0,-93.6471961568201,35.386722731864864
map_specific_lambda_shared_zeta,6,0,6,5,63,150-200,20-145,6.694329500821696,28.0,-34.693358357247575,34.048563867777304
all_shared_lambda_and_zeta,7,0,7,2,63,150-200,20-145,17.320508075688775,23.5,50.79788172418053,37.850242944616724
all_shared_lambda_and_zeta,7,0,7,3,63,150-200,20-145,17.320508075688775,23.5,-123.56071656187478,101.50178009856816
all_shared_lambda_and_zeta,7,0,7,4,63,150-200,20-145,17.320508075688775,23.5,-49.57156046574813,71.69167278135598
all_shared_lambda_and_zeta,7,0,7,5,63,150-200,20-145,17.320508075688775,23.5,71.34179905404623,40.12992856421948
map_shared_lambda_and_zeta,7,0,7,2,63,150-200,20-145,22.317981094042864,28.0,50.20767353764768,33.80957741433161
map_shared_lambda_and_zeta,7,0,7,3,63,150-200,20-145,17.878143222611804,26.5,-123.60767100385077,79.0495389872038
map_shared_lambda_and_zeta,7,0,7,4,63,150-200,20-145,13.44207608814922,23.5,-49.504245268834616,85.75744407732374
map_shared_lambda_and_zeta,7,0,7,5,63,150-200,20-145,11.472483074052871,19.0,71.41493063639005,14.027769618937524
shared_lambda_map_specific_zeta,7,0,7,2,63,150-200,20-145,18.453731477822707,28.0,50.69903020558605,37.79002074212693
shared_lambda_map_specific_zeta,7,0,7,3,63,150-200,20-145,18.453731477822707,26.5,-123.6423406799852,77.0612728873782
shared_lambda_map_specific_zeta,7,0,7,4,63,150-200,20-145,18.453731477822707,22.0,-49.606331874993245,80.11815280445059
shared_lambda_map_specific_zeta,7,0,7,5,63,150-200,20-145,18.453731477822707,16.0,71.35734804325666,23.625988407868437
map_specific_lambda_shared_zeta,7,0,7,2,63,150-200,20-145,22.317981094042864,28.0,50.20767353764768,33.80957741433161
map_specific_lambda_shared_zeta,7,0,7,3,63,150-200,20-145,16.780266063679814,28.0,-123.56575438659424,73.76627621634569
map_specific_lambda_shared_zeta,7,0,7,4,63,150-200,20-145,9.48607856330461,28.0,-49.497867862162565,92.90408564701745
map_specific_lambda_shared_zeta,7,0,7,5,63,150-200,20-145,6.694329500821696,28.0,71.41558553592108,19.8272898813097
all_shared_lambda_and_zeta,8,1,7,2,63,150-200,20-145,17.320508075688775,23.5,73.34531250775531,66.78228795335193
all_shared_lambda_and_zeta,8,1,7,3,63,150-200,20-145,17.320508075688775,23.5,43.57883307915259,261.92929865259987
all_shared_lambda_and_zeta,8,1,7,4,63,150-200,20-145,17.320508075688775,23.5,-21.843984013757815,33.517318393741434
all_shared_lambda_and_zeta,8,1,7,5,63,150-200,20-145,17.320508075688775,23.5,62.54069237627657,60.7716206399991
map_shared_lambda_and_zeta,8,1,7,2,63,150-200,20-145,22.317981094042864,28.0,72.75510432122245,24.22320325750074
map_shared_lambda_and_zeta,8,1,7,3,63,150-200,20-145,17.878143222611804,26.5,43.53187863717658,236.32570705422899
map_shared_lambda_and_zeta,8,1,7,4,63,150-200,20-145,13.44207608814922,23.5,-21.7766688168443,47.89861754432505
map_shared_lambda_and_zeta,8,1,7,5,63,150-200,20-145,11.472483074052871,19.0,62.613823958620394,21.32592159483976
shared_lambda_map_specific_zeta,8,1,7,2,63,150-200,20-145,17.878143222611804,28.0,73.28497336067352,37.99130791125867
shared_lambda_map_specific_zeta,8,1,7,3,63,150-200,20-145,17.878143222611804,26.5,43.53187863717658,236.32570705422899
shared_lambda_map_specific_zeta,8,1,7,4,63,150-200,20-145,17.878143222611804,22.0,-21.8545370474746,41.44361625274268
shared_lambda_map_specific_zeta,8,1,7,5,63,150-200,20-145,17.878143222611804,17.5,62.5605221970424,21.979299302948093
map_specific_lambda_shared_zeta,8,1,7,2,63,150-200,20-145,22.317981094042864,28.0,72.75510432122245,24.22320325750074
map_specific_lambda_shared_zeta,8,1,7,3,63,150-200,20-145,16.25687467927739,28.0,43.59300576208698,228.80482797266583
map_specific_lambda_shared_zeta,8,1,7,4,63,150-200,20-145,9.48607856330461,28.0,-21.770291410172252,57.56437177440781
map_specific_lambda_shared_zeta,8,1,7,5,63,150-200,20-145,6.694329500821696,28.0,62.61447885815142,26.704144922797436
all_shared_lambda_and_zeta,9,1,6,2,63,150-200,20-145,17.320508075688775,23.5,5.5900076763711235,90.729691437341
all_shared_lambda_and_zeta,9,1,6,3,63,150-200,20-145,17.320508075688775,23.5,-112.94388435753709,17.416045532608123
all_shared_lambda_and_zeta,9,1,6,4,63,150-200,20-145,17.320508075688775,23.5,-59.716822002475276,23.959771937426225
all_shared_lambda_and_zeta,9,1,6,5,63,150-200,20-145,17.320508075688775,23.5,-10.474350554196395,59.840081782479594
