block,distance_nm,pilot_zero_speed_intercept_pN,pilot_speed_slope_pN_per_um_s,pilot_speed_slope_SE_pN_per_um_s,pilot_speed_fit_R2,theory_no_slip_hyd_slope_pN_per_um_s,observed_to_theory_slope_ratio,speed_0.05_actual_um_per_s,speed_0.05_Fsym_pN,speed_0.05_Fhistory_pN,speed_0.1_actual_um_per_s,speed_0.1_Fsym_pN,speed_0.1_Fhistory_pN,speed_0.2_actual_um_per_s,speed_0.2_Fsym_pN,speed_0.2_Fhistory_pN,claim_status
1,105.0,11.262304705096938,14.923633404445134,12.354263510458141,0.5933640302714855,3.268390353140087,4.566049887556222,0.0492926380222347,11.300300727065979,-3.4395818575789296,0.09829705588552728,13.7764188115469,-8.295904994222582,0.19610371858311543,13.839349068214528,-12.111801333652735,two_block_descriptive_pilot
1,110.0,9.015355969184384,16.63030427155435,13.296523844872825,0.6100322799514821,3.119827155270083,5.3305210333406015,0.0492926380222347,9.084270081421343,-3.6681035714282624,0.09829705588552728,11.777098118253338,-6.124676464327899,0.19610371858311543,11.900425733730616,-10.100262801706453,two_block_descriptive_pilot
1,115.0,8.141434594925657,11.48771614565819,5.854068233325692,0.7938487645862105,2.9841824963452965,3.849535395280651,0.0492926380222347,8.377122787969817,-2.3459865768865047,0.09829705588552728,9.766842388872178,-5.68208271370437,0.19610371858311543,10.228590971762799,-8.652330253993975,two_block_descriptive_pilot
1,120.0,9.01784076670435,-2.209776529736822,2.562099391481115,0.42656710931799136,2.8598415589975756,-0.7726919425953749,0.0492926380222347,9.053593481802807,-2.367489881679411,0.09829705588552728,8.583459065052233,-3.8786243522666966,0.19610371858311543,8.656984116910515,-7.142607887140551,two_block_descriptive_pilot
1,125.0,7.828451579279137,-2.7936551547428214,13.361686778929812,0.04188334954816619,2.7454478966376725,-1.0175589775949447,0.0492926380222347,6.936227824184767,-1.4553660385001006,0.09829705588552728,8.686399005721988,-3.3034944937739654,0.19610371858311543,6.902567034474366,-6.721012648029738,two_block_descriptive_pilot
1,130.0,8.51168695638876,-13.67875018061657,1.8109068781691968,0.9827752233350772,2.639853746766993,-5.1816318223571365,0.0492926380222347,7.735165712408067,-1.9177333763475715,0.09829705588552728,7.320601118275224,-2.2358870294891995,0.19610371858311543,5.77799771029667,-5.843406917898447,two_block_descriptive_pilot
1,135.0,8.18537615169007,-16.82685189546497,8.400495732447277,0.8004917177224417,2.542081385775623,-6.619320683287594,0.0492926380222347,6.8815711332740825,-1.4780262962709916,0.09829705588552728,7.243384071336177,-1.84850000353141,0.19610371858311543,4.647895101029007,-5.305368103177247,two_block_descriptive_pilot
1,140.0,8.530967122863782,-19.13427496166273,22.43606294255424,0.4210713900561571,2.451292764855065,-7.805789351641994,0.0492926380222347,6.3208528577382905,-1.9699953222243394,0.09829705588552728,8.551836711889315,-2.214359123889205,0.19610371858311543,4.143887541851129,-4.504956085708578,two_block_descriptive_pilot
1,145.0,8.49193544395339,-17.348298172645915,11.260562042241903,0.7035740633580779,2.3667654281359245,-7.329960952788429,0.0492926380222347,7.000922727834386,-1.2801339843276325,0.09829705588552728,7.741110002544363,-0.9787407912588704,0.19610371858311543,4.771277801615499,-4.968713077319758,two_block_descriptive_pilot
1,150.0,9.62388210369513,-27.99385693463567,3.931539104475535,0.9806573047480821,2.2878732471980605,-12.235755179584146,0.0492926380222347,8.021982132800963,-1.154284489696587,0.09829705588552728,7.205411209161516,-0.9180171975651747,0.19610371858311543,4.0229487504765675,-3.8788365897859762,two_block_descriptive_pilot
1,155.0,7.312456428930363,-12.1210142572332,10.263206868577972,0.5824284944199314,2.21407088438522,-5.474537578140294,0.0492926380222347,7.294529641555163,-1.1151899849644535,0.09829705588552728,5.251072457165694,-0.3771968532141412,0.19610371858311543,5.22585443515118,-3.7345675339873248,two_block_descriptive_pilot
