acquisition_order,baseline_method,distance_nm,finite_pixel_count,force_pixel_median_pN,spatial_mad_pN,reference_subtracted_spatial_mad_pN,reference_definition
2,linear_drift_corrected,140.0,64,17.928889969264787,156.3425944968877,37.51775195255362,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,145.0,64,20.13762436477976,164.82070846894865,31.709003565355395,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,150.0,64,8.281743691558113,168.55838694265964,31.77817141494241,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,155.0,64,13.223488587091914,165.3181672198562,35.76341033525401,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,160.0,64,8.956474568702655,173.85142117601188,31.927256005543935,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,165.0,64,17.961258782756524,164.03644576677337,29.901868667852494,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,170.0,64,14.6104843397816,152.86601953131088,27.308965594574705,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,175.0,64,9.095381858625661,167.0710447256611,29.847247554492853,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,180.0,64,11.376052885612424,166.77744214751695,29.162309675382343,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,185.0,64,13.6430659963295,153.35900396032068,32.69091049206524,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,190.0,64,11.420425962928773,156.0702875503185,28.578186287773637,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,195.0,64,11.047084157101658,159.82444945591843,25.793521706108084,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,200.0,64,18.864495623498094,158.99503579837497,16.182821332903124,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,205.0,64,16.607154275505337,176.59466748794821,19.3123455779031,subtract each pixel median force over 200-250 nm before spatial MAD
2,linear_drift_corrected,210.0,64,21.500816960879007,160.88522245701657,15.316868150385485,subtract each pixel median force over 200-250 nm before spatial MAD
