acquisition_order,block,nominal_speed_um_per_s,source,source_sha256,approach_curves,approach_skipped_curves,retract_curves,retract_skipped_curves,instrument_failure_flag_count,valid_contact_curves,contact_fit_r2_median,contact_fit_r2_min,contact_invOLS_median_nm_per_V,contact_invOLS_mad_nm_per_V,terminal_load_median_nN,far_noise_pixel_median_pN,far_noise_pixel_p95_pN,far_noise_pixel_max_pN,far_noise_pixels_over_30pN,far_noise_pixels_over_50pN,far_slope_median_pN_per_100nm,far_slope_mad_pN_per_100nm,snap_detected_pixels,snap_detected_fraction,snap_distance_median_nm,snap_distance_p95_nm,snap_distance_max_nm,primary_dmin_nm,primary_dmax_nm,primary_r2,primary_rmse_pN,primary_force_signal_pN,primary_relative_rmse_percent,primary_lambda_D_apparent_nm,primary_potential_magnitude_apparent_mV,primary_fit_quality_pass,primary_quality_flags,common_80_250_r2,common_80_250_rmse_pN,common_80_250_force_signal_pN,common_80_250_relative_rmse_percent,common_80_250_fit_quality_pass,common_80_250_quality_flags,common_80_250_line_spatial_mad_pN,common_80_250_line_reference_subtracted_spatial_mad_pN,common_80_250_constant_spatial_mad_pN,common_80_250_constant_reference_subtracted_spatial_mad_pN,primary_window_line_spatial_mad_pN,primary_window_constant_spatial_mad_pN
12,2,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,421496dfcd808185334ca95c90deb55e11a9fededa788d5de55b0abe2803efc9,64,0,64,0,0,63,0.9997289136250344,0.9983695374392327,81.68755985206461,0.48562162084404487,30.684545657030537,12.824063850841375,22.42733002352267,29.183176163475725,0,0,-12.956934257350834,19.959432043787515,64,1.0,36.826366490980895,47.90757132837023,51.34694541178441,60.0,250.0,0.9236668967523067,3.707416589165268,66.08849306177855,5.609776252122483,11.129954945862746,75.14703937422851,False,broad_local_parameter_scale,0.2869796413258098,3.744001552934706,13.7664651388879,27.19653531361907,False,parameter_boundary;r2_below_0.70;weak_signal;broad_local_parameter_scale,97.69460206973656,24.329204826520982,58.32842071134735,19.77705642141972,104.75839745995516,58.856837579696595
13,3,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,1bc429188f48017d7529c6192b0e9cd15d102b5be9a6dadbd71c5c95bcb3fef0,64,0,64,0,0,61,0.9998841409200951,0.9996935989727824,85.54254600702117,0.4373517147172985,30.676860382363156,15.637821683455163,20.274093043335476,20.996536638730355,0,0,-10.798275891147949,9.841002032667651,64,1.0,41.89081919210858,50.81703565059117,53.607860920144525,65.0,250.0,0.9498729498676252,3.425568350961113,66.91294609896929,5.119440333555841,25.618206723077556,23.528851266815288,False,broad_local_parameter_scale,0.9264041404338375,2.1266257596965534,29.41933101728079,7.228667974969867,False,broad_local_parameter_scale,65.62225201286999,13.072815562650282,15.549028074818509,9.929207665185267,65.79329716604656,15.766663156271177
14,3,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,7a642cad99b9d5bf0835aa33e698aca2037e6a4f0c934914955ca53e179ffed4,64,0,64,0,0,62,0.9999092915741254,0.9997183014121926,85.17993795069769,0.6587483520632825,30.63447812587014,10.601898893420527,12.899541912633838,15.378168445379108,0,0,-16.109206866163937,6.007893359982372,64,1.0,46.92017989689562,53.865320284175795,57.00325876037831,65.0,250.0,0.9647876476290648,2.2284576970844023,55.7069514287789,4.000322473100105,13.381473062241101,54.5593351053255,False,broad_local_parameter_scale,0.7724606715914257,2.1856540326416,18.355236217987912,11.907523317513535,False,broad_local_parameter_scale,43.85503961996246,10.286270719661054,15.382242311447063,9.372638765270844,44.4254974994798,15.639863447596767
15,3,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,7f1ffd2c4654b3554dd9624198bcc9b3efe9f7a89cbb1371a706fc61876e3e31,64,0,64,0,0,60,0.9998768844468895,0.9975545597216354,85.056768165243,0.45880902770502696,30.59846286249384,10.812090033972968,103.63880430782115,187.20656794071164,12,9,-20.855905565125443,17.74675867418003,63,0.984375,43.46333948574352,59.001451049857266,62.6391241740967,75.0,250.0,0.08890418466893135,6.724951011834849,12.88052161262095,52.21023817269497,8.818123166463325,249.978969742012,False,parameter_boundary;r2_below_0.70;weak_signal;broad_local_parameter_scale,-0.005539592628422518,6.650096085202744,7.218521603859513,92.12545795592203,False,optimizer;r2_below_0.70;weak_signal;broad_local_parameter_scale,94.68022686572783,15.91169659672629,28.961136669847974,14.473472543716474,95.20799717209704,29.078529254676827
16,3,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,a6bb8acdeeaf80644f388493ba46fda1c7c53f9b506ac28440c8399c6b699854,64,0,64,0,0,60,0.9998854125106045,0.9996579601509545,84.73360921836264,0.24505119115849833,30.654991822063373,8.765565559886191,10.909039225213903,11.340941235784689,0,0,-16.71874858620466,7.779980576727141,63,0.984375,43.54408661469576,56.89507890887818,59.72645665060842,70.0,250.0,0.8093365477094482,2.948454966614263,29.694710743680854,9.929226090345754,11.309939420772809,77.19429438787643,False,broad_local_parameter_scale,0.3901671340365157,3.0137028017356324,11.26540747588892,26.75183128693558,False,r2_below_0.70;weak_signal;broad_local_parameter_scale,46.09572893025771,9.822123294165468,12.37279475975103,7.5984598301516435,46.44468528386795,12.509949238659047
17,3,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,7bc05e5bc675b0439438c979a800b540563df7e04ee8df54b5a4f4da29b8655e,64,0,64,0,0,62,0.9999067895964782,0.9997652287423616,84.79905640428564,0.35708005518906094,30.646714944978775,10.961261070991121,14.353687301923213,16.476604653650288,0,0,-13.834949434433101,9.430002930301681,63,0.984375,46.88053425143393,60.646901326188754,72.36354393799236,80.0,250.0,0.8902542849898648,1.8396511937285833,21.596097300904443,8.51844279128868,25.7883980285798,18.084913602081432,False,broad_local_parameter_scale,0.8902542849898648,1.8396511937285833,21.596097300904443,8.51844279128868,False,broad_local_parameter_scale,47.65019595196873,11.088013842494718,16.91613510522246,10.277571720817596,47.65019595196873,16.91613510522246
18,3,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,e357da9074d1176a7fb12f16f86774a130b212becda936e74c71dd62839449aa,64,0,64,0,0,61,0.9999018201605243,0.9994554337883211,84.75687117614807,0.4827274652495964,30.60863405440541,14.676457683183603,19.680865236926397,34.630526592202834,1,0,-15.365557396469399,14.044931731839783,63,0.984375,52.52807132598126,62.18631072452567,70.97659755855678,80.0,250.0,0.466523833684787,4.33493576560518,25.073591722317904,17.28885041127423,23.757733222950392,17.53173426823964,False,r2_below_0.70;broad_local_parameter_scale,0.466523833684787,4.33493576560518,25.073591722317904,17.28885041127423,False,r2_below_0.70;broad_local_parameter_scale,78.31784668860332,13.15416727159734,19.578189360999747,11.091900436843815,78.31784668860332,19.578189360999747
19,4,2.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,cee4a298355aa05fbd4f8d54139fa965560b3395d97f745373f8557bcd194c08,64,0,64,0,0,63,0.9998495566306822,0.9995182178365273,81.48236002717732,0.38319225392316053,30.647387504644655,11.033039782134423,13.517419224125694,16.08385702845534,0,0,-12.339608709053056,7.613452644121044,61,0.953125,10.71443560453389,12.078488629897912,14.2503472655605,25.0,250.0,0.9989279467762184,4.902658004577221,798.983030125104,0.6136122820793286,12.386469869890966,49.29926207114568,True,,0.837880405007021,1.94111248664292,18.09159947951628,10.729358058366767,False,broad_local_parameter_scale,44.301806064343424,10.195708739602159,11.673108142711738,9.558100096372584,47.05961954738656,12.350051246564716
20,4,1.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,1e76a3615f0c473e073709d54152ab3ff2085f0bd893025ed6c2310288d87d48,64,0,64,0,0,59,0.9998285383078003,0.9995278531473132,81.73641042657204,0.2468592827356508,30.554434240993935,10.405718181716018,27.517592424536105,90.95397006101459,3,1,-17.569050182366176,13.484282396522143,60,0.9375,10.98589946252379,12.855295786707698,13.287004241011598,25.0,250.0,0.9990159431246584,4.543251238351272,762.3933055442341,0.595919613316656,12.174384786800523,48.940984793778824,True,,0.0425194332010681,4.4274975633787985,4.469319678387072,99.06423979446986,False,parameter_boundary;r2_below_0.70;weak_signal;broad_local_parameter_scale,63.91445466815274,13.012531233548337,28.047605556876995,12.697444542484714,69.46266953924318,29.303884187160037
21,4,4.0,raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.27.52.284.jpk-force-map,e9308a1d0983ac046447a0418efab760c301ce3221a34ab182cc4f856b0a6596,64,0,64,0,0,62,0.999890053438524,0.9996946476865289,81.74029192052728,0.36894349215892897,30.58425297985142,14.515669087531105,16.76386536212298,19.629823058126505,0,0,-16.089298113912328,6.672857253770268,60,0.9375,10.610295575567912,12.230517628670055,13.281025477515284,25.0,250.0,0.999100438206901,4.737001110992048,834.9603291931357,0.5673324762111334,12.66018853571506,50.202239795548415,True,,0.6606643550712666,2.79911961682816,17.02402831157044,16.442169653381793,False,parameter_boundary;r2_below_0.70;broad_local_parameter_scale,38.97582362932094,10.676284161695452,15.77244148787634,9.921626494126444,41.20850546406609,16.685117407769518
