concentration_wt_percent,source_filter,distance_nm,equilibrium_force_pN,equilibrium_sigma_pN,speed_slope_pN_per_um_s,speed_regression_r2,speed_groups,source_count,speed_1_force_pN,speed_2_force_pN,speed_4_force_pN
0,all,620.0,3.4518147576962033,11.320992459307284,-1.454761059132172,0.4241312623360688,3,8,3.522703296758636,-2.972215718378431,-2.2962277879228594
0,all,625.0,10.938176881375764,12.02806432463478,-3.207387500322679,0.9996576914795083,3,8,7.79225600005922,4.410319651724117,-1.897515125433814
0,all,630.0,12.018683886650507,12.123536055703468,-3.5470851052556736,0.9993404360592869,3,8,8.40497009706109,5.1095897866295035,-2.182205985815815
0,all,635.0,10.08765696873308,11.335845785079309,-2.4810263380084914,0.9996589729536726,3,8,7.565971346866577,5.215706400182751,0.1548675955827205
0,all,640.0,8.417454517493093,10.891779308032614,-2.2094033324755875,0.7737369389519757,3,8,5.238297584880664,6.23289757455397,-0.477662865484342
0,all,645.0,8.717753934269195,10.876353528784147,-2.043515151928089,0.9587127318825117,3,8,6.310746895445618,5.451796476321904,0.5188797667994396
0,all,650.0,9.188044038739058,11.172876997496592,-1.9085120809410077,0.8355094783425588,3,8,6.422466726616286,6.839040652645621,1.5085950937586132
0,all,655.0,13.084751260673533,10.027782029375025,-2.7170690046387573,0.9623166411180691,3,8,10.894156097953639,6.586364654910853,2.2412734649782275
0,all,660.0,13.267826115976513,10.648077017472785,-2.908993095588791,0.9995284348894985,3,8,10.346515512572722,7.586184180459981,1.6231582493959102
0,all,665.0,10.464182188452451,11.354148848400762,-1.836939378317859,0.9980487325172454,3,8,8.697053059097646,6.628423788885164,3.1148706342563237
0,all,670.0,13.498645941957173,9.627874518769111,-2.4493032237968926,0.8750554405078335,3,8,10.372178333895885,10.426836627389205,3.6470390666780412
0,all,675.0,12.330015249669204,9.516489364581536,-2.309813005389712,0.9345538237799698,3,8,10.604275169984671,6.487981406954543,3.124534496619644
0,all,680.0,12.95947471670559,10.20045391737178,-2.4832789746633304,0.9906552583760722,3,8,10.780254472660094,7.556830433197773,3.0359876974099937
0,all,685.0,12.643460863386974,8.614491835935425,-2.3141077881997507,0.99924917869802,3,8,10.38866084610551,7.891218188258344,3.38575526055295
0,all,690.0,9.290868665792706,10.047012707505324,-1.336936072009245,0.942896825265142,3,8,7.787395826977117,7.3079839846980255,3.9279727928292787
0,all,695.0,10.045510779551504,9.626426855059714,-1.2688542674070242,0.9991260174581281,3,8,8.799676140201072,7.429968454231814,4.968350601392888
0,all,700.0,14.580612832170177,8.401468289133954,-2.936925652543973,0.9130143183795175,3,8,12.46066582380135,6.878810519586169,2.8983575566374857
0,all,705.0,7.280541589422337,8.517932516716137,-0.8051874918053609,0.5527249155268851,3,8,5.920039186977521,6.981522919348364,4.008567936280767
0,all,710.0,6.283291184912127,7.737437121476235,-0.44546848717534343,0.6518564015534499,3,8,5.492071190527325,5.902001384398296,4.467024383162215
0,all,715.0,7.70672943961245,8.253199227126766,-0.8727587347532116,0.9953954003717277,3,8,6.780428276747336,6.076872622286613,4.208381859760387
0,all,720.0,5.26123872929542,8.032413784238079,-0.4217663543534966,0.35590769288585355,3,8,4.3552873071326665,5.297033273169214,3.5275599442833943
0,all,725.0,7.109965609296121,7.02093674681021,-1.0311713823309576,0.9729726671091271,3,8,5.963893613240967,5.399271440655207,2.966620982931526
0,all,730.0,8.146463813012401,8.16103107427,-1.2882485450083418,0.9923794141948585,3,8,6.717436760539869,5.763793958444286,2.978135805937171
0,all,735.0,8.555122680836313,7.711414800092135,-1.2500143735803306,0.7465685020602302,3,8,8.280753026461852,4.617231026158893,3.6459901507264707
0,all,740.0,7.8907292599697945,6.146176561928073,-1.2401416077974745,0.9455578041092454,3,8,6.326514611121503,5.941296655072461,2.874773370765197
0,all,745.0,-0.7991627638905127,6.104189759174801,1.0218161433544177,0.6374831573426378,3,8,-0.505163964445311,2.7993462995915595,3.164789641788173
0,all,750.0,0.16152883474702542,5.9145922960467425,0.4375256885138573,0.5866401335284419,3,8,0.28457364364870286,1.7735355580515835,1.8534795109243554
0,all,755.0,4.245235439847193,6.00451875703456,-0.42845034072952715,0.6461024310958301,3,8,4.06060425041727,2.752648095576614,2.575722483357176
0,all,760.0,-0.4587638919024325,5.573963868424716,0.4638447425329714,0.19127028281204095,3,8,0.6761315808267598,-1.1009846560788956,1.5414779619845416
0,all,765.0,0.57070277394872,5.416177663845423,0.4228045415685679,0.8037564840889824,3,8,0.7718596950273207,1.8253923504251717,2.215021434330322
0,all,770.0,-0.752782443529111,5.5145783933715204,0.33633830076102506,0.03695037124686662,3,8,0.5411833674328516,-1.882550530837796,0.7940170034235079
0,all,775.0,-0.7929146062634101,7.311740188769719,0.5481051686828946,0.9809638776738393,3,8,-0.1515812592799567,0.17254433716098588,1.410919248811823
0,all,780.0,0.977809135581938,5.999140046931841,-0.24922609259781425,0.47495841061212396,3,8,0.8254846453371157,0.0015605982723316432,0.0
0,all,785.0,-5.49248925349428,7.113710894657945,1.4721961438179283,0.40163687661187697,3,8,-2.1630593323587766,-4.929171893769054,0.6042659379676474
0,all,790.0,-2.0507952465481747,5.769133823224316,0.671170194994108,0.9997362229005302,3,8,-1.390374428667319,-0.6875300769810518,0.6336440069615299
0,all,795.0,-2.890605302604464,7.9003042063676405,0.44860856123807563,0.21580397188056544,3,8,-4.989416732345035,0.040923960092288394,-1.2833658965869716
0,all,800.0,-2.3480007003399117,5.679383819782812,0.11274389271079416,0.16917924852785682,3,8,-2.6219996244044443,-1.5422608902446988,-1.9686484667050705
0,all,805.0,-1.1334902358112204,6.835009163543659,-0.4045544392443589,0.511352446477276,3,8,-1.6808830330838263,-1.1253191717818767,-2.7753689991322665
0,all,810.0,-5.9815778731756,6.255059630044042,1.1155045374235302,0.4809562881014704,3,8,-3.9709735675039104,-5.865690310120287,-1.3662559508668093
0,all,815.0,-1.3442468614367493,6.19955775669455,-0.6753130430312018,0.22254943657455195,3,8,-1.223814682552709,-4.953391608963078,-3.9066026199481514
0,all,820.0,-5.586598274533427,6.847457042247586,0.661338052400533,0.9061287319594543,3,8,-4.722891660112046,-4.659518680861998,-2.9124725818075916
0,all,825.0,-2.0812755851780596,6.196581205726217,-0.28289139093294563,0.918475020290395,3,8,-2.443808436569117,-2.4889806370428755,-3.226760796502141
0,all,830.0,-0.2675931077344671,6.134221017406455,-0.43120689936739465,0.4514319379012458,3,8,-0.30901131579544394,-2.0769210397637083,-1.9250317537614494
0,all,835.0,-1.7463340365430995,6.307498651891284,0.004329371127202122,-0.03178355864030369,3,8,0.3004832152695912,-5.352189913588101,-1.412643614086404
0,all,840.0,-0.33703077120588154,7.098645458392467,-0.35428654624324263,-0.09189985409331425,3,8,-1.9736372671895979,2.755148035535444,-1.9273214908802996
0,all,845.0,-0.4168440006580839,6.078910337863082,-0.636141416603168,0.6030467016102583,3,8,-0.6901599209229317,-2.7164897085357413,-2.8962869831170397
0,all,850.0,-3.5203166212512103,5.993517158972765,0.1976039391820365,0.9560597661097147,3,8,-3.2884174824962784,-3.2088651330875058,-2.7230246741602406
0,all,855.0,0.9985578527100184,5.654863173826244,-0.7892629277774627,0.3012536011878476,3,8,1.1417568957259063,-2.885518452104571,-1.9651208470307069
0,all,860.0,-1.6151043438673134,6.478420669474076,0.003141069170496318,-0.059090704001780736,3,8,-1.5634029579232618,-1.7068875522359865,-1.5952027810341998
0,all,865.0,-6.0748870195648825,6.082624742552975,1.228379473646297,0.6086106957206179,3,8,-5.711809295019021,-1.633833524257813,-1.3112548598447629
0,all,870.0,-0.18608833523681956,5.959034084871494,-0.12988484338310494,0.19387231557864315,3,8,-0.4729271664275727,0.0,-0.7361509370308905
0,all,875.0,-2.669939365756038,6.142986958108317,0.5855532479309524,0.9902878260630084,3,8,-2.030321759189705,-1.6105556497901474,-0.3169657954837778
0,all,880.0,-1.795426620792498,7.082490552832314,0.35510286927440077,0.2166385034473054,3,8,-2.420157416214059,0.47239846418792353,-0.4896620079633194
0,all,885.0,0.1603159273637388,6.1878359662114235,-0.07425180358437342,0.04161972574255102,3,8,-0.011262600497889963,0.3906409012090613,-0.15499949016438055
0,all,890.0,-2.310750447037338,5.787156638063057,0.4777241678027611,0.9999946143368306,3,8,-1.834247653249737,-1.3532410467255185,-0.39878542310871967
0,all,895.0,4.477584201661356,5.31978458597195,-1.1674101750301036,0.7470517604572551,3,8,3.844042018449262,0.7871018219240604,-0.06706881550803641
0,all,900.0,3.025511435765111,5.920822195322034,-0.43847817444561316,0.19236375146197693,3,8,1.9941069465744226,3.624122746604706,1.157515812077216
