concentration_wt_percent,variant,model,fit_valid,invalid_reasons,n_points,dmin_nm,dmax_nm,lambda_D_nm,lambda_ci95_low_nm,lambda_ci95_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_ci95_low_mV,zeta_ci95_high_mV,baseline_pN,r2,weighted_objective,noise_floor_pN,jacobian_rank,jacobian_condition,optimizer_success,optimizer_status,optimizer_nfev,optimizer_message,map_speed_consistency_pass,map_observed_to_lubrication_slope_ratio,map_positive_speed_slope_fraction,scientific_status,systematic_lambda_min_nm,systematic_lambda_max_nm,systematic_zeta_min_mV,systematic_zeta_max_mV
30,dmin20,nonlinear_pb_derjaguin,True,,47,20.0,250.0,21.52753847611062,19.45321801213602,23.823046271897343,73.60670699154186,-73.60670699154186,70.65708791448063,76.67945954263324,11.693330936895334,0.967536099689808,19.39258968188709,3.2608334121391507,3,1.6493970537750937,True,2,18,`ftol` termination condition is satisfied.,,,,,,,,
30,dmax150,nonlinear_pb_derjaguin,True,,29,10.0,150.0,23.73206255660723,21.02379309162609,26.78920928950016,73.30425455413727,-73.30425455413727,70.67842042040894,76.02764328595708,0.5723676314559787,0.9687011319617926,11.612783651510208,3.2608334121391507,3,3.1574630531374948,True,2,36,`ftol` termination condition is satisfied.,,,,,,,,
30,dmax350,nonlinear_pb_derjaguin,True,,69,10.0,350.0,21.58782290102071,19.76844818277459,23.57464244522325,72.61204533761938,-72.61204533761938,70.13400424579652,75.17764292530752,13.513590675117651,0.9683344577619514,27.884320555454636,3.2608334121391507,3,1.3357594231730685,True,2,26,`ftol` termination condition is satisfied.,,,,,,,,
30,all_sources,nonlinear_pb_derjaguin,True,,49,10.0,250.0,13.815883105936662,13.202835942134149,14.457395883240206,75.84613609160519,-75.84613609160519,73.59886492125446,78.16202554456792,-18.530370457223118,0.9943283361780544,6.959924683403756,3.188079633444212,3,1.865178590558143,True,2,17,`ftol` termination condition is satisfied.,,,,,,,,
30,independent_force_only,nonlinear_pb_derjaguin,True,,49,10.0,250.0,11.23540133458584,10.750342543000784,11.742346129370592,74.75054672828121,-74.75054672828121,71.88289546698577,77.73259827497117,-32.06829544259236,0.9967666899317879,29.239362965436964,31.443148127511563,3,3.7786221961607294,True,2,18,`ftol` termination condition is satisfied.,,,,,,,,
30,linear_hhf_diagnostic,linear_hhf_equal_potential,True,,49,10.0,250.0,20.307056025567633,18.765627574772793,21.975099035851752,67.5469201700538,-67.5469201700538,65.61778982793953,69.53276598348498,12.158338955709029,0.9789311702594137,17.04690572081929,3.2608334121391507,3,1.4796282653928745,True,2,14,`ftol` termination condition is satisfied.,,,,,,,,
40,primary,nonlinear_pb_derjaguin,True,,49,10.0,250.0,25.72522539066052,25.225684188827845,26.23465894706564,81.43095584000045,-81.43095584000045,80.73458709309196,82.13333105141358,42.15476959485732,0.9988661456563234,5.925165963167154,7.785102413833687,3,1.6789321943114828,True,2,12,`ftol` termination condition is satisfied.,False,-2.434729703385132,0.0,operational_fit_speed_trend_not_lubrication_consistent,14.56933511762882,26.498782932924623,65.98626922642524,82.55711165232469
40,dmin15,nonlinear_pb_derjaguin,True,,48,15.0,250.0,25.20520485197497,24.810075587065842,25.606627009279354,82.55711165232469,-82.55711165232469,82.00837848181607,83.10951649758157,42.70769536607155,0.99937047164325,3.2597781704289934,7.785102413833687,3,1.653896708811988,True,2,11,`ftol` termination condition is satisfied.,,,,,,,,
40,dmin20,nonlinear_pb_derjaguin,True,,47,20.0,250.0,25.45814170652842,25.036744254355497,25.886631766705552,81.8771226303046,-81.8771226303046,81.1331302263785,82.62793745924444,42.456537968173286,0.9993207473550572,2.8183494179402855,7.785102413833687,3,1.9158559101440404,True,2,24,`ftol` termination condition is satisfied.,,,,,,,,
40,dmax150,nonlinear_pb_derjaguin,True,,29,10.0,150.0,25.544611011774045,24.722980639679253,26.393547010087108,81.33220636925384,-81.33220636925384,80.44245948989341,82.23179443838333,43.709025624855094,0.998652807471926,4.222702857007974,7.785102413833687,3,2.9005646350164183,True,2,13,`ftol` termination condition is satisfied.,,,,,,,,
40,dmax350,nonlinear_pb_derjaguin,True,,69,10.0,350.0,26.498782932924623,25.780160545961206,27.237436930402037,81.90805003163815,-81.90805003163815,80.90844052028997,82.92000954217988,36.19456041914924,0.9986564690536459,21.511644236961633,7.785102413833687,3,1.518562309182899,True,2,19,`ftol` termination condition is satisfied.,,,,,,,,
40,all_sources,nonlinear_pb_derjaguin,True,,49,10.0,250.0,25.34255095499456,24.52107105193285,26.19155123959691,76.13015466511467,-76.13015466511467,74.86998569691077,77.41153407984987,1.505834043355001,0.9497515316625912,1.4256643567628906,4.520288534114996,3,2.4643996525982326,True,2,17,`ftol` termination condition is satisfied.,,,,,,,,
40,independent_force_only,nonlinear_pb_derjaguin,True,,49,10.0,250.0,14.56933511762882,13.078040050513899,16.23068326369221,65.98626922642524,-65.98626922642524,64.03603373182557,67.99589969386668,-451.27506069930666,0.9740147482868454,20.622190605022165,34.50599061410956,3,2.4987350148332355,True,2,40,`ftol` termination condition is satisfied.,,,,,,,,
40,linear_hhf_diagnostic,linear_hhf_equal_potential,True,,49,10.0,250.0,21.75295567750276,20.827592609576936,22.719432321228386,75.7304391127583,-75.7304391127583,74.25594177276587,77.2342154889294,45.51972018217453,0.9938403228378592,24.074319599912826,7.785102413833687,3,1.4077843191005528,True,2,23,`ftol` termination condition is satisfied.,,,,,,,,
