concentration_wt_percent,source,source_type,speed_um_per_s,speed_label_um_per_s,distance_nm,force_pN,force_spread_pN,curve_count,sensitivity_used_nm_per_V,valid_contact_curves,endpoint_contact_curves,far_offset_pN
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,425.0,14.706011315322304,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,430.0,16.11914484622718,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,435.0,5.364424396236563,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,440.0,9.087958662316678,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,445.0,-7.124220956004926,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,450.0,-22.113077947933466,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,455.0,-7.861767021264486,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,460.0,-2.992145082302264,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,465.0,7.1042240192870985,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,470.0,17.774396380309156,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,475.0,9.9341295017247,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,480.0,-1.117809023012863,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,485.0,4.252888652476653,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,490.0,18.253374867404922,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,495.0,27.412369080056074,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,500.0,4.790527994094081,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,505.0,-13.121560580029179,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,510.0,-1.7810209304500932,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,515.0,-9.265836738893345,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,520.0,1.3070387393213934,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,525.0,16.5468314208001,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,530.0,2.356381209783776,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,535.0,0.2932678680492957,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,540.0,10.196997887058346,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,545.0,28.17754303799457,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,550.0,11.714326664874083,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,555.0,6.449794964236725,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,560.0,-19.858137943273082,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,565.0,9.247341842275404,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,570.0,6.03934824556586,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,575.0,34.060877910287154,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,580.0,8.297851830928606,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,585.0,22.563554908208346,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,590.0,-31.809490028151416,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,595.0,11.847610809446934,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,600.0,22.76894909093716,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,605.0,43.43108478406995,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,610.0,24.500687092617536,nan,1,66.6088141893779,1,0,0.9537477129411047
0,20-08-26/0/force-save-2026.08.20-14.59.33.875.jpk-force,force,2.0000057762358256,2.0,615.0,-1.9315544435403231,nan,1,66.6088141893779,1,0,0.9537477129411047
