acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,190.0,64,28.392363567839624,11.691455643968911,51.068773492196144,31.114861405788634
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,195.0,64,22.330999869397942,3.8175527442600816,47.832810529898936,35.70269390096933
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,200.0,64,24.26573356237126,6.346376489551736,44.313185037637666,28.873252397838797
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,205.0,64,25.68334208828685,6.2588083265911365,39.22668503437028,26.299647780124893
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,210.0,64,18.351656018261462,2.8704978016211173,41.931953947674,33.170330821345146
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,215.0,64,17.065660676824244,-2.7934997811203033,34.892413029775966,27.601495021726016
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,220.0,64,17.506773596855986,4.8588443174768985,35.1359984835503,21.5055339050391
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,225.0,64,17.098928460614513,1.3456801975654937,35.71658592441939,26.269484225169258
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,230.0,64,13.928482157182962,-0.26362399186961,29.471006843524584,21.631321824363905
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,235.0,64,9.159194117235764,-7.99978368717902,29.645381058860593,27.24633635632492
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,240.0,64,13.136533286180725,-2.3561311435276475,31.631027052426525,26.411311885037545
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,245.0,64,7.928865983735309,-8.186094873741416,32.069074962495925,26.0007878671341
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,250.0,64,11.995786281642687,-2.8508320350084757,23.892481619633998,18.699512709966424
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,255.0,64,12.729400557660995,-2.43075999416743,22.495209848999146,19.7015175123558
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,260.0,64,13.15691146051544,-6.992058114937778,27.414103510275652,26.876120476601294
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,265.0,64,14.060791181759836,-6.5136431953028335,29.252844404801632,25.761321664145175
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,270.0,64,8.53489300727788,-9.34750170217706,27.62486022222739,27.13467225141276
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,275.0,64,3.772364556865848,-13.898279383352723,21.530220456185802,26.36601742629108
1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,0.1,280.0,64,9.738746081765091,-8.644123335232338,22.94545981223871,24.658657050509923
