concentration_wt_percent,primary_included,source,timestamp,metric,valid_pixels,median,mad,robust_slope_per_acquisition,robust_change_across_map,pearson_correlation_acquisition_order,spatial_plane_column_slope_per_pixel,spatial_plane_row_slope_per_pixel,spatial_plane_r2,spatial_plane_inliers
20,True,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,2026-08-20T15:54:06.570000,retract_detachment_piezo_travel_nm,241,597.3109651934412,220.68435255256028,-1.1767076485491792,-300.0604503800407,-0.2881581299032868,-3.735773598067972,-19.97842306160485,0.19110512466000196,230
20,True,20-08-26/20/map-data-2026.08.20-15.54.06.570.jpk-force-map,2026-08-20T15:54:06.570000,retract_pull_off_force_nN,157,-155.0796072731739,55.7756355313263,0.06500668471534443,16.25167117883611,0.06578068980479619,0.5804704571708992,1.1901331270884703,0.006495329325448274,157
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_contact_invOLS_nm_per_V,251,59.961118792548675,1.5033167134636902,-0.0022825190845088884,-0.5820423665497665,0.12782427592819962,0.012973172503412268,-0.040387828800392,0.017825215433855623,218
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_contact_response_ratio,251,1.0126289262125547,0.02582261126508332,4.0269805178595886e-05,0.01026880032054195,-0.14215067379274846,-0.00021905546679836776,0.0006736839658317891,0.01779564559399749,218
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_contact_height_um,251,6.706613630428885,0.01939411420833624,0.0002131499611652049,0.05435324009712725,0.8932396344569199,-0.0007900710302196023,0.0033856769107570516,0.9740542202455873,225
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_terminal_load_nN,256,7.201420033832507,0.1804498920735459,-0.00037869881543821707,-0.09656819793674536,-0.17660230818045114,0.0007852551335010474,-0.006122965293238991,0.026432941372631746,254
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_far_slope_pN_per_100nm,256,33.58142909875495,12.335732266823447,-0.06764528298166891,-17.249547160325573,-0.3888764423713009,0.027962815003168107,-1.1454897310705179,0.17114441714413242,253
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_snap_distance_nm,174,10.227321653621686,3.546979796458282,-0.007151204602607793,-1.8235571736649872,-0.10250637830845559,-0.04998940123220848,-0.10975248667890397,0.027722737363963468,156
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,approach_barrier_force_nN,174,3.212298908075236,1.083656415602374,-0.0014467175761404016,-0.3689129819158024,-0.1044920293970451,0.028635814812638195,-0.024003199678017346,0.025454988755137964,174
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,retract_contact_invOLS_nm_per_V,249,57.036305739494786,0.745152334254668,-0.005832896272679507,-1.4873885495332744,-0.11562805870538194,0.00045473312177320147,-0.09100723813671205,0.40363877666368886,222
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,retract_detachment_piezo_travel_nm,249,567.5279048656665,185.61253191304812,-1.1008417291636265,-280.7146409367248,-0.32306131206764954,-1.0099593934902806,-17.893422868006706,0.17429112638757283,243
20,True,20-08-26/20/map-data-2026.08.20-15.59.55.205.jpk-force-map,2026-08-20T15:59:55.205000,retract_pull_off_force_nN,107,-137.20562873163888,36.59960961030611,0.29699678302866955,74.54619254019606,0.3687915986209889,0.01731559972452157,4.7704082266703445,0.13743070571639338,107
20,True,20-08-26/20/map-data-2026.08.20-16.09.19.936.jpk-force-map,2026-08-20T16:09:19.936000,approach_contact_invOLS_nm_per_V,252,59.12877616048661,1.4306815329599447,-0.0008661147828829942,-0.22085926963516353,0.15782391984933364,0.01551894603841605,-0.01498048183773129,0.00562664865931195,228
