location,location_order,instrument_scan_number,point_index,gap_speed_um_per_s,far_sample_count,far_distance_min_nm,far_distance_max_nm,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN
A,10,14,36,1.9707005542464537,200,714.0049309667816,913.1308471935923,-0.00103108836610803,1.6743774753966167
A,10,14,37,1.9727146525044097,200,710.3165960552378,909.5612283729665,-0.0010414350055638394,1.6836546500042835
A,10,14,38,1.9585149130300643,200,717.1285122945154,916.4017845275702,-0.0010169844348736923,1.6577052608070288
A,10,14,39,1.9732106340573559,200,716.5726320853021,915.78872912284,-0.00102570695883925,1.6710382317919255
A,10,14,40,1.9790889059714436,200,705.5301727389956,902.491464418147,-0.001057815903647105,1.6996323822892914
A,10,14,41,1.9571650124750892,198,705.4857845022553,900.3857182267303,-0.0010486235403529022,1.68275637319924
A,10,14,42,1.9607951844865212,195,694.5474171343023,886.5431454553759,-0.0010833663079852607,1.7119909060019987
A,10,14,43,1.958589903693852,197,701.0331020585043,895.1462734346632,-0.0010623399892864544,1.6943516666662155
A,10,14,44,1.9569172327240032,198,706.6440678830717,901.5856557493913,-0.001045572428003194,1.6801880842961343
A,10,14,45,1.9597055760492443,199,707.657905500915,903.5841220325556,-0.0010432162978469318,1.6795154412681592
A,10,14,46,1.971950955165448,200,704.2334015331322,900.8737872077128,-0.0010579324275880636,1.6966742122550316
A,10,14,47,1.9685572250769374,200,709.2433284391454,908.5156959307035,-0.001042133720485164,1.6824574920515154
A,10,14,48,1.9632021284181362,200,713.0440816876661,912.3779208316503,-0.001029374653928572,1.6698098819034366
A,10,14,49,1.9614671751887407,200,711.1349442339102,908.021273281724,-0.001033983344875349,1.6728194073351181
A,10,14,50,1.9658563221077408,200,711.2164712658059,908.0161851445167,-0.0010359161520753432,1.676253121435356
A,10,14,51,1.9605992313975729,200,713.7040364133422,912.9942055999903,-0.0010263568313241599,1.6662466441699526
A,10,14,52,1.959240107138999,200,710.4411526586539,909.7574336821311,-0.0010339432782378965,1.671848038509624
A,10,14,53,1.9744141418419046,200,709.6723985104951,908.920197198383,-0.0010440345776317832,1.6864896734790724
A,10,14,54,1.9707863457908337,200,710.0611148250554,909.3877176250522,-0.0010414491460932706,1.6828473762799698
A,10,14,55,1.9722134538428104,200,708.7836091597742,907.9096520495575,-0.0010452879388124661,1.6865690830353561
A,10,14,56,1.9789512448057682,199,706.293669896194,901.9117657462183,-0.0010575577735172754,1.699319935316248
A,10,14,57,1.9711247495589452,198,700.9917985538628,896.1445470413586,-0.001068227344435765,1.7045083437251305
A,10,14,58,1.9737775820515837,196,692.4903103778576,885.4310206023567,-0.0010954272541964516,1.7272489182529815
A,10,14,59,1.972026577855588,198,700.928392356661,895.7742465777552,-0.001069103293878902,1.705598591458664
A,10,14,60,1.9615236536706824,199,711.4085934379557,907.2241335237982,-0.0010344579275872034,1.6731864432435304
A,10,14,61,1.962525891781663,200,708.7304774582618,905.5883422842767,-0.0010405025388564497,1.6785617825043262
A,10,14,62,1.9692770151950467,200,711.2054106233121,908.3483908902357,-0.0010377130923678076,1.6791639800636962
A,10,14,63,1.9681063191443555,200,712.0545526287219,911.2136195631671,-0.0010349390702117638,1.6764188405702565
A,11,15,0,3.9561000355367066,200,710.4089901660191,909.3498957295717,-0.0020886046087123305,3.376485099973314
A,11,15,1,3.94695773325199,200,713.5951860013581,912.2473400357894,-0.0020661999947848395,3.3543986994617034
A,11,15,2,3.9480488348039486,200,711.2687539403928,909.6793324880587,-0.0020787788701568423,3.3651048655684797
A,11,15,3,3.94539336819166,200,711.3719954157727,909.5189617949743,-0.002078623935330246,3.3638519231432724
A,11,15,4,3.963911449488836,200,706.5855867674577,903.1310290223961,-0.0021131148510914943,3.3996765214709326
A,11,15,5,3.9621343208641435,200,705.8763376356494,905.0066472196525,-0.0021155786213702286,3.400939410743349
A,11,15,6,3.962898586818938,200,713.9823212753628,913.3862735020026,-0.002073890201063964,3.3674131226494373
A,11,15,7,3.9647375765498154,200,715.1434915700909,914.661237701177,-0.0020678027221407375,3.3632189488284654
A,11,15,8,3.9565947624367586,198,707.7446570503439,899.7893892483643,-0.0021097010641552057,3.3935895799488813
A,11,15,9,3.9405886409657205,195,693.5875481840354,882.654907745899,-0.0021852692110765526,3.446914082121494
A,11,15,10,3.95849901761358,196,691.6178720651562,882.1869559943659,-0.002201427094502327,3.4676060707854655
A,11,15,11,3.9566856242234976,198,700.7834283447684,893.2722359880959,-0.0021466529752252363,3.4233716732745885
A,11,15,12,3.955534788067839,198,700.7896052773945,893.1942123356613,-0.0021452504443380967,3.4217517850533095
A,11,15,13,3.954353173629299,200,709.458878794305,903.6598216354798,-0.0020941740439228123,3.380232983970676
A,11,15,14,3.948594799133097,200,712.3589872363702,911.3244071604926,-0.0020739868567926927,3.361440469783158
A,11,15,15,3.9332272238982555,200,714.2557002346763,913.1330771172422,-0.002056669283986629,3.3408210594200867
A,11,15,16,3.940730896271776,197,699.2847895246412,890.3976199991549,-0.002148836743087802,3.418153023745935
A,11,15,17,3.955830680692608,198,705.317453911822,897.3915041110246,-0.002122951080590034,3.4039557424335953
A,11,15,18,3.9601148244410473,200,712.7461584216139,906.9406015320238,-0.00208016221485968,3.371284135085535
A,11,15,19,3.958504078967846,200,713.5211722305922,912.1413161157128,-0.0020737223418137948,3.365413760546393
A,11,15,20,3.952254136076498,200,713.5136267954326,912.8634389812453,-0.0020697367483295793,3.359526208410225
A,11,15,21,3.953157691706441,200,711.3078385325772,910.4061686774791,-0.0020811120112579685,3.3691748013320573
A,11,15,22,3.93672874342891,200,715.2728985933452,914.888930283207,-0.0020518290378175627,3.3383448549323878
A,11,15,23,3.9468884002497853,200,712.6718226676818,911.8645453558903,-0.0020712558783332353,3.358493079042871
A,11,15,24,3.9555127217227906,198,706.9141041700583,899.0400648309519,-0.002113902305743924,3.396520165543868
A,11,15,25,3.948760588713077,196,692.0752322318953,882.4942929345175,-0.0021941450268037135,3.457595142012863
A,11,15,26,3.9426847767577238,197,699.746410835198,891.2658645845697,-0.002146338735743301,3.4169983799412744
A,11,15,27,3.9491364153681263,196,693.3249905687683,883.5242906361183,-0.0021882385029927047,3.453077370319135
A,11,15,28,3.9614416545839535,198,701.7772294418988,893.7531171238124,-0.0021446779713950666,3.423830667707924
A,11,15,29,3.9591773566659776,200,710.598697777574,905.1318254686801,-0.002089928158533494,3.37883867331674
A,11,15,30,3.9442645032713592,200,712.4639549462347,911.189541592569,-0.002071884509300079,3.3578924050033097
A,11,15,31,3.9246469675872535,200,714.3057576608726,913.5556250706717,-0.0020513443162883758,3.3328478621965503
A,11,15,32,3.9284781562713653,200,711.8965377465845,907.0661900409631,-0.0020674547014800943,3.3475517391078586
A,11,15,33,3.9377395219722997,198,704.6682530453461,896.9381024839973,-0.0021153098715709934,3.390052271698276
A,11,15,34,3.951943215933797,200,711.2240168842887,905.1436000877491,-0.0020850116503064067,3.371770605856382
A,11,15,35,3.9397414503173365,200,713.0965378052001,912.3779973695982,-0.002064628075596195,3.3500676997690317
