branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
approach,0.1,122.5,512,-0.0002680749320661674,0.002094285999586498,0.004036768110759176,-0.00585088984778091,0.04570899859560868,0.08810478986247369
approach,0.1,127.5,512,-0.00026276311697286114,0.0019789500856853826,0.004233481170943104,-0.005734956422886695,0.043191725822181254,0.09239816574020022
approach,0.1,132.5,512,-6.817617335391768e-05,0.002025834501785395,0.003926002165524037,-0.0014879842641852552,0.04421500521673125,0.08568725928823794
approach,0.1,137.5,512,-0.00015756692968432176,0.002022746140182779,0.004283140384692075,-0.003438989024935975,0.044147599945347796,0.09348200669218046
approach,0.1,142.5,512,-1.225610948513145e-05,0.002086785494190173,0.0046041624328077915,-0.00026749665105630754,0.045545295743803976,0.10048849785402651
approach,0.1,147.5,512,-0.00020288004969656707,0.0023852483192256524,0.004303175105075552,-0.004427973977044386,0.05205941886408541,0.09391927600785778
approach,0.1,152.5,512,-0.00010967368587494475,0.002327108973448705,0.004152669274093614,-0.002393691384377718,0.050790494144637925,0.0906343995304604
approach,0.1,157.5,512,7.576706303824565e-05,0.0022000439599892396,0.004432658941140921,0.001653659805151902,0.04801722701545096,0.09674533533405992
approach,0.1,162.5,512,0.00015754259545300298,0.0022083676576726274,0.004562713588749628,0.0034384579163169063,0.04819889651321553,0.09958385295107713
approach,0.1,167.5,512,-6.764777289950535e-05,0.0020520111821865084,0.004389980175498603,-0.0014764516198217726,0.04478632634857686,0.09581384668389839
approach,0.1,172.5,512,9.38376633119603e-05,0.002285949359112886,0.004738257258100634,0.0020480610677760685,0.04989216184702279,0.10341519467680961
approach,0.1,177.5,512,-8.330233162226475e-05,0.0023823560220019857,0.004600199429400362,-0.0018181213835573673,0.05199629281073798,0.10040200302131486
approach,0.1,182.5,512,0.0003375568107531479,0.0023194179657834574,0.004339659765918241,0.007367371883162188,0.05062263347105322,0.09471557475194002
approach,0.1,187.5,512,0.0001291146510109531,0.0023902486561564185,0.004728141170455752,0.0028180016496779374,0.05216855409861932,0.10319440523542278
approach,0.1,192.5,512,0.0007497828630743109,0.002585987651818694,0.004904404437793952,0.016364442985362007,0.05644067045693874,0.10704145260183308
approach,0.1,197.5,512,0.00014580793378479728,0.002533988875531851,0.005090070452163911,0.0031823421643050694,0.055305767204595,0.11109372033974677
