acquisition_order,block,position_in_block,palindrome_mate_order,source,bytes,sha256,instrument_scan_number,map_start_time,map_end_time,approach_nominal_speed_um_per_s,approach_declared_points,approach_declared_duration_s,retract_nominal_speed_um_per_s,retract_declared_points,retract_declared_duration_s,nominal_z_span_nm,grid_i,grid_j,field_u_um,field_v_um,back_and_forth,baseline_adjust_enabled,baseline_adjust_begin_of_line,baseline_adjust_interval,baseline_adjust_deadtime_samples,baseline_adjust_average_samples,instrument_failure_flag_count,approach_curves,retract_curves,parser_skips,approach_actual_points_median,retract_actual_points_median,approach_actual_sample_rate_Hz_median,retract_actual_sample_rate_Hz_median,approach_actual_scanner_travel_nm_median,retract_actual_scanner_travel_nm_median,embedded_InvOLS_nm_per_V,embedded_k_N_per_m,prior_D3_InvOLS_nm_per_V,prior_D3_k_N_per_m
21,3,5,20,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,5475841,1d3fdcd9a1fcf9d5feaa273bdcb56c9aeffb234fb4691c36783f0e97c7804c59,29,2026-09-12T16:02:08.805000+02:00,2026-09-12T16:04:28.005667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.7877288400985,498.28350526032176,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
22,3,6,19,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,12888292,d860ca57f96bd73c1a35575fa334d2edabdbb7a6ca6f6063001170abc4569bac,30,2026-09-12T16:05:08.793000+02:00,2026-09-12T16:11:00.862000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9986.5,1000.0,1998.0,2000.0,499.7015732578912,498.43919850717396,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
23,3,7,18,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,2055392,11b28becc74988ce5178b150dd903aa0d65ac1234a7c7c1ce17f44b1fb68a084,31,2026-09-12T16:11:07.693000+02:00,2026-09-12T16:11:53.010000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,496.37582987195213,497.3717423553573,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
24,3,8,17,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,2917636,8c073a1e89d4717d7d04df5df677f7733700b1e64c2461e50674064d4ed7ebff,32,2026-09-12T16:12:04.175000+02:00,2026-09-12T16:13:12.785000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1110.0,1000.0,1998.0,2000.0,499.1432032493565,497.93382802996064,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
25,4,1,32,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,2054295,f0bb49207b86aa27a064d226c2ce85a3b7fb73a3e2cb0feb07bc57fdb4aaf582,33,2026-09-12T16:13:32.509000+02:00,2026-09-12T16:14:17.825000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,370.0,1000.0,1998.0,2000.0,496.0587502027905,497.37781165652314,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
26,4,2,31,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.14.59.227.jpk-force-map,12884848,a4fb93c4e5c702cd0ea6b8d1b1e8847f00981c058d670e7907be2b3b8e06be02,34,2026-09-12T16:14:58.727000+02:00,2026-09-12T16:20:50.801000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9986.5,1000.0,1998.0,2000.0,499.7364731643237,498.4429369687373,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
27,4,3,30,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.21.01.539.jpk-force-map,5463774,16e6fdd2dd1fa46c094fcc13a9d5187291835638cff465622d363dbdf77d96be,35,2026-09-12T16:21:01.038000+02:00,2026-09-12T16:23:20.173667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3330.0,1000.0,1998.0,2000.0,499.7608358521077,498.29284571535845,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
28,4,4,29,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.23.29.925.jpk-force-map,2918624,3e067dabac3a86dc3760b5fcec384ca4cf2812d8e517e74d71bdfce31d205dcc,36,2026-09-12T16:23:29.423000+02:00,2026-09-12T16:24:38.026000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1109.5,1000.0,1998.0,2000.0,498.52314862501044,497.93522995304477,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
29,4,5,28,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.24.53.504.jpk-force-map,2918157,8c925cdde9e09de77d545be125accb1805bcd68f701e12bcfe5520c2520f6fd4,37,2026-09-12T16:24:53.003000+02:00,2026-09-12T16:26:01.606000+02:00,0.8999999999999999,1110,0.5555555555555556,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,1109.5,1000.0,1998.0,2000.0,498.44266912164227,497.945037715779,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
30,4,6,27,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.26.39.509.jpk-force-map,5462891,f16a7c810046249f2c51921f321c50253939495cc0043622131e3a57fc7afd4a,38,2026-09-12T16:26:38.986000+02:00,2026-09-12T16:28:58.113667+02:00,0.3,3330,1.6666666666666667,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,3329.5,1000.0,1998.0,2000.0,499.64323388131646,498.29074283072805,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
31,4,7,26,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.29.17.790.jpk-force-map,12885600,16d8787092ad8e8a74f5a859ef4dafeddfca2983ac1f82a8b6e96d84966d55b0,39,2026-09-12T16:29:17.290000+02:00,2026-09-12T16:35:09.265000+02:00,0.09999999999999999,9990,5.0,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,9981.5,1000.0,1998.0,2000.0,499.46338310615596,498.4284618279247,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
32,4,8,25,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.35.11.254.jpk-force-map,2055708,b258b87009e9ba3eaf2be7d1e36d35dd8fda3144befc2aeb19dcbb1ed2675e03,40,2026-09-12T16:35:10.752000+02:00,2026-09-12T16:35:56.064000+02:00,2.7,370,0.18518518518518517,1.0,1000,0.5,500.0,8,8,1.9999999999999991,1.9999999999999991,True,True,True,1,100,100,0,64,64,0,369.0,1000.0,1998.0,2000.0,494.6064319704605,497.3941503292441,62.67065761051995,0.18885965028693016,91.5629518721293,0.2383668909630904
