acquisition_order,instrument_scan_number,block,position_in_block,map_start_time,approach_speed_um_per_s,branch,physical_row,physical_column,scanner_travel_bin_center_nm,delta_V,delta_nN_prior_D3_scale
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,327.5,-0.9751852340322674,-21.28397960051311
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,332.5,-1.0624283957101388,-23.188111870603084
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,337.5,-1.0939301929907523,-23.875656746490623
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,342.5,-1.0721834773837435,-23.401022148667725
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,347.5,-1.0204989797818933,-22.27297820970038
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,352.5,-0.9383233091704566,-20.47944685184716
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,357.5,-0.8504371175123482,-18.561280081947043
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,362.5,-0.7495066320031412,-16.35841408307901
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,367.5,-0.6540328740213446,-14.274644306473013
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,372.5,-0.5548161997645968,-12.109183225628245
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,377.5,-0.46549961417139185,-10.15979728395149
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,382.5,-0.36191827985459923,-7.899074982531167
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,387.5,-0.25199957190796507,-5.500035850265646
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,392.5,-0.1573560033473227,-3.434385436102563
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,397.5,-0.06079233321580291,-1.326827698859447
1,9,1,1,2026-09-12T15:05:27.199000+02:00,0.1,retract_far_to_contact,3,3,402.5,0.03489546310370484,0.7616135877885292
