approach_speed_um_per_s,position_within_line,signal,maps,map_centered_raw_V_q25,map_centered_raw_V_median,map_centered_raw_V_q75,settled_delta_V_q25,settled_delta_V_median,settled_delta_V_q75,settled_delta_nN_prior_D3_scale_median
0.1,8,settled_100_300nm,8,-0.017895200523948718,-0.012713100789501369,-0.006731803363440807,0.001824280320070766,0.0019476945035489385,0.0022779965846436074,0.0425095547336758
0.3,1,initial_0_10nm,8,0.02728282591661923,0.02937107042180072,0.03796770988307621,-0.0030107385330663816,-0.0018906856566388575,0.002211979552883034,-0.041265303803351736
0.3,1,settled_100_300nm,8,0.003490424289440873,0.004992253794378232,0.005893521767434268,-0.0030107385330663816,-0.0018906856566388575,0.002211979552883034,-0.041265303803351736
0.3,2,initial_0_10nm,8,-0.014869624019440572,-0.013841347001657511,-0.012230920426771076,0.03472227498795803,0.037922252148202995,0.04385444900494199,0.8276750026151033
0.3,2,settled_100_300nm,8,0.003409285966258467,0.003973168163445173,0.005684336023105641,0.03472227498795803,0.037922252148202995,0.04385444900494199,0.8276750026151033
0.3,3,initial_0_10nm,8,-0.01515482712175957,-0.009930580846075121,-0.006236321214537127,0.026466327629341674,0.02887192249474524,0.04210558846366361,0.6301463434437319
0.3,3,settled_100_300nm,8,0.00209109300078833,0.002414849868887084,0.0037898017339470097,0.026466327629341674,0.02887192249474524,0.04210558846366361,0.6301463434437319
0.3,4,initial_0_10nm,8,-0.00805713321136238,-0.0034834549655542446,-0.0010677346264449591,0.021657446521835332,0.02577098287544108,0.03259112575641396,0.5624665495990389
0.3,4,settled_100_300nm,8,-0.001279171287182912,0.0006955550711868486,0.0020132265888401085,0.021657446521835332,0.02577098287544108,0.03259112575641396,0.5624665495990389
0.3,5,initial_0_10nm,8,-0.007941200413527305,-0.00521122433317231,-0.002700203495809371,0.020459568254020927,0.023308309984383553,0.03683220546494264,0.5087172948453818
0.3,5,settled_100_300nm,8,-0.0012452003524486832,-0.0002747411209555045,0.00027134684330040737,0.020459568254020927,0.023308309984383553,0.03683220546494264,0.5087172948453818
0.3,6,initial_0_10nm,8,-0.007469473341363754,-0.005943773693534715,-0.003254464980776861,0.02762914861280384,0.030330934876552973,0.03484308679919869,0.6619901293087919
0.3,6,settled_100_300nm,8,-0.0033626838272432097,-0.002432672955263837,-0.002002227516225266,0.02762914861280384,0.030330934876552973,0.03484308679919869,0.6619901293087919
0.3,7,initial_0_10nm,8,-0.0002942098966418061,0.002399282913397749,0.00752971968395226,0.010476566954190976,0.012236213122111317,0.01427030596678653,0.26706240146980187
0.3,7,settled_100_300nm,8,-0.0058276128491877785,-0.004073731808329595,-0.0029364158804805335,0.010476566954190976,0.012236213122111317,0.01427030596678653,0.26706240146980187
0.3,8,initial_0_10nm,8,0.006318664777440308,0.008022564349798755,0.012374006402952623,0.005233551338158407,0.0058581463999137495,0.006992867255794736,0.12785742043799028
0.3,8,settled_100_300nm,8,-0.006603755247031051,-0.003811791188379654,-0.001619260596165982,0.005233551338158407,0.0058581463999137495,0.006992867255794736,0.12785742043799028
0.9,1,initial_0_10nm,8,0.16114579569520934,0.16842966455304528,0.17776184231356912,0.004019109454260712,0.004945646093252961,0.009273496109017343,0.10794157549423106
0.9,1,settled_100_300nm,8,0.0017556762118753517,0.0023325063059840227,0.0030148600566099817,0.004019109454260712,0.004945646093252961,0.009273496109017343,0.10794157549423106
