location,speed_um_per_s,early_location_order,late_location_order,early_scan_number,late_scan_number,elapsed_min,baseline,distance_nm,paired_pixels,difference_median,difference_q25,difference_q75,negative_pixel_fraction,positive_pixel_fraction,naive_pixel_wilcoxon_p,exact_physical_row_signflip_p,row_cluster_bootstrap_median_95CI_low,row_cluster_bootstrap_median_95CI_high,exact_row_signflip_BH_q_across_primary_endpoint_tests
B,2.0,1,17,25,41,30.45286666666667,constant,20.0,63,-55.49393962351877,-234.06349780545568,63.617469762117366,0.6825396825396826,0.31746031746031744,0.005559810144087877,0.1875,-115.14925809099827,6.874011467196851,
B,2.0,1,17,25,41,30.45286666666667,constant,50.0,64,-42.279193986862865,-79.60642223078403,4.064072387227995,0.71875,0.28125,3.006110688601389e-05,0.0234375,-56.82727005975187,-14.963942067923256,
B,2.0,1,17,25,41,30.45286666666667,constant,100.0,64,-12.80860779289138,-29.456767230364935,-0.6224831977395411,0.796875,0.203125,1.6823915887053364e-06,0.0078125,-21.791433016848387,-5.586677725715646,
B,2.0,1,17,25,41,30.45286666666667,constant,200.0,64,0.9093202324954381,-5.9478727577869455,8.53939613363731,0.453125,0.546875,0.33220194306235573,0.1796875,-1.086584609521831,5.337362669305508,
B,4.0,3,18,27,42,27.311275000000002,linear,20.0,64,-48.89108635517482,-204.35424853760756,106.92811010194374,0.578125,0.421875,0.1724885947229874,0.6171875,-101.25051765431925,31.646536131344504,0.6732954545454546
B,4.0,3,18,27,42,27.311275000000002,linear,50.0,64,-22.612462142008226,-73.87345169115429,26.950794521565527,0.640625,0.359375,0.021044279243034272,0.2421875,-60.70135458997609,11.237863973795754,0.34191176470588236
B,4.0,3,18,27,42,27.311275000000002,linear,100.0,64,-2.9320022118129465,-40.27679657831942,22.090007833522996,0.578125,0.421875,0.17673517347829648,0.453125,-26.341871869580444,15.411245185837942,0.6
B,4.0,3,18,27,42,27.311275000000002,linear,200.0,64,8.38163014190729,-21.787813095743907,31.09051158835109,0.4375,0.5625,0.26407416724734045,0.578125,-10.644764361194397,20.497739622100916,0.6607142857142857
B,4.0,3,18,27,42,27.311275000000002,constant,20.0,64,-65.60373375677767,-210.5806011935615,111.66165349877716,0.609375,0.390625,0.10273192047937604,0.5078125,-118.76712013439811,37.00617430784746,
B,4.0,3,18,27,42,27.311275000000002,constant,50.0,64,-33.74693183082947,-79.44164855055666,18.761070242560244,0.6875,0.3125,0.0008265348419032576,0.0859375,-66.02668384146597,-5.182086408566931,
B,4.0,3,18,27,42,27.311275000000002,constant,100.0,64,-17.668343178549357,-32.050897251879015,-5.0017663942786506,0.8125,0.1875,6.073082379339358e-07,0.0234375,-28.41259985480555,-9.195335441372599,
B,4.0,3,18,27,42,27.311275000000002,constant,200.0,64,-3.556537274402703,-12.316650194089316,5.677137060589902,0.5625,0.4375,0.0508490630638003,0.5234375,-8.461745531280098,4.3585609871192155,
