location,metric,baseline,distance_nm,time_model,full_interval_time_change_at_mean_speed_pN,time_change_hc3_se_pN,time_change_hc3_95CI_low_pN,time_change_hc3_95CI_high_pN,time_change_hc3_p,time_change_hac1_se_pN,time_change_hac1_95CI_low_pN,time_change_hac1_95CI_high_pN,time_change_hac1_p,time_change_hac2_se_pN,time_change_hac2_95CI_low_pN,time_change_hac2_95CI_high_pN,time_change_hac2_p,actual_time_span_min,actual_gap_speed_coefficient_pN_per_um_s,n_maps,design_rank,design_parameters,design_condition_number,r2,rmse_pN,max_leverage,residual_lag1_correlation,claim_status,full_interval_normalized_change_at_mean_speed,normalized_change_hc3_se,normalized_change_hc3_95CI_low,normalized_change_hc3_95CI_high,normalized_change_hac1_se,normalized_change_hac1_95CI_low,normalized_change_hac1_95CI_high,normalized_change_hac1_p,normalized_change_hac2_se,normalized_change_hac2_95CI_low,normalized_change_hac2_95CI_high,normalized_change_hac2_p,actual_gap_speed_coefficient_per_um_s
A,force,constant,50.0,linear_time_speed,-76.24853717471882,6.885630609294175,-90.92491140778826,-61.57216294164939,1.2856448499842594e-08,5.914168542349765,-88.85428902667147,-63.64278532276617,1.6118888177370498e-09,5.314865508827754,-87.57690484821866,-64.92016950121898,3.6354028998925437e-10,68.25440833333333,0.23257747457060596,18,3,3,4.480985491052548,0.9255475542652453,6.6823979741322885,0.30346844418111824,0.04019512643455146,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,50.0,quadratic_time_speed,-76.3073347319692,7.189073164098857,-91.72636315278926,-60.88830631114915,4.441783606716572e-08,5.685231723068624,-88.5009440493298,-64.11372541460861,2.1938805847502856e-09,5.057872500017328,-87.15539233918747,-65.45927712475094,4.715078581202813e-10,68.25440833333333,0.25574716962926125,18,4,4,21.34498823675807,0.9269720222319316,6.618163463705039,0.4976806016683094,0.05877818295389192,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,100.0,linear_time_speed,-25.153398493374517,4.877319181595485,-35.549158246533985,-14.757638740215052,0.00011695652974052144,4.262916162201217,-34.2395892100558,-16.06720777669324,2.9135285452645748e-05,4.204723341175418,-34.11555414812554,-16.191242838623495,2.5123015894993715e-05,68.25440833333333,-0.29333247654599326,18,3,3,4.480985491052548,0.7972564792471468,3.922913701166779,0.30346844418111824,0.03810617935964911,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,100.0,quadratic_time_speed,-25.245934723379186,4.60455868848951,-35.121730902183714,-15.37013854457466,8.067327172171778e-05,3.609454441359166,-32.98744455984895,-17.50442488690942,6.303677603121748e-06,3.5115299382985694,-32.777417389263704,-17.714452057494665,4.640540667977833e-06,68.25440833333333,-0.2568677604723346,18,4,4,21.34498823675807,0.8251352039996909,3.643228873110483,0.4976806016683094,-0.000995457643799569,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,200.0,linear_time_speed,1.0466130960063764,6.047096411815191,-11.842467802910523,13.935693994923277,0.8649048023566324,6.293204966223838,-12.367035769363097,14.460261961375851,0.8701352282429096,6.6294840275723645,-13.08379762185553,15.177023813868283,0.8766629256002223,68.25440833333333,-0.30370176485006956,18,3,3,4.480985491052548,0.010949387348593409,4.700978720368708,0.30346844418111824,0.7862212226204125,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,force,constant,200.0,quadratic_time_speed,0.8162776554982116,3.4771939305146433,-6.641561597975133,8.274116908971557,0.8178000199905908,3.3017627551503264,-6.2652991484081255,7.897854459404549,0.8083229359618869,3.433083525902279,-6.546954189363904,8.179509500360327,0.8155054779839547,68.25440833333333,-0.21293605676687427,18,4,4,21.34498823675807,0.5977401950489606,2.9980049563167235,0.4976806016683094,0.7362411076504515,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
A,endpoint_normalized_force,linear,50.0,linear_time_speed,,,,,0.5030489675730437,,,,,,,,,68.25440833333333,,18,3,3,4.480985491052548,0.22757365429045928,0.006677001340386331,0.30346844418111824,0.7024901355622312,model_free_shape_chronology_adjusted_for_measured_gap_speed,0.004757582728796561,0.0069331029793006675,-0.010019976465749834,0.019535141923342957,0.0070496558341342575,-0.010268402995218532,0.019783568452811654,0.5100291939005392,0.007788206855440366,-0.01184258723395381,0.02135775269154693,0.5504307682075454,0.002696194941647575
A,endpoint_normalized_force,linear,100.0,linear_time_speed,,,,,0.005485619867877612,,,,,,,,,68.25440833333333,,18,3,3,4.480985491052548,0.466995323787738,0.0038048382789153635,0.30346844418111824,0.4171351102207573,model_free_shape_chronology_adjusted_for_measured_gap_speed,-0.01121016637458884,0.0034590617954337564,-0.018582982066527736,-0.0038373506826499433,0.0034753032455758755,-0.01861759989805238,-0.0038027328511252992,0.005658487824603806,0.0037423512459584885,-0.019186799237110426,-0.0032335335120672534,0.009055555636446009,0.0006676230162672393
B,force,linear,20.0,linear_time_speed,-113.55373913037573,47.21461807591314,-214.18931537203778,-12.918162888713681,0.02953164805765751,42.38748105122287,-203.90051635440915,-23.20696190634233,0.017168021357020235,43.014222371162155,-205.23638385597695,-21.871094404774496,0.018561662889631982,31.497608333333336,1.4286700036631643,18,3,3,4.560112747765234,0.38657107408992486,43.33012077893883,0.31364178348778066,0.23293963214132038,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
B,force,linear,20.0,quadratic_time_speed,-114.63253506179126,37.75708819042184,-195.61343518711345,-33.651634936469065,0.008892492853971994,24.53374801650837,-167.25219121230674,-62.01287891127579,0.0003594599140874772,22.363435662064674,-162.59733416587426,-66.66773595770827,0.000154172183191026,31.497608333333336,1.5671152230017853,18,4,4,20.605699310982484,0.579919680865862,35.8569992129925,0.4989774847358364,-0.05489735966909687,chronology_association_adjusted_for_measured_gap_speed,,,,,,,,,,,,,
