source,location,location_order,relative_time_min,nominal_speed_um_per_s,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalization_threshold_pN,normalized_force
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,0,0,0,50.0,True,551.9756576466475,50.0,0.44991357588390657
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,1,0,1,50.0,True,563.6998273305949,50.0,0.43607272903032557
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,2,0,2,50.0,True,722.9295643498214,50.0,0.3921118442475088
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,3,0,3,50.0,True,744.6960144355526,50.0,0.3875291995208005
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,4,0,4,50.0,True,610.0313754066925,50.0,0.3849390302716973
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,5,0,5,50.0,True,381.1174485657122,50.0,0.43645928405462936
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,6,0,6,50.0,True,287.56786579446856,50.0,0.4422932228534706
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,7,0,7,50.0,True,412.38126636137537,50.0,0.34932584020422747
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,8,1,7,50.0,True,684.4072917694139,50.0,0.4117623321665138
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,9,1,6,50.0,True,638.2497800642583,50.0,0.39729859160710196
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,10,1,5,50.0,True,596.0569988044044,50.0,0.43283657544505577
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,11,1,4,50.0,True,473.4166396123492,50.0,0.38214936747605416
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,12,1,3,50.0,True,436.714380224686,50.0,0.37074585996508697
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,13,1,2,50.0,True,600.0258655051994,50.0,0.3336076731340933
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,14,1,1,50.0,True,839.2305336694237,50.0,0.3540843402912476
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,15,1,0,50.0,True,848.6016643115009,50.0,0.3873374343680669
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,16,2,0,50.0,True,1001.8014705022305,50.0,0.3649614619484033
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,17,2,1,50.0,True,870.2308959692718,50.0,0.35980864446803335
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,18,2,2,50.0,True,692.3354458602329,50.0,0.3782192040276638
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,19,2,3,50.0,True,532.1407867963424,50.0,0.42900412976773833
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,20,2,4,50.0,True,483.0067860473397,50.0,0.45893191774369163
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,21,2,5,50.0,True,511.8373015380617,50.0,0.42793327323863206
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,22,2,6,50.0,True,647.8452222817064,50.0,0.3979103241253534
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,23,2,7,50.0,True,440.92222506903903,50.0,0.4662717345995861
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,24,3,7,50.0,True,988.1296829250637,86.67228718641334,0.24339425658619362
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,25,3,6,50.0,True,291.2067736446605,62.19268858905406,-0.11580013851919625
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,26,3,5,50.0,True,372.72791572485124,50.0,0.22735935649554018
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,27,3,4,50.0,True,704.9790711741634,80.91689191464664,0.4966628766831147
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,28,3,3,50.0,True,716.6772847342406,50.0,0.4326255197910177
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,29,3,2,50.0,True,678.9147597348574,68.0245908612397,0.2447313599006842
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,30,3,1,50.0,True,746.4377698018333,50.0,0.3145728528166891
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,31,3,0,50.0,True,1102.310223610666,50.0,0.19846572044528474
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,32,4,0,50.0,True,1436.4042436584898,69.92868971796334,0.31843222339452676
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,33,4,1,50.0,True,954.9042912702889,50.0,0.297521191230205
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,34,4,2,50.0,True,1031.7441403746773,50.0,0.3611141722045835
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,35,4,3,50.0,True,1071.266822376675,50.0,0.3380593744943254
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,36,4,4,50.0,True,1094.4686086221054,50.0,0.4313607672911712
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,37,4,5,50.0,True,868.3400564981607,50.0,0.3826346068814693
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,38,4,6,50.0,True,1169.0884073678956,50.0,0.46658360609332356
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,39,4,7,50.0,True,1441.626957461372,50.0,0.36514218255241043
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,40,5,7,50.0,True,1060.2444293107083,62.09824176641402,0.28539143364391734
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,41,5,6,50.0,True,1247.737443343041,50.0,0.3293354942091
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,42,5,5,50.0,True,1152.4307115684016,61.45220229635648,0.3181703710075032
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,43,5,4,50.0,True,1459.0674998750453,50.0,0.3454558891457612
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,44,5,3,50.0,True,1119.3571007139524,50.0,0.3859507590325404
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,45,5,2,50.0,True,1115.1881717400988,50.0,0.361714843941342
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,46,5,1,50.0,True,902.4571546108949,50.0,0.4032146123603796
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,47,5,0,50.0,True,1002.7165790131991,50.0,0.33360807767543577
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,48,6,0,50.0,True,722.9138918233826,50.0,0.40750923626339614
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,49,6,1,50.0,True,987.3712000776767,50.0,0.33314759967479873
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,50,6,2,50.0,True,1137.1970964085401,50.0,0.3353115369811456
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,51,6,3,50.0,True,1164.5698497371482,50.0,0.31750861965287785
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,52,6,4,50.0,True,1114.3454027250773,50.0,0.3436690053303403
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,53,6,5,50.0,True,1395.5206597894587,50.0,0.29831805141204504
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,54,6,6,50.0,True,750.9406866767937,50.0,0.39391526999869053
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,55,6,7,50.0,True,804.6826496474097,50.0,0.398109636142525
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,56,7,7,50.0,True,771.9312314883377,50.0,0.3809990756403892
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,57,7,6,50.0,True,745.8188832194422,50.0,0.4055222899614047
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,58,7,5,50.0,True,1180.876945905783,50.0,0.3298857069187006
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,59,7,4,50.0,True,1033.3318325063376,50.0,0.34497815618292943
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,60,7,3,50.0,True,1149.0020909373984,50.0,0.32247179387592834
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,61,7,2,50.0,True,1216.6464743582753,50.0,0.3199604187879066
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,62,7,1,50.0,True,963.4099701181018,50.0,0.35826612170501576
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,63,7,0,50.0,True,498.1111677186244,50.0,0.44758695626526895
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,0,0,0,100.0,True,551.9756576466475,50.0,0.120600489993475
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,1,0,1,100.0,True,563.6998273305949,50.0,0.11496573927334124
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,2,0,2,100.0,True,722.9295643498214,50.0,0.12507304324356655
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,3,0,3,100.0,True,744.6960144355526,50.0,0.09989870462445744
