source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,finite_pixels
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,constant,20.0,764.1806305499133,628.3775033058715,1100.9105781812887,64
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,constant,50.0,296.2273323272277,246.01233657740968,369.74365123978316,64
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,constant,100.0,81.49454414546474,67.77559965298919,95.69739556795861,64
10-09-26/map-data-2026.09.10-13.34.13.108.jpk-force-map,A,5,1,9,2026-09-10T13:35:16.745000+02:00,14.886041666666667,1.0,constant,200.0,-2.8801937929632766,-7.637771118237827,2.4618146921769304,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,linear,20.0,773.5170417420525,621.6303071198224,1005.1999242971527,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,linear,50.0,300.6120873551682,263.09128008629193,385.5134390414814,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,linear,100.0,97.61656574789389,76.38086166193618,115.44983855969156,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,linear,200.0,11.164469956396916,-9.232140035353439,26.894589358238473,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,constant,20.0,753.9480372147833,619.6581363736386,988.0429207800905,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,constant,50.0,299.19874624638226,245.2473297274887,353.48397554590434,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,constant,100.0,83.39975268482121,68.29126026653017,98.85792225351213,64
10-09-26/map-data-2026.09.10-13.38.36.025.jpk-force-map,A,6,1,10,2026-09-10T13:39:08.176000+02:00,18.743225,2.0,constant,200.0,-4.432669544660845,-8.391796382007215,2.8068772067155114,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,linear,20.0,781.6499401113454,627.3628277952773,1048.2969993433899,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,linear,50.0,299.4022227054871,254.7397169797344,371.24477269968526,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,linear,100.0,98.50962965271319,65.88072884211319,116.27846444247385,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,linear,200.0,7.137174457007368,-8.48766192347209,26.474882901128552,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,constant,20.0,750.9306640168456,629.3889940707386,1078.1689355166159,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,constant,50.0,288.5349463699697,246.68613577312755,360.1742247299062,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,constant,100.0,80.38469927680353,68.11286093852355,95.7595746681951,64
10-09-26/map-data-2026.09.10-13.42.57.599.jpk-force-map,A,7,2,11,2026-09-10T13:44:01.232000+02:00,23.627491666666668,1.0,constant,200.0,-2.1545235957643465,-6.654984635627905,2.426388007948945,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,linear,20.0,789.6072664991539,625.976418135237,1024.8816972079837,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,linear,50.0,317.31537165473213,276.66620314015074,368.8616319637268,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,linear,100.0,100.15337377646284,78.62167498688453,115.65823860737001,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,linear,200.0,11.60872445811227,-2.4678989684377157,24.546896180085813,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,constant,20.0,770.9829280814272,592.1620156729117,1023.2634056173964,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,constant,50.0,300.667447649211,247.8708125746773,359.0742202604203,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,constant,100.0,85.13257339478004,67.41465406069479,97.96569488168564,64
10-09-26/map-data-2026.09.10-13.47.13.237.jpk-force-map,A,8,2,12,2026-09-10T13:47:29.643500+02:00,27.101016666666666,4.0,constant,200.0,-1.4201728943501024,-8.505179232323004,5.500857970680252,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,linear,20.0,727.361812443454,585.1567482951527,997.4267684301295,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,linear,50.0,300.0273122976173,242.15827506552338,349.12883839937115,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,linear,100.0,92.99126290870453,69.57313306363508,114.96099655047851,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,linear,200.0,3.7728779089265343,-6.467953774257816,27.252453235594245,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,constant,20.0,725.9461399516505,577.7316938824187,973.486949938283,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,constant,50.0,283.2836404234848,238.29384674756201,351.4170739075586,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,constant,100.0,79.16581180993516,66.44787537572832,94.26994526813523,64
10-09-26/map-data-2026.09.10-13.51.22.530.jpk-force-map,A,9,2,13,2026-09-10T13:51:54.680500+02:00,31.5183,2.0,constant,200.0,-1.4518392739508008,-6.051041049260922,3.719265548460969,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,linear,20.0,743.1413856176582,556.1857593084211,970.3559006132591,64
10-09-26/map-data-2026.09.10-13.55.29.288.jpk-force-map,A,10,2,14,2026-09-10T13:56:01.435000+02:00,35.630874999999996,2.0,linear,50.0,294.8680606025438,220.9194773700923,370.7931397715447,64
