source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,point_index,row,column,force_pN
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,22,2,6,281.2472798517483
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,23,2,7,233.91712637080514
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,24,3,7,360.2143847513857
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,25,3,6,-572.8045040150951
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,26,3,5,-788.3973790023546
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,27,3,4,366.40141941069425
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,28,3,3,615.8334992530555
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,29,3,2,-519.7703216441796
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,30,3,1,294.392196476719
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,31,3,0,-74.43906458595258
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,32,4,0,872.9836149193983
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,33,4,1,68.18795710784522
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,34,4,2,416.7904774013499
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,35,4,3,440.3588829611271
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,36,4,4,824.61566905829
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,37,4,5,297.0924679504991
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,38,4,6,655.9142255659971
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,39,4,7,1376.6758289537502
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,40,5,7,264.79413351341634
