location,block_in_location,pair_depth,speed_um_per_s,early_location_order,late_location_order,early_scan_number,late_scan_number,pair_center_time,pair_center_relative_min,early_late_separation_min,baseline,distance_nm,paired_pixels,difference_median,difference_q25,difference_q75,negative_pixel_fraction,positive_pixel_fraction,naive_pixel_wilcoxon_p,exact_physical_row_signflip_p,row_cluster_bootstrap_median_95CI_low,row_cluster_bootstrap_median_95CI_high,history_half_difference_median_pN,exact_row_signflip_BH_q_across_primary_pair_tests
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,linear,100.0,64,-17.582246827666637,-37.17156450707686,1.0710345654202946,0.734375,0.265625,0.000732304801549813,0.0078125,-23.335504636199005,-7.153899508078609,-8.791123413833319,0.1875
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,linear,200.0,64,-15.735616505407089,-31.165129103738415,-2.181335634175406,0.765625,0.234375,0.0005453338022277256,0.03125,-19.95683416122874,-10.976096548718221,-7.8678082527035444,0.225
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,constant,20.0,64,-20.33756080871899,-129.5409915480961,79.28855488785666,0.546875,0.453125,0.30939100732488667,0.3125,-57.77948146178096,60.98303650874527,-10.168780404359495,
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,constant,50.0,64,-18.243825686438527,-47.950550280635966,12.385202480611206,0.640625,0.359375,0.0021922003357469407,0.0625,-29.55257704844034,1.083267060496894,-9.121912843219263,
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,constant,100.0,64,-18.064490959270895,-28.49079298867823,-7.282094941218297,0.84375,0.15625,6.446054235222901e-09,0.0078125,-21.003203323753084,-13.121268080487823,-9.032245479635447,
A,1,2,1.0,2,5,6,9,2026-09-10T13:29:41.473500+02:00,9.298183333333332,11.175716666666666,constant,200.0,64,-14.588684868468746,-18.491070392703197,-5.92409491110947,0.90625,0.09375,4.6885424131357187e-11,0.0078125,-16.404207336258764,-11.749112343074374,-7.294342434234373,
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,linear,20.0,64,-9.1279227122713,-63.108415400825066,53.23061173485644,0.53125,0.46875,0.5561964561941721,0.7265625,-31.256970499009924,26.062259842529784,-4.56396135613565,0.9613636363636363
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,linear,50.0,64,-9.10422125399397,-42.799889515658904,17.836523447826487,0.546875,0.453125,0.11298028204217299,0.3671875,-24.735757476448256,10.166542588412028,-4.552110626996985,0.7775735294117647
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,linear,100.0,64,-10.003733903547165,-34.91527613355145,16.100926597340127,0.65625,0.34375,0.03878705106907489,0.1015625,-24.11939664990689,-1.6028901539261398,-5.001866951773582,0.43014705882352944
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,linear,200.0,64,-9.917899314168412,-27.367298188763506,6.681789491699078,0.671875,0.328125,0.008754328891911559,0.03125,-18.792534845161914,-2.0653016760423313,-4.958949657084206,0.225
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,constant,20.0,64,6.782105381622102,-53.31207742827067,43.62886272844358,0.46875,0.53125,0.872487132736,0.6953125,-16.71611930452687,23.744421745353634,3.391052690811051,
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,constant,50.0,64,-3.8181247678010664,-16.29873172685162,11.500826225744916,0.5625,0.4375,0.4222634621346363,0.71875,-9.704155169049272,8.324852982044149,-1.9090623839005332,
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,constant,100.0,64,-4.027554403979003,-10.524069949726556,6.566982282550544,0.625,0.375,0.06993772741509369,0.0859375,-9.150386393684123,-0.6640959884211597,-2.0137772019895017,
A,1,3,4.0,3,4,7,8,2026-09-10T13:30:34.815250+02:00,10.1872125,2.8780916666666667,constant,200.0,64,-0.610977788058857,-11.922766079337244,5.373151041210936,0.5625,0.4375,0.11298028204217299,0.3828125,-7.260244016815344,3.5616757337914793,-0.3054888940294285,
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,linear,20.0,64,-40.34649595268232,-212.61670544269325,95.59074631112307,0.640625,0.359375,0.06891123495182142,0.4609375,-148.81924407218,37.47948690043529,-20.17324797634116,0.823170731707317
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,linear,50.0,64,-26.855102772920503,-88.6402302807726,26.21008791981403,0.609375,0.390625,0.04138131777654499,0.328125,-69.53931178452977,14.752997312507873,-13.427551386460252,0.7159090909090909
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,linear,100.0,64,-9.11526404586801,-58.513284154798164,30.81451367118288,0.5625,0.4375,0.19450187636053806,0.8203125,-27.03347983445063,11.670389892649851,-4.557632022934005,0.9619565217391305
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,linear,200.0,64,-4.599206865195476,-30.092871122510893,34.06241935516495,0.546875,0.453125,0.7330563505884228,0.71875,-10.464679046323695,16.60308661597615,-2.299603432597738,0.9613636363636363
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,constant,20.0,64,-23.9068569276767,-147.27483761189777,80.29877974585969,0.5625,0.4375,0.12732119786263435,0.625,-128.0339949036119,58.56414416607515,-11.95342846383835,
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,constant,50.0,64,-13.129686672937652,-54.5781152488533,14.732748811269026,0.671875,0.328125,0.0046720772306361015,0.1171875,-44.49125086703043,1.3134641170486894,-6.564843336468826,
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,constant,100.0,64,-7.601490102776204,-15.017390775992807,5.635362134052434,0.671875,0.328125,0.0039476546493167185,0.078125,-12.810104431547998,-1.4239893229270848,-3.800745051388102,
A,2,1,1.0,7,12,11,16,2026-09-10T13:54:29.456000+02:00,34.09789166666666,20.940800000000003,constant,200.0,64,3.154764626720469,-5.989610268353582,11.42983566541124,0.421875,0.578125,0.08326221824328542,0.0703125,-0.9552795112789383,8.04851112587501,1.5773823133602345,
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,linear,20.0,64,-27.297665337731672,-123.48292202339385,41.90182072593103,0.59375,0.40625,0.007472883093784643,0.1796875,-83.40237113704609,12.669170575260353,-13.648832668865836,0.5390625
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,linear,50.0,64,-24.45926662998022,-62.8366128730688,6.286984307569838,0.6875,0.3125,5.0645530995245414e-05,0.0234375,-44.65278599772296,-10.38740437334252,-12.22963331499011,0.225
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,linear,100.0,64,-12.846902145464313,-40.67772286365759,11.23986052127138,0.65625,0.34375,0.004480485133461547,0.109375,-25.865896254667366,-3.0449299008827424,-6.423451072732156,0.4375
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,linear,200.0,64,-3.3167996841445784,-31.033883549897084,20.173923412103534,0.546875,0.453125,0.28461897006678627,0.6484375,-16.6216693738252,6.24893815304835,-1.6583998420722892,0.945
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,constant,20.0,64,-27.41132364877558,-80.6932749880643,33.20441902536906,0.625,0.375,0.020674490549463898,0.4296875,-41.59572899981242,8.068379004056993,-13.70566182438779,
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,constant,50.0,64,-15.861975150546925,-28.964310752014264,2.898091096912637,0.671875,0.328125,1.0159381632699265e-05,0.0078125,-21.159502287580096,-8.54146648377872,-7.930987575273463,
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,constant,100.0,64,-3.052856006115306,-10.75241335694169,6.0730104575578885,0.578125,0.421875,0.10133022169874978,0.2109375,-5.306731464778139,0.627303621417056,-1.526428003057653,
A,2,2,4.0,8,11,12,15,2026-09-10T13:53:46.100500+02:00,33.3753,12.548566666666666,constant,200.0,64,5.588748075858,-5.776208303738373,13.572354971940987,0.375,0.625,0.010630170501040242,0.109375,1.9065180981822865,9.51106383821796,2.794374037929,
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,linear,20.0,64,-12.472494527997668,-80.18270329670203,23.073079187362723,0.609375,0.390625,0.02379788819194614,0.2734375,-60.867458953208256,6.887105330859356,-6.236247263998834,0.6788793103448276
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,linear,50.0,64,-16.334444302076434,-53.39016434160971,19.632220565871407,0.625,0.375,0.011045634323673113,0.140625,-33.90622378079314,2.31009023556841,-8.167222151038217,0.46467391304347827
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,linear,100.0,64,-11.950482168030128,-44.67904007440385,13.451254734370142,0.578125,0.421875,0.03128909984321362,0.1015625,-38.13010402840366,5.180252680861258,-5.975241084015064,0.43014705882352944
A,2,3,2.0,9,10,13,14,2026-09-10T13:53:58.057750+02:00,33.5745875,4.1125750000000005,linear,200.0,64,-7.288094158273303,-35.64442147075719,15.600699833331518,0.609375,0.390625,0.0659058036815951,0.1484375,-28.922397334101362,0.017167267209748704,-3.6440470791366515,0.46467391304347827
