source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count,location,location_order,block_in_location,global_primary_order,instrument_scan_number,map_start_time,map_end_time,map_midpoint_time,fixed_pixel_time,relative_time_min,idle_before_map_s,spring_constant_used_N_per_m,spring_constant_repeatability_sd_N_per_m,stored_spring_constant_N_per_m,stored_InvOLS_nm_per_V
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,110.0,84.6479197621855,31.22686041635633,146.09548045743037,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,115.0,72.27553424569078,23.00748850821368,137.0712510439816,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,120.0,67.59576341149568,20.50145894195974,125.28184359383754,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,125.0,55.619237223789014,19.105557162946326,114.95968872100019,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,130.0,53.87421766041163,4.214353170986976,112.04856140456437,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,135.0,47.90395616748967,2.536067151802964,102.25896004613517,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,140.0,44.25229436007274,-3.540548147999785,100.41927156544675,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,145.0,31.808204329697197,-5.364443848751011,94.56064235431063,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,150.0,29.62745383292829,-14.31067262156445,88.77849942611086,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,155.0,31.796649862192474,-13.975563157464677,81.51800087084636,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
