source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus,retained_for_global_consensus
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,36,79.34345704127692,79.75883465844113,79.57531509751557,0.9998717839626836,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,37,79.88262856672496,80.12528447337404,79.91359789932889,0.9999237697632742,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,38,80.29142571223288,80.16182781392503,80.05325243500795,0.9999419990954823,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,39,80.21255882795587,80.16748378721547,79.98365872216876,0.9999280605277056,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,40,79.54363227595441,79.73472014894318,79.62156918838011,0.99989501878651,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,41,79.41996513727995,79.41110252437286,79.57015085998513,0.9999397239816219,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,42,79.65836881534658,80.00940360238171,79.69560315880135,0.9998791255200217,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,43,79.72256224646269,79.68357754945768,79.81082541742227,0.9999206225417859,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,44,80.03715822572987,80.18164497966058,79.73550696534024,0.9999435623575428,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,45,79.90945415769232,79.90678132585681,79.83300539243812,0.9999199012981892,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,46,80.0448070288878,80.41545538171837,79.88451690881257,0.9999041952508597,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,47,79.89983598432366,79.7989384412417,79.84300685836963,0.9997229199319466,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,48,80.2320108734837,80.0364397945802,79.69013876044527,0.9998902171258278,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,49,80.35106982303881,80.65169384141942,80.01314927934469,0.9998484499865432,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,50,79.73170064626271,79.29414821413967,79.95314073012419,0.9999193510318258,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,51,78.73151466246925,78.86019398091935,78.69725212030723,0.9998832860166195,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,52,79.6572104556027,79.34442579608589,79.4252311493204,0.9999124224322166,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,53,79.71316959249572,80.05354074058542,79.92118220386959,0.9998717708725205,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,54,79.982538656002,79.77614832740677,79.953350214731,0.9999331113815098,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,55,80.26615440268498,79.76828181696814,80.24381804967581,0.9998410069623932,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,56,79.78716668455064,80.25945376876419,79.60099753883554,0.999801135844667,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,57,79.22148657659784,79.73404402809332,79.48644946280949,0.9996732953741697,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,58,79.21009931417318,79.13541082590285,79.2801066691698,0.9999195797251542,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,59,78.9566095082261,79.0063558795849,79.46446349553473,0.999832287752389,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,60,79.44122933946551,79.55561896976852,79.19079853073802,0.999910275238738,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,61,79.82727496822606,80.20263303138702,79.63434592193508,0.9997520279690388,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,62,79.5491877352688,79.60846872975031,79.22495518547399,0.9998193811714604,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,2.0,63,79.02064527286849,78.77100581472965,78.77953811547756,0.9998346342222119,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,0,79.14066144053743,79.00220647616058,79.17882002536189,0.9998039255052401,50,True,True
