acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
1,1,2.0,9,1,6,100.0,-210.17310769824007,86.76180880070353
1,1,2.0,9,1,6,200.0,-205.38469139018693,48.1317172222419
1,1,2.0,10,1,5,20.0,-1552.4385965303293,-1017.8492220792768
1,1,2.0,10,1,5,50.0,-336.92939214097123,177.61535920567982
1,1,2.0,10,1,5,100.0,-386.6271704295171,92.79222625743559
1,1,2.0,10,1,5,200.0,-306.9202577520801,101.62985433046843
1,1,2.0,11,1,4,20.0,-1535.3805799287043,-1188.524721625763
1,1,2.0,11,1,4,50.0,-149.29483451168716,186.28948224204072
1,1,2.0,11,1,4,100.0,-218.70819209480678,93.53049327848298
1,1,2.0,11,1,4,200.0,-204.81934131164115,64.1722971549743
1,1,2.0,12,1,3,20.0,-1308.1312081661176,-1364.4493439667096
1,1,2.0,12,1,3,50.0,209.62713352060672,155.2633102524174
1,1,2.0,12,1,3,100.0,57.83774256249051,7.312703524281363
1,1,2.0,12,1,3,200.0,83.08943539733848,40.28771586712047
1,1,2.0,13,1,2,20.0,-511.45835401303606,-43.5213990028046
1,1,2.0,13,1,2,50.0,-210.92431311000394,239.7927951389914
1,1,2.0,13,1,2,100.0,-297.12294482655443,122.15048473984281
1,1,2.0,13,1,2,200.0,-231.81686127371535,126.75319517344141
1,1,2.0,14,1,1,20.0,-890.3725906055859,-808.6023106795382
1,1,2.0,14,1,1,50.0,61.7408558917961,140.61239841361504
1,1,2.0,14,1,1,100.0,-34.482607647170795,38.95953364892253
1,1,2.0,14,1,1,200.0,-39.23044054014678,23.342994238458974
1,1,2.0,15,1,0,20.0,nan,nan
1,1,2.0,15,1,0,50.0,39.94659917263704,189.19366094836045
1,1,2.0,15,1,0,100.0,-12.323998105387703,126.38028894944888
1,1,2.0,15,1,0,200.0,-33.51996407572321,84.7771744386983
1,1,2.0,16,2,0,20.0,-830.2491263066934,-861.975355833691
1,1,2.0,16,2,0,50.0,107.45280398715487,76.98680173786124
1,1,2.0,16,2,0,100.0,1.212424435559506,-27.18448957568963
1,1,2.0,16,2,0,200.0,-10.92686839092514,-34.86760496795296
1,1,2.0,17,2,1,20.0,nan,nan
1,1,2.0,17,2,1,50.0,36.56602411799847,189.1834964476052
1,1,2.0,17,2,1,100.0,-82.45634286695564,59.245258080740406
1,1,2.0,17,2,1,200.0,-67.0298077768298,53.68209586420724
1,1,2.0,18,2,2,20.0,nan,nan
1,1,2.0,18,2,2,50.0,-94.40428287438036,188.38654970134633
1,1,2.0,18,2,2,100.0,-159.5720665991,104.06403400497713
1,1,2.0,18,2,2,200.0,-206.53295128548692,18.07372951919635
1,1,2.0,19,2,3,20.0,-985.3359665013379,-1020.8758736658529
1,1,2.0,19,2,3,50.0,214.37429886439898,180.0623848136586
1,1,2.0,19,2,3,100.0,84.50030074394508,52.392139651915755
1,1,2.0,19,2,3,200.0,46.41924272953837,18.671314861091595
1,1,2.0,20,2,4,20.0,-1982.7977963937676,-1690.7687301343453
1,1,2.0,20,2,4,50.0,-37.75823341849198,244.8143703061322
1,1,2.0,20,2,4,100.0,-188.85960010700762,74.80043633327887
1,1,2.0,20,2,4,200.0,-133.0189616718559,93.17542169998538
1,1,2.0,21,2,5,20.0,nan,nan
1,1,2.0,21,2,5,50.0,117.97709750881988,213.64003356931758
1,1,2.0,21,2,5,100.0,20.972752425388283,110.09195710569615
1,1,2.0,21,2,5,200.0,-58.33914796291954,17.399318012092095
1,1,2.0,22,2,6,20.0,nan,nan
1,1,2.0,22,2,6,50.0,230.51005138414192,173.23994696379526
1,1,2.0,22,2,6,100.0,127.47291592652199,73.9523552887437
1,1,2.0,22,2,6,200.0,124.76759038930247,79.29576474050174
1,1,2.0,23,2,7,20.0,-278.54829337203245,-202.19468100214715
1,1,2.0,23,2,7,50.0,43.39655919228202,117.05220812529251
1,1,2.0,23,2,7,100.0,-61.92548902739711,6.500478847441607
1,1,2.0,23,2,7,200.0,-35.270130431327054,23.302086799838925
