source,acquisition_order,block,map_start_time,fixed_pixel_time,nominal_speed_um_per_s,physical_row_zero_based,physical_column_zero_based,point_index_in_archive,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN,force_local_map_InvOLS_pN,force_contact_40nm_pN,force_contact_60nm_pN,force_k_only_uncertainty_pN,raw_samples_in_bin
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,8,2,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:30:50.608000+02:00,4.0,3,3,28,50.0,179.78246166811127,242.09920142671783,175.9274629014626,179.6468148318151,179.9239024692862,4.1397277357788775,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,8,2,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:30:50.608000+02:00,4.0,3,3,28,100.0,19.21553307312746,77.1782435618861,18.803502580219035,8.331456146443493,8.344306602503472,0.4424629326049086,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.30.36.270.jpk-force-map,8,2,2026-09-08T15:30:36.019000+02:00,2026-09-08T15:30:50.608000+02:00,4.0,3,3,28,200.0,-28.593290213823263,21.08765989010535,-27.98017646798858,-28.57171642224863,-28.615785499729046,0.658398129923562,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,9,2,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:33:58.493000+02:00,2.0,3,3,28,20.0,-2550.7361050495283,-2502.037694468837,-2517.35705216798,-2548.8115609106508,-2563.9145518840005,58.73405505048256,4
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,9,2,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:33:58.493000+02:00,2.0,3,3,28,50.0,214.3611721143056,261.90981339689654,211.55603171362304,195.62749113384214,218.15153290802022,4.9359480421057205,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,9,2,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:33:58.493000+02:00,2.0,3,3,28,100.0,73.57860434633643,118.15321686957718,72.61575126225418,73.52308889279296,73.72413462435932,1.6942441790274836,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.33.30.403.jpk-force-map,9,2,2026-09-08T15:33:29.902000+02:00,2026-09-08T15:33:58.493000+02:00,2.0,3,3,28,200.0,1.7668442988482393,40.198355562942695,1.7437232910858265,7.0919488266398885,1.7682343336206066,0.04068391477611077,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,10,2,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:11.246000+02:00,2.0,3,3,28,20.0,-3580.7164105004777,-3405.606062671429,-3548.4421509664376,-3578.014740669887,-3583.53347837897,82.45070682073468,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,10,2,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:11.246000+02:00,2.0,3,3,28,50.0,54.76349008326568,226.4444360103503,54.26988743806483,54.7221707348409,46.645998473429636,1.261001416390986,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,10,2,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:11.246000+02:00,2.0,3,3,28,100.0,-102.75947317095228,57.079159318762535,-101.83326580725966,-101.35767129381442,-101.51400558621289,2.3661720795942958,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.36.43.160.jpk-force-map,10,2,2026-09-08T15:36:42.657000+02:00,2026-09-08T15:37:11.246000+02:00,2.0,3,3,28,200.0,-83.58201221641457,53.68720929403538,-82.82865807009367,-84.36668659307225,-83.64776894630921,1.924585807614809,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,11,2,2026-09-08T15:40:43.828000+02:00,2026-09-08T15:40:58.417000+02:00,4.0,3,3,28,20.0,-3323.8833511845132,-3234.0723175796547,-3313.312467312651,-3321.375463281421,-3326.4983600115224,76.53678769174866,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,11,2,2026-09-08T15:40:43.828000+02:00,2026-09-08T15:40:58.417000+02:00,4.0,3,3,28,50.0,245.32944900756132,333.36662785320647,244.54923236280976,245.14434661604116,258.8055049541958,5.649033365305688,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,11,2,2026-09-08T15:40:43.828000+02:00,2026-09-08T15:40:58.417000+02:00,4.0,3,3,28,100.0,68.10356137743021,149.99404553315728,67.88697289867855,67.48301997091079,67.58710592751768,1.5681741106645115,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.40.44.079.jpk-force-map,11,2,2026-09-08T15:40:43.828000+02:00,2026-09-08T15:40:58.417000+02:00,4.0,3,3,28,200.0,52.781600338590046,122.87840018343438,52.61374000511852,42.3476858280461,52.82312536706011,1.2153657972701655,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,12,2,2026-09-08T15:43:35.371000+02:00,2026-09-08T15:44:31.959000+02:00,1.0,3,3,28,20.0,-3463.286118705211,-3274.4685379333596,-3452.00583965261,-3460.6730506626905,-3466.0108002941856,79.74671983860682,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,12,2,2026-09-08T15:43:35.371000+02:00,2026-09-08T15:44:31.959000+02:00,1.0,3,3,28,50.0,17.83665319117241,202.40027829654468,17.778557377409236,0.408702597458316,17.850685875418858,0.4107124090072594,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,12,2,2026-09-08T15:43:35.371000+02:00,2026-09-08T15:44:31.959000+02:00,1.0,3,3,28,100.0,-162.05197171400704,10.514521261894943,-161.5241517767269,-157.72362558134768,-162.1794633530609,3.7314598749935826,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.43.36.372.jpk-force-map,12,2,2026-09-08T15:43:35.371000+02:00,2026-09-08T15:44:31.959000+02:00,1.0,3,3,28,200.0,-115.36280536236603,31.757953685032767,-114.98705684140211,-110.33440189606986,-115.45356509201285,2.6563803866334283,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,13,3,2026-09-08T15:49:51.191000+02:00,2026-09-08T15:50:05.781000+02:00,4.0,3,3,28,20.0,-4149.112568626905,-4136.478378238946,-4292.993533056116,-4120.923833045019,-4152.376812538277,95.53877625127743,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,13,3,2026-09-08T15:49:51.191000+02:00,2026-09-08T15:50:05.781000+02:00,4.0,3,3,28,50.0,284.0026565089024,296.4326360049067,313.73371659619545,300.34748153675264,300.8107381447661,6.539534853823411,3
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,13,3,2026-09-08T15:49:51.191000+02:00,2026-09-08T15:50:05.781000+02:00,4.0,3,3,28,100.0,128.58752467668373,140.25738919401599,134.21721860101314,128.49050469627127,128.68868872985456,2.9608969497920596,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.49.51.441.jpk-force-map,13,3,2026-09-08T15:49:51.191000+02:00,2026-09-08T15:50:05.781000+02:00,4.0,3,3,28,200.0,96.03092484455574,106.05128744079992,100.23525738384724,95.95846899418585,96.10647554522785,2.2112384010259545,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,14,3,2026-09-08T15:54:48.835000+02:00,2026-09-08T15:55:17.425000+02:00,2.0,3,3,28,20.0,-4650.344974819024,-4560.69350542619,-4688.272127331473,-4646.8362644717145,-4514.293646753917,107.08031192017489,3
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,14,3,2026-09-08T15:54:48.835000+02:00,2026-09-08T15:55:17.425000+02:00,2.0,3,3,28,50.0,201.92648075284274,290.0112906019885,209.87360481997896,210.76845872459725,202.0853429852936,4.6496229120720365,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,14,3,2026-09-08T15:54:48.835000+02:00,2026-09-08T15:55:17.425000+02:00,2.0,3,3,28,100.0,38.75483046100711,120.95768369426769,40.28008581496651,38.72558973254867,38.785320166281714,0.8923809645626637,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-15.54.49.336.jpk-force-map,14,3,2026-09-08T15:54:48.835000+02:00,2026-09-08T15:55:17.425000+02:00,2.0,3,3,28,200.0,27.151449439396444,97.39749340594891,28.2200360680198,27.13096352445716,23.41706928381071,0.6251978489334707,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,15,3,2026-09-08T16:00:05.230000+02:00,2026-09-08T16:01:01.820000+02:00,1.0,3,3,28,20.0,-808.9935228225813,-732.9438782365766,-775.2392739393835,-808.3831328494063,-907.362800248464,18.62814032815154,17
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,15,3,2026-09-08T16:00:05.230000+02:00,2026-09-08T16:01:01.820000+02:00,1.0,3,3,28,50.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,15,3,2026-09-08T16:00:05.230000+02:00,2026-09-08T16:01:01.820000+02:00,1.0,3,3,28,100.0,47.06793238005969,115.47365492225855,48.849623904382334,47.03241937139847,47.104962277212685,1.083801074540848,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.00.06.231.jpk-force-map,15,3,2026-09-08T16:00:05.230000+02:00,2026-09-08T16:01:01.820000+02:00,1.0,3,3,28,200.0,44.4595172629991,103.26714961761989,46.14247083834078,44.425972317602195,44.49449503381825,1.023738884345374,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,16,3,2026-09-08T16:06:39.515000+02:00,2026-09-08T16:07:36.109000+02:00,1.0,3,3,28,20.0,-976.4892556327815,-922.162981616274,-1167.7828491738746,-1128.6294008818531,-977.2574919856154,22.48494996522852,16
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,16,3,2026-09-08T16:06:39.515000+02:00,2026-09-08T16:07:36.109000+02:00,1.0,3,3,28,50.0,261.1862803258861,313.6238000076866,270.04322901586494,255.71352013069108,266.67559518059926,6.014157770661852,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,16,3,2026-09-08T16:06:39.515000+02:00,2026-09-08T16:07:36.109000+02:00,1.0,3,3,28,100.0,76.95853501555375,125.88347559049318,79.56823486287433,76.90046938610367,77.01908083714754,1.7720715299634087,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.06.40.516.jpk-force-map,16,3,2026-09-08T16:06:39.515000+02:00,2026-09-08T16:07:36.109000+02:00,1.0,3,3,28,200.0,56.22091152679444,97.71558615654843,58.12738888110019,56.178492546035486,56.2651423749837,1.2945604627880298,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,17,3,2026-09-08T16:12:56.406000+02:00,2026-09-08T16:13:24.998000+02:00,2.0,3,3,28,20.0,476.5901227127643,491.05650999429014,493.13211139332236,476.23053289651557,476.96507190504417,10.974114667728124,10
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,17,3,2026-09-08T16:12:56.406000+02:00,2026-09-08T16:13:24.998000+02:00,2.0,3,3,28,50.0,nan,nan,nan,nan,nan,nan,0
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,17,3,2026-09-08T16:12:56.406000+02:00,2026-09-08T16:13:24.998000+02:00,2.0,3,3,28,100.0,120.70708848058673,133.575508305504,124.89671641484503,120.61601433175719,120.80205273429522,2.7794395373819314,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.12.56.907.jpk-force-map,17,3,2026-09-08T16:12:56.406000+02:00,2026-09-08T16:13:24.998000+02:00,2.0,3,3,28,200.0,84.42314322995222,95.4001378282725,87.35339002511854,84.35944551337262,84.48956170539947,1.943953955952847,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,18,3,2026-09-08T16:18:04.176000+02:00,2026-09-08T16:18:18.766000+02:00,4.0,3,3,28,20.0,220.03597724503882,233.85423234245266,227.55995494439128,313.568189815329,128.44838664056084,5.06661789708971,17
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,18,3,2026-09-08T16:18:04.176000+02:00,2026-09-08T16:18:18.766000+02:00,4.0,3,3,28,50.0,-3203.997703109265,-3190.936608375414,nan,-3201.5802695737893,nan,73.77626290054229,1
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,18,3,2026-09-08T16:18:04.176000+02:00,2026-09-08T16:18:18.766000+02:00,4.0,3,3,28,100.0,102.09117048941069,114.3473908233389,105.5821072883856,102.01414215103905,102.17148898551386,2.3507835310061673,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.18.04.427.jpk-force-map,18,3,2026-09-08T16:18:04.176000+02:00,2026-09-08T16:18:18.766000+02:00,4.0,3,3,28,200.0,89.00145101760846,99.41031399090672,92.04479393384783,88.93429894312753,89.07147139902308,2.0493755168528263,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,19,4,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:24:23.644000+02:00,2.0,3,3,28,20.0,1180.5041588489958,1264.078640551769,1173.7033579362567,1179.6134620986204,1181.4329004652172,27.18266155244398,7
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,19,4,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:24:23.644000+02:00,2.0,3,3,28,50.0,162.49246549118828,242.47984015435293,161.55635789737585,151.87577603312366,152.1100295600203,3.7416028238102563,6
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,19,4,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:24:23.644000+02:00,2.0,3,3,28,100.0,21.82857301898687,96.16640399556914,21.70282015467163,22.64028298564009,21.8457462784231,0.5026316155687766,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.23.55.544.jpk-force-map,19,4,2026-09-08T16:23:55.043000+02:00,2026-09-08T16:24:23.644000+02:00,2.0,3,3,28,200.0,23.82623191096349,87.55875554696489,23.688970675149466,23.808254890571224,23.84497679463678,0.5486303400550804,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,20,4,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:26:26.893000+02:00,1.0,3,3,28,20.0,1140.092213863888,1388.4372539524136,1137.0583904751065,1139.2320081438106,1140.989162068101,26.25212334555005,7
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,20,4,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:26:26.893000+02:00,1.0,3,3,28,50.0,137.27008021607097,374.1970532299259,136.90479995639092,137.166509200708,137.3780751224871,3.160824215501634,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,20,4,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:26:26.893000+02:00,1.0,3,3,28,100.0,-1.60673634037693,219.78431837805493,-1.602460761410804,-1.6055240491483425,1.63858931903119,0.036997218363942465,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.25.31.280.jpk-force-map,20,4,2026-09-08T16:25:30.279000+02:00,2026-09-08T16:26:26.893000+02:00,1.0,3,3,28,200.0,11.370701009019395,201.40153814880668,11.340443194564994,11.362121753823802,11.37964671510059,0.26182535218136765,5
raw/keeper_6f30d59535114f89b568/08-09-26/map-data-2026.09.08-16.27.52.284.jpk-force-map,21,4,2026-09-08T16:27:52.033000+02:00,2026-09-08T16:28:06.633000+02:00,4.0,3,3,28,20.0,1377.922626148135,1422.026501463534,1374.3211886900615,1436.970223249956,1281.863846476274,31.728481523147842,7
