before_map,after_map,idle_interval_start_instrument_time,idle_interval_end_instrument_time,idle_s,before_speed_um_per_s,after_speed_um_per_s,map_median_InvOLS_change_percent,paired_InvOLS_median_change_nm_per_V,InvOLS_positive_pixel_fraction,detected_snap_distance_before_nm,detected_snap_distance_after_nm,F20_line_paired_median_change_pN,F20_constant_paired_median_change_pN,F20_positive_pixel_fraction,F20_paired_pixel_count,blind_inference
13,14,2026-09-08T15:50:24.520000+02:00,2026-09-08T15:54:48.835000+02:00,264.315,4.0,2.0,-0.42389205518119644,-0.3794747875308673,0.296875,41.89081919210858,46.92017989689562,0.8238052111764773,42.76289651860634,0.5,56,not_selected_as_refresh_candidate
14,15,2026-09-08T15:55:54.164000+02:00,2026-09-08T16:00:05.230000+02:00,251.066,2.0,1.0,-0.1445995247448817,-0.12510392494678513,0.453125,46.92017989689562,43.22150387466786,-713.4613635458395,-588.8832508906835,0.26666666666666666,60,not_selected_as_refresh_candidate
15,16,2026-09-08T16:02:14.569000+02:00,2026-09-08T16:06:39.515000+02:00,264.946,1.0,1.0,-0.3799332538153122,-0.30942550121114465,0.3125,43.22150387466786,43.601059019764264,-173.4725317063867,-135.35448301421366,0.43859649122807015,57,not_selected_as_refresh_candidate
16,17,2026-09-08T16:08:48.853000+02:00,2026-09-08T16:12:56.406000+02:00,247.553,1.0,2.0,0.07723875629366272,0.03131856261995125,0.546875,43.601059019764264,46.68540800545862,233.82790446745753,239.72772362649334,0.6071428571428571,56,not_selected_as_refresh_candidate
17,18,2026-09-08T16:14:01.744000+02:00,2026-09-08T16:18:04.176000+02:00,242.432,2.0,4.0,-0.04974728484765656,-0.10028158454952063,0.40625,46.68540800545862,52.46664900595672,748.7980171596712,799.6535902255616,0.7,60,not_selected_as_refresh_candidate
18,19,2026-09-08T16:18:37.506000+02:00,2026-09-08T16:23:55.043000+02:00,317.537,4.0,2.0,-3.8634167395884766,-3.3014890908818444,0.0,52.46664900595672,10.702136711658317,4014.2931816671953,3959.903851438722,0.984375,64,primary_refresh_candidate
19,20,2026-09-08T16:25:00.363000+02:00,2026-09-08T16:25:30.279000+02:00,29.916,2.0,1.0,0.31178576480845877,0.308435770434194,0.828125,10.702136711658317,10.943220541202647,-57.33218120426841,24.803969734916905,0.34375,64,not_selected_as_refresh_candidate
20,21,2026-09-08T16:27:39.602000+02:00,2026-09-08T16:27:52.033000+02:00,12.431,1.0,4.0,0.004748794246034471,-0.009478835521001372,0.484375,10.943220541202647,10.463814821426261,57.7531934731162,31.29942869088245,0.671875,64,not_selected_as_refresh_candidate
21,22,2026-09-08T16:28:25.366000+02:00,2026-09-08T16:28:41.530000+02:00,16.164,4.0,4.0,0.08546844236807516,0.12795340047938453,0.5625,10.463814821426261,9.373763658170093,-12.091876479307643,-15.657384490182551,0.453125,64,not_selected_as_refresh_candidate
22,23,2026-09-08T16:29:14.863000+02:00,2026-09-08T16:29:37.862000+02:00,22.999,4.0,1.0,0.10960558265658005,0.05989222475631095,0.515625,9.373763658170093,9.914967033076087,-53.9951361280111,-20.35141953332038,0.296875,64,not_selected_as_refresh_candidate
23,24,2026-09-08T16:31:47.194000+02:00,2026-09-08T16:32:04.592000+02:00,17.398,1.0,2.0,0.07357379417542997,0.021441726332803057,0.515625,9.914967033076087,9.041531309629747,-9.108132239238785,-5.552810639077393,0.484375,64,not_selected_as_refresh_candidate
24,25,2026-09-08T16:33:09.926000+02:00,2026-09-08T16:33:26.647000+02:00,16.721,2.0,1.0,0.013049924392216639,0.05792667806956331,0.578125,9.041531309629747,8.994466872651753,56.21401093088264,-7.471781079033576,0.609375,64,not_selected_as_refresh_candidate
25,26,2026-09-08T16:35:35.986000+02:00,2026-09-08T16:35:49.878000+02:00,13.892,1.0,4.0,0.161359391914484,-0.03269924775101174,0.46875,8.994466872651753,7.933370922793362,-18.222077197443753,30.211983007420372,0.484375,64,not_selected_as_refresh_candidate
26,27,2026-09-08T16:36:23.211000+02:00,2026-09-08T16:37:03.364000+02:00,40.153,4.0,2.0,0.03389912934583794,0.08801804412863845,0.5625,7.933370922793362,7.982221204827343,-33.80596930268186,-13.861791134534656,0.4375,64,not_selected_as_refresh_candidate
27,28,2026-09-08T16:38:08.693000+02:00,2026-09-08T16:38:22.127000+02:00,13.434,2.0,2.0,0.0519901186281313,0.07102767965309198,0.5625,7.982221204827343,7.84319686887427,6.609206951588362,2.9578697195083805,0.546875,64,not_selected_as_refresh_candidate
28,29,2026-09-08T16:39:27.460000+02:00,2026-09-08T16:39:43.419000+02:00,15.959,2.0,4.0,0.028621807548345757,-0.005894954664618979,0.5,7.84319686887427,7.438003191757275,15.75811321381525,32.423167254338864,0.609375,64,not_selected_as_refresh_candidate
29,30,2026-09-08T16:40:16.750000+02:00,2026-09-08T16:40:41.235000+02:00,24.485,4.0,1.0,0.09081433324893418,0.08354599600438917,0.625,7.438003191757275,7.944937230305101,-44.08873192395447,-35.27508920218122,0.421875,64,not_selected_as_refresh_candidate
30,31,2026-09-08T16:42:50.560000+02:00,2026-09-08T16:43:14.261000+02:00,23.701,1.0,4.0,0.13038974450956253,0.07849095695446806,0.53125,7.944937230305101,7.159714319189424,-2.476212841102779,6.6032463151912,0.484375,64,not_selected_as_refresh_candidate
31,32,2026-09-08T16:43:47.592000+02:00,2026-09-08T16:44:13.624000+02:00,26.032,4.0,2.0,0.005584017477455738,-0.001777816676707289,0.5,7.159714319189424,7.58708227475301,-28.03571806203479,8.960225671089916,0.484375,64,not_selected_as_refresh_candidate
32,33,2026-09-08T16:45:18.954000+02:00,2026-09-08T16:45:31.334000+02:00,12.38,2.0,1.0,0.026413109340550633,0.08716297484899371,0.578125,7.58708227475301,7.657190941947094,17.287346214083072,-7.406616028186363,0.546875,64,not_selected_as_refresh_candidate
33,34,2026-09-08T16:47:40.668000+02:00,2026-09-08T16:47:49.250000+02:00,8.582,1.0,1.0,0.09320389693259212,0.002966000518853207,0.5,7.657190941947094,7.467466027875714,10.557808069672888,5.004395290096454,0.515625,64,not_selected_as_refresh_candidate
34,35,2026-09-08T16:49:58.588000+02:00,2026-09-08T16:50:17.070000+02:00,18.482,1.0,2.0,0.02213241723327819,0.024368533738105214,0.515625,7.467466027875714,7.267550098365663,7.6658920596393045,-4.4737210482596765,0.546875,64,not_selected_as_refresh_candidate
35,36,2026-09-08T16:51:22.402000+02:00,2026-09-08T16:51:33.921000+02:00,11.519,2.0,4.0,-0.1294449865518077,-0.03535827655409207,0.46875,7.267550098365663,6.645317349656077,22.258643552374338,13.551430887575634,0.578125,64,not_selected_as_refresh_candidate
