before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
11,12,200.0,line,4.0,1.0,138.214,64,-27.440629068114927,-143.67012192066815,84.53899566540373,0.421875,-168.14440570095607
11,12,20.0,constant,4.0,1.0,138.214,41,-142.175486609367,-1004.3386050919707,861.806675008293,0.3902439024390244,-40.39622035370485
11,12,50.0,constant,4.0,1.0,138.214,62,-65.67087506833279,-129.6927469659796,-18.469537049335415,0.14516129032258066,-130.96634955666178
11,12,100.0,constant,4.0,1.0,138.214,64,-44.928714665524055,-105.48160770680491,12.174094266189531,0.296875,-139.47952427126233
11,12,200.0,constant,4.0,1.0,138.214,64,-41.20467231706917,-84.60821299824516,19.014881222475886,0.359375,-91.1204464984016
12,13,20.0,line,1.0,4.0,246.491,40,404.7497065494724,-283.740688352362,1642.5661851020338,0.675,-685.8264499216943
12,13,50.0,line,1.0,4.0,246.491,63,49.44261671697524,-55.62197239152882,159.69534699811268,0.6507936507936508,266.16600331773003
12,13,100.0,line,1.0,4.0,246.491,64,58.945837944216024,-69.87061624781822,142.98869219895724,0.625,290.63949639069074
12,13,200.0,line,1.0,4.0,246.491,64,28.74968424714964,-60.17116582158984,111.73001141935127,0.59375,211.39373020692176
12,13,20.0,constant,1.0,4.0,246.491,40,525.5711012274614,-291.5844341704278,1496.0991782504677,0.65,-862.0098403055863
12,13,50.0,constant,1.0,4.0,246.491,63,45.76388741769185,11.036745872736859,94.3816610885799,0.8253968253968254,94.03235770836204
12,13,100.0,constant,1.0,4.0,246.491,64,37.715005895522104,0.01975218168080417,101.44251260414272,0.75,129.74286793212104
12,13,200.0,constant,1.0,4.0,246.491,64,18.693576988511023,-9.985733376792549,65.65402257551784,0.65625,74.29333375576715
13,14,20.0,line,4.0,2.0,264.315,56,0.8238052111764773,-618.3995240235884,978.5107438654018,0.5,-501.232406192119
13,14,50.0,line,4.0,2.0,264.315,61,-7.157701979273924,-81.33825220347359,89.55499317259086,0.47540983606557374,-82.07617575605968
13,14,100.0,line,4.0,2.0,264.315,64,-28.670315509012013,-78.83727193093034,31.370379304077495,0.375,-89.83269421567661
13,14,200.0,line,4.0,2.0,264.315,64,-18.627231409974257,-58.89396610032652,34.788405273563676,0.40625,-68.8794754051593
13,14,20.0,constant,4.0,2.0,264.315,56,42.76289651860634,-617.9119737642757,1000.2097599420036,0.5,-424.21512718724443
13,14,50.0,constant,4.0,2.0,264.315,61,20.46700175508562,-20.704526806454055,54.33854800801197,0.639344262295082,-6.421345402918234
13,14,100.0,constant,4.0,2.0,264.315,64,-1.6461814304462692,-16.659819402765514,15.60556424400202,0.484375,-19.2997054997483
13,14,200.0,constant,4.0,2.0,264.315,64,1.030667904712331,-13.697568970517645,14.597937952967015,0.5625,-8.653794034851018
14,15,20.0,line,2.0,1.0,251.066,60,-713.4613635458395,-1914.5491164052871,277.16044722035895,0.26666666666666666,3841.351451996443
14,15,50.0,line,2.0,1.0,251.066,56,-64.71114381603417,-360.8541809261499,61.71272919285605,0.375,nan
14,15,100.0,line,2.0,1.0,251.066,64,-33.00340728138936,-131.26420756071803,55.073388161732396,0.421875,8.313101919052578
14,15,200.0,line,2.0,1.0,251.066,64,-11.16984870645938,-141.20358166025244,58.870471902543905,0.46875,17.308067823602656
14,15,20.0,constant,2.0,1.0,251.066,60,-588.8832508906835,-1618.4840545069414,131.55712218869326,0.26666666666666666,3827.749627189614
14,15,50.0,constant,2.0,1.0,251.066,56,-17.960049243889316,-65.28651039640417,29.812496302160085,0.375,nan
14,15,100.0,constant,2.0,1.0,251.066,64,4.405968103047869,-13.953723743351446,31.666909690546213,0.59375,-5.48402877200914
14,15,200.0,constant,2.0,1.0,251.066,64,7.360595159739383,-9.620169913315408,32.29682812226319,0.578125,5.869656211670986
15,16,20.0,line,1.0,1.0,264.946,57,-173.4725317063867,-742.1198950759253,610.5606456563778,0.43859649122807015,-167.49573281020014
15,16,50.0,line,1.0,1.0,264.946,52,37.331178463742276,-84.64939157517517,166.73013220102533,0.5769230769230769,nan
15,16,100.0,line,1.0,1.0,264.946,64,30.353513082523747,-53.21315609408348,141.5650103542548,0.59375,29.890602635494062
15,16,200.0,line,1.0,1.0,264.946,64,3.1584798455969825,-46.713130276004726,107.8871752634237,0.53125,11.761394263795339
15,16,20.0,constant,1.0,1.0,264.946,57,-135.35448301421366,-779.4063100558005,467.9931954238282,0.42105263157894735,-189.21910337969746
15,16,50.0,constant,1.0,1.0,264.946,52,6.157567254509303,-21.697140192237356,46.460529872762194,0.5576923076923077,nan
15,16,100.0,constant,1.0,1.0,264.946,64,4.571437445082083,-15.041450041865346,17.746080267120163,0.546875,10.40982066823463
15,16,200.0,constant,1.0,1.0,264.946,64,-4.425798233354335,-17.532469854028616,21.665851613995308,0.421875,-5.551563461071467
16,17,20.0,line,1.0,2.0,247.553,56,233.82790446745753,-419.103763828183,1456.7967788977937,0.6071428571428571,1453.0793783455458
16,17,50.0,line,1.0,2.0,247.553,48,34.73016083328845,-43.51166427530449,86.51829658822682,0.5833333333333334,nan
16,17,100.0,line,1.0,2.0,247.553,64,18.465797736788254,-29.91732040866963,66.36873409963636,0.59375,43.748553465032984
16,17,200.0,line,1.0,2.0,247.553,64,17.305943590769232,-30.696460531783707,57.090003032820285,0.59375,28.20223170315778
16,17,20.0,constant,1.0,2.0,247.553,56,239.72772362649334,-475.90780264385353,1395.3539940493056,0.6071428571428571,1413.219491610564
16,17,50.0,constant,1.0,2.0,247.553,48,21.2364794057504,-17.623778873841957,55.270782388549236,0.6041666666666666,nan
16,17,100.0,constant,1.0,2.0,247.553,64,5.986423252544647,-6.298420420637715,17.89198450417445,0.609375,7.692032715010825
16,17,200.0,constant,1.0,2.0,247.553,64,2.084876294293025,-9.148206576143622,13.093326816003277,0.546875,-2.31544832827592
