source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,190.0,-8.618460251570333,-75.08849216109421,66.25036322559123,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,195.0,-10.073124535458643,-59.322103282731454,68.50892487188159,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,200.0,-9.729337045918161,-66.37278194213934,61.95183206563313,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,205.0,-8.988008808201375,-70.5377561631764,60.35711650956671,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,210.0,-10.554840003212512,-65.59262769727549,70.19833338378479,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,215.0,-9.853026736167164,-64.72225484157123,64.76917276176668,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,220.0,-9.24653835519824,-68.08633628674187,66.2910299998651,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,225.0,-9.281942419242153,-60.93137335381164,67.34758524341098,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,230.0,-15.028872555103476,-65.54668846244712,72.18875207556518,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,235.0,0.9154613981076991,-66.4345118280494,69.48102598090496,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,240.0,-8.127012121776033,-69.70656100394909,72.19978717811011,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,245.0,-9.639837369558029,-64.28689186125783,77.04578679032723,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,250.0,-11.123620994551413,-64.74034495813838,81.03316927491696,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,255.0,-10.712483437634576,-63.5274000557645,70.0045695251103,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,260.0,-11.041693273614833,-62.853646081765504,63.430569235630344,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,265.0,-16.447243308980436,-54.869240337180265,67.80581354237816,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,270.0,-7.982726515604911,-64.75816831651156,67.48375030455877,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,275.0,-13.331057835568076,-71.86784733798684,67.86552513444894,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,280.0,-11.91276934312782,-65.38046880354952,71.61360357753071,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,285.0,-5.2024019039781635,-58.67655652400058,66.99180964248765,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,290.0,-1.9644717355702488,-55.27639553637202,64.37637289449933,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,295.0,-2.9750727417283205,-46.09952870561824,61.31555233123729,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,300.0,-7.204094391047279,-47.71757488716625,53.33841767149047,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,305.0,-5.521122880835073,-57.087209693545645,51.82503384962758,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,310.0,-8.313173446086202,-61.66472910977463,53.49267664802764,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,315.0,0.22425597352189347,-64.26790684114845,59.38709382578632,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,320.0,-2.9927305879619173,-57.4138302467211,57.03331792525856,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,325.0,-4.034979900976634,-50.828315047234355,61.468990275133514,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,330.0,1.0781914605119607,-41.570139762708294,51.486019144343416,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,335.0,5.437867652297832,-41.492555487225204,58.15660815820952,64
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.16.47.619.jpk-force-map,2026-09-08T15:16:47.619000,1,1,2.0,linear_drift_corrected,340.0,-6.166421633361276,-51.03044957998365,52.477265340142,64
