acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,speed_um_per_s,baseline_start_nm,baseline_stop_nm,dynamic_baseline_raw_V_q25,dynamic_baseline_raw_V_median,dynamic_baseline_raw_V_q75,dynamic_baseline_raw_V_spatial_IQR,baseline_minus_initial_V_q25,baseline_minus_initial_V_median,baseline_minus_initial_V_q75,baseline_minus_initial_V_spatial_IQR,pre_guard_corrected_V_q25,pre_guard_corrected_V_median,pre_guard_corrected_V_q75,pre_guard_corrected_V_spatial_IQR,post_guard_corrected_V_q25,post_guard_corrected_V_median,post_guard_corrected_V_q75,post_guard_corrected_V_spatial_IQR,near_320_360nm_corrected_V_q25,near_320_360nm_corrected_V_median,near_320_360nm_corrected_V_q75,near_320_360nm_corrected_V_spatial_IQR,near_380_420nm_corrected_V_q25,near_380_420nm_corrected_V_median,near_380_420nm_corrected_V_q75,near_380_420nm_corrected_V_spatial_IQR,terminal_last_25nm_corrected_V_q25,terminal_last_25nm_corrected_V_median,terminal_last_25nm_corrected_V_q75,terminal_last_25nm_corrected_V_spatial_IQR,detector_drift_V_q25,detector_drift_V_median,detector_drift_V_q75,detector_drift_V_spatial_IQR,detector_roughness_V_q25,detector_roughness_V_median,detector_roughness_V_q75,detector_roughness_V_spatial_IQR,detector_score_V_q25,detector_score_V_median,detector_score_V_q75,detector_score_V_spatial_IQR
13,21,2,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.39.14.852.jpk-force-map,2026-09-12T15:39:14.351000+02:00,0.1,35.0,155.0,-1.8824012292185441,-1.8030568951046106,-1.7212609886807426,0.16114024053780152,9.535333829935322e-05,0.0015671411916174938,0.0027310711207700344,0.0026357177824706812,-0.0012000127275444417,-0.00019568893667176734,0.0006373455037706199,0.0018373582313150616,-0.0003257839095783255,0.0004896784347032668,0.001523849898606655,0.0018496338081849806,0.007153582687396798,0.009490994079177084,0.011471281852328347,0.004317699164931549,0.03631926315734274,0.05233627817171593,0.06516127679584638,0.02884201363850364,1.3146595704040749,1.3515973756569164,1.3634893212825046,0.04882975087842967,0.0004139485682758681,0.0009178197696553259,0.0014885666535339181,0.00107461808525805,0.0013406096594802408,0.0016482868150697882,0.0019664561959958915,0.0006258465365156507,0.0016599795870963913,0.002377848279442041,0.003223334372300754,0.0015633547852043628
14,22,2,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.45.19.105.jpk-force-map,2026-09-12T15:45:18.604000+02:00,2.7,155.0,275.0,-1.2646273403774528,-1.25422633503586,-1.2455443748922796,0.019082965485173187,0.5443647836291355,0.6889207545785302,0.734107620254856,0.18974283662572045,-0.023096575750758352,-0.02041893982119436,-0.0168343629139599,0.006262212836798453,0.020066200535808487,0.02263340216094889,0.026497747641356262,0.006431547105547775,0.04914636286854304,0.054878346012088575,0.06013335179921955,0.010986988930676511,0.11235046732532303,0.12803558497591427,0.1427837519793489,0.030433284654025866,0.614122163360334,0.6415652347102563,0.6826565254768404,0.06853436211650643,0.02273564834412206,0.026678790847014744,0.03048329671413036,0.007747648370008298,0.0016074713562928555,0.0019297504412789657,0.0023655911270614727,0.0007581197707686171,0.04228564665439634,0.04889301501334961,0.05289284167497872,0.010607195020582383
15,23,2,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.46.27.970.jpk-force-map,2026-09-12T15:46:27.469000+02:00,0.9,70.0,190.0,-1.855815098953303,-1.840611344382897,-1.8300617632625085,0.025753335690794632,0.06510513980968585,0.14142476580354235,0.1876039981246706,0.12249885831498475,-0.007312405263424027,-0.00507175303325702,-0.003015704454441409,0.0042967008089826175,0.0040032049482178755,0.006152258264366106,0.008061693793968094,0.004058488845750219,0.03418204879242609,0.03927562059286349,0.04419100811220594,0.010008959319779853,0.0890288715458325,0.11127467945879616,0.13161003675707483,0.04258116521124233,1.1054957672088885,1.1364298420029604,1.1508671816107285,0.045371414401840005,0.0037092717665506147,0.006832270019031195,0.009237510647551073,0.005528238881000458,0.0024975799984384706,0.003303676444667336,0.003943704971271056,0.0014461249728325853,0.009253648240768145,0.01268475419091869,0.01652147927573612,0.007267831034967975
16,24,2,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.47.59.314.jpk-force-map,2026-09-12T15:47:58.814000+02:00,0.3,40.0,160.0,-2.1431972440953633,-2.1146275332878237,-2.0866094676877394,0.05658777640762391,0.003024071953740992,0.01135406872628697,0.02532207887895299,0.022298006925212,-0.003272487607851704,-0.00143418451309274,-0.00023180441246012373,0.0030406831953915803,0.0013385078771467884,0.001876165073101621,0.003176397289971211,0.0018378894128244228,0.015535644981550134,0.02004663442319632,0.022938930256269474,0.00740328527471934,0.058390397175913766,0.07888847469883364,0.0957223356323621,0.03733193845644833,1.2651679242586624,1.2986070976334265,1.3164506233739988,0.05128269911533634,0.0011128367339073852,0.0021351981000250486,0.004089951964117433,0.002977115230210048,0.0020161035902609425,0.002282479992972153,0.0028175897425255503,0.0008014861522646077,0.0037429061936268826,0.005360570464209735,0.006970857986345419,0.0032279517927185364
17,25,3,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.50.26.125.jpk-force-map,2026-09-12T15:50:25.623000+02:00,0.9,70.0,190.0,-2.0487012139799936,-2.0368464899948284,-2.02529795043397,0.023403263546023734,0.0721613327312427,0.14882872965568694,0.18520369943092552,0.11304236669968282,-0.007225769142093386,-0.005083694883524448,-0.0035094925932044885,0.003716276548888897,0.004311671923433791,0.005968470852663943,0.008000524488743666,0.0036888525653098747,0.03502375873401209,0.03839336008799232,0.043463815063817246,0.008440056329805157,0.09309966725532204,0.11080004096965601,0.1274748624048655,0.03437519514954346,1.107722122035184,1.13870584769984,1.1586332311789271,0.05091110914374308,0.005149277375438022,0.006323016433287032,0.008817679105006526,0.0036684017295685045,0.002434979145141236,0.003173201857750385,0.004048276116443206,0.0016132969713019696,0.011309368481275117,0.013499931129428933,0.015735561817120075,0.004426193335844958
18,26,3,2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.52.06.579.jpk-force-map,2026-09-12T15:52:06.078000+02:00,2.7,155.0,275.0,-1.6013208073619902,-1.5934380111897308,-1.5857551520156903,0.015565655346299945,0.5513510469221472,0.6776879203838481,0.7201702475948473,0.16881920067270006,-0.024113858562772816,-0.01932981471004236,-0.016238348059409075,0.007875510503363742,0.019170856557582827,0.02294943986320025,0.026942053163364177,0.00777119660578135,0.047103431831005654,0.05442786237634778,0.06021272102377606,0.013109289192770407,0.10978641176867715,0.12810685785403586,0.1460417064889155,0.03625529472023836,0.6247661911950845,0.6647507402574753,0.6852921911145292,0.06052599991944474,0.022819569808118723,0.026331777058656858,0.029697357702338112,0.006877787894219389,0.0017185446081078304,0.001989233036631677,0.0022740485294069357,0.0005555039212991053,0.04272595649560036,0.048092790069537206,0.0533530897687198,0.01062713327311944
19,27,3,3,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,2026-09-12T15:53:30.979000+02:00,0.1,35.0,155.0,-2.5505696385850123,-2.491617754743182,-2.4310343343806835,0.11953530420432879,-0.00023311915622215018,0.0011478915848366356,0.002530267823911525,0.0027633869801336752,-0.0009026206086925059,-0.0002069522095138332,0.0004930094433567289,0.0013956300520492348,-0.00038769019438339436,0.00017642178747456772,0.001072964400415155,0.0014606545947985494,0.008516732102572089,0.0107631126108223,0.013024562265712858,0.004507830163140769,0.03847466631737151,0.05414034161229908,0.08399545396553587,0.04552078764816436,1.3226081016786422,1.3506138694534164,1.3754555697456619,0.052847468067019676,0.0007092684535039417,0.001238586655972762,0.0021332704812627723,0.0014240020277588306,0.001497386769538589,0.0017588921543771896,0.0020555542462854515,0.0005581674767468625,0.0020431790728819565,0.0025566204060426534,0.0032756694824292165,0.00123249040954726
20,28,3,4,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,2026-09-12T15:59:36.965000+02:00,0.3,40.0,160.0,-2.6297091785881297,-2.6091441374318456,-2.5882736286681878,0.041435549919941916,0.004423030233388414,0.015851971913523943,0.025079210039085087,0.020656179805696673,-0.0028138547856302876,-0.0015998185881345162,0.00010844445955493498,0.0029222992451852225,0.0004047985496192785,0.0017712094470726525,0.0033193546423579967,0.002914556092738718,0.016543955414797806,0.01911141706858277,0.024028704048505656,0.0074847486337078495,0.0565945600960876,0.07791411677583093,0.1058478475776159,0.049253287481528296,1.2759624405428007,1.309204017177148,1.3255549868407561,0.0495925462979554,0.0009120817578798235,0.00224510400399458,0.003564958997472889,0.0026528772395930655,0.0018471510213133868,0.0022915754334236205,0.0028446827805572727,0.000997531759243886,0.003742988060933705,0.004628699681273496,0.006922527247816945,0.00317953918688324
21,29,3,5,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,2026-09-12T16:02:08.805000+02:00,0.3,40.0,160.0,-2.717804633512476,-2.6989330295995546,-2.6797451481183865,0.03805948539408943,0.003231472608376973,0.011185924749087306,0.026468465217758697,0.023236992609381724,-0.002260896224940745,-0.0016999866279415743,2.125351774717732e-05,0.0022821497426879223,0.0005848336228322926,0.0018714470132554784,0.003326513773250106,0.0027416801504178134,0.01661808721748287,0.019740926949826987,0.024797528100056643,0.008179440882573774,0.056107425631466645,0.0772949969161516,0.10511233430786271,0.049004908676396064,1.2711275729095304,1.3030853554479833,1.3261994581027587,0.055071885193228365,0.001059101884022473,0.002385168363893797,0.0038682313095375065,0.0028091294255150334,0.0020548499441009893,0.0022915754334236205,0.00283826966767442,0.0007834197235734308,0.003557872000194917,0.005233239164732284,0.0070139519982652665,0.0034560799980703494
22,30,3,6,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,2026-09-12T16:05:08.793000+02:00,0.1,35.0,155.0,-0.09482682794704687,-0.059706399740446364,-0.018284424150070238,0.07654240379697663,0.0008891568260640907,0.0024093113978094884,0.004006190410784705,0.003117033584720614,-0.0011351710391627606,-0.00028290421271094136,0.00036133830751595465,0.0014965093466787153,-0.00014526562805533723,0.0007289673614932239,0.0015484775313602643,0.0016937431594156015,0.007696552393708549,0.00939052012331723,0.014383757715909775,0.006687205322201226,0.03643863855366435,0.050041938369599505,0.07092579272104749,0.034487154167383134,1.3206636881247562,1.347259227394403,1.3791358573567658,0.058472169232009596,0.00041294425978079165,0.0008811578165550671,0.0019177978144232152,0.0015048535546424236,0.0017158296031420626,0.0020916495594249266,0.0023641665316261173,0.0006483369284840546,0.002165423648907542,0.002716928760715844,0.0037231071676566705,0.0015576835187491285
23,31,3,7,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,2026-09-12T16:11:07.693000+02:00,2.7,155.0,275.0,0.5775635886526042,0.5826188416864115,0.5856037077169699,0.008040119064365747,0.5375294607069532,0.7036442675291885,0.718840274080301,0.18131081337334787,-0.0242286292272407,-0.020963480128330214,-0.016303451166962885,0.007925178060277815,0.01977994932337787,0.022484340392787627,0.026133753426293566,0.006353804102915694,0.04517911765703242,0.05482411265809109,0.061675257697561256,0.016496140040528837,0.10438222949486514,0.1239936677417805,0.14886628641324096,0.044484056918375814,0.6319723775382357,0.66129286543602,0.6898577726662711,0.05788539512803548,0.021067091114255643,0.025052907515944134,0.029631504405191994,0.008564413290936351,0.001706144579025487,0.0021572768958503796,0.002483270775082924,0.0007771261960574372,0.040695354744058214,0.04731804689000249,0.0534879704158728,0.012792615671814583
24,32,3,8,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,2026-09-12T16:12:04.175000+02:00,0.9,70.0,190.0,0.03918475897853282,0.04651136778522145,0.05242065639647504,0.013235897417942226,0.05813966768402407,0.1684919608808175,0.18296581295997869,0.12482614527595462,-0.007081028438173495,-0.005664768519965852,-0.002976934461633679,0.0041040939765398165,0.003477860178112374,0.0050416689705489875,0.00723903755560658,0.003761177377494206,0.03203224250563032,0.03674839246209189,0.04359483404225496,0.011562591536624645,0.07905845903919465,0.1055696009368039,0.13779957645454768,0.05874111741535304,1.1078077069177161,1.148673499314104,1.160394913426756,0.05258720650903981,0.004982651854280547,0.006526811450086201,0.009125893351847304,0.0041432414975667575,0.002573513924778099,0.0029990229911514184,0.0037198661956595967,0.0011463522708814976,0.010326263097330191,0.012944979247551516,0.01580607060037431,0.00547980750304412
25,33,4,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,2026-09-12T16:13:32.509000+02:00,2.7,155.0,275.0,0.5183825681253441,0.5234003464427206,0.5271990256519321,0.008816457526587995,0.5298429507029316,0.7033967508511139,0.717838470620543,0.18799551991761132,-0.02295808477273832,-0.020303765208484564,-0.016343697204723742,0.006614387568014579,0.01910053340975143,0.022968535977513582,0.026163787430011187,0.007063254020259757,0.04660823578313744,0.052301032470885744,0.06038573879990282,0.013777503016765377,0.10458944868566106,0.12493318877904183,0.15028538509336303,0.045695936407701976,0.6308839303092456,0.6590745179623987,0.6861387275771071,0.05525479726786153,0.02277318041981266,0.027012246296873155,0.03061804891130443,0.007844868491491769,0.0017043243785132278,0.0020180989972398145,0.00230509622768027,0.0006007718491670422,0.043330093247529115,0.048975732628153135,0.05542183768766494,0.012091744440135825
