speed_um_per_s,candidate_start_nm,candidate_stop_nm,candidate_start_time_s,candidate_stop_time_s,training_blocks,validation_blocks,training_map_median_score_V,validation_map_median_score_V,training_map_median_drift_V,validation_map_median_drift_V,training_map_median_pre_guard_mismatch_V,validation_map_median_pre_guard_mismatch_V,training_map_median_post_guard_mismatch_V,validation_map_median_post_guard_mismatch_V,training_map_median_roughness_V,validation_map_median_roughness_V,selected_from_training,within_1pct_contiguous_training_minimum,fixed_100_220nm_reference
0.1,115.0,235.0,1.15,2.35,1+3,2+4,0.003249748311458548,0.0028951040033822414,0.001317395845573997,0.0011616119197910557,0.0011532447681233357,0.0010084063796459014,0.0013230980512662274,0.0013048372963552768,0.0018036372439010073,0.001748022400821031,False,False,False
0.1,120.0,240.0,1.2,2.4,1+3,2+4,0.0033148693220539953,0.0030377328436441142,0.0014485712583569635,0.001154918267983307,0.001204900084114835,0.0010622722867485723,0.0014057690833983155,0.0012847664222566113,0.001808800967814439,0.0017197161275362555,False,False,False
0.1,125.0,245.0,1.25,2.45,1+3,2+4,0.0033238199738285824,0.0030728596543720885,0.0015829570515316395,0.0012254249654460314,0.0011431029557192208,0.0010991883587516474,0.0014073504608106326,0.0013883409068347896,0.0017687155359810414,0.0017762556714113753,False,False,False
0.1,130.0,250.0,1.3,2.5,1+3,2+4,0.0035151483900407446,0.0032413312746164408,0.0015796086612843395,0.001382869528709585,0.0011231273327550976,0.0008999883401138581,0.0013762540940744621,0.0014690940538968633,0.0018224253563705883,0.0017768320450648745,False,False,False
0.1,135.0,255.0,1.35,2.55,1+3,2+4,0.003438269252625209,0.003268455599516497,0.001366061875048067,0.0014705200398597296,0.0010716298416361542,0.0010361036018806738,0.0015605104611796997,0.0016392045846293224,0.0018069091551352612,0.0017553344897394962,False,False,False
0.1,140.0,260.0,1.4,2.6,1+3,2+4,0.003533400975602374,0.003570592024420973,0.0016714463984030502,0.001399165815878789,0.0012040939257902117,0.0011075826257058163,0.001511614299402518,0.0016984083792161986,0.0018117975546013687,0.0017437187181734148,False,False,False
0.1,145.0,265.0,1.45,2.65,1+3,2+4,0.00368132146830887,0.0034976579873711895,0.0017205236763884729,0.001587252043382295,0.0011616105292634737,0.00104868092322076,0.001676873279647828,0.0018260421184276426,0.0018389385658315882,0.0017214626300905977,False,False,False
0.1,150.0,270.0,1.5,2.7,1+3,2+4,0.0039004390553874675,0.0038549609840490343,0.0017163632180744407,0.0016467534108565857,0.0010551865061826158,0.0010491005148973997,0.002040457984358507,0.0017958141361222313,0.0018188440527651117,0.0017306839132820162,False,False,False
0.1,155.0,275.0,1.55,2.75,1+3,2+4,0.004085173068692741,0.004067534574843414,0.0017601745683744874,0.0018155728367946766,0.001170062503109368,0.0011619084497828114,0.002272197737289398,0.001964238304615354,0.0018091270465158127,0.0017088602792553198,False,False,False
0.1,160.0,280.0,1.6,2.8,1+3,2+4,0.004244503882525644,0.00414863135601664,0.0019818761032009136,0.0018840792604324363,0.001262627138484686,0.0012033075824824102,0.0023402432010573154,0.0023334167538720946,0.0018098243960627813,0.0017027753308655469,False,False,False
