curve_row_index,acquisition_order,instrument_scan_number,block,position_in_block,source,map_start_time,speed_um_per_s,point_index,line_index,position_within_line,physical_row,physical_column,duration_s,sample_count,baseline_mode,baseline_start_nm,baseline_stop_nm,baseline_start_time_s,baseline_stop_time_s,baseline_sample_count,dynamic_baseline_raw_V,initial_0_10nm_raw_V,baseline_minus_initial_V,pre_guard_corrected_V,post_guard_corrected_V,near_320_360nm_corrected_V,near_380_420nm_corrected_V,terminal_last_25nm_corrected_V,detector_drift_V,detector_pre_guard_mismatch_V,detector_post_guard_mismatch_V,detector_roughness_V,detector_score_V
20,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,20,3,5,2,4,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5830263365239252,-0.5841743421320178,0.0011480056080925838,0.0008862360230263988,-0.0007458928623613748,0.011088764420286945,0.05288183078287989,1.2838357560984877,0.003357555214149488,0.0013149412168845798,0.000733934325763852,0.0014626319249197994,0.004747650966703654
21,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,21,3,6,2,5,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5833510970052553,-0.5822098159882076,-0.0011412810170476906,-0.001984007434243984,0.00026176958506607395,0.012118071818956078,0.045581775489548004,1.3024125222915954,0.0004973416318183599,0.0019506292118617319,0.000958457240910815,0.002400692908294144,0.0025520580852781694
22,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,22,3,7,2,6,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5849177292638037,-0.5848645304622746,-5.3198801529097395e-05,-0.0007110378997619016,0.001177849109540996,0.013928930767487246,0.054107861670689095,1.2828377689414845,0.002131807993952517,0.0002884246069310148,0.000799549147441736,0.0012226185332963047,0.0029814495044629685
23,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,23,3,8,2,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2400,-0.5841305961365109,-0.5800985697245653,-0.004032026411945555,-0.0010047061859381756,0.003930192520179621,0.01306741554255747,0.048575266962259334,1.2830882585673784,0.0005218288212930355,0.0011081364032871077,0.004065119576188048,0.0017318018974010752,0.003541407285380882
24,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,24,4,1,3,7,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5824632674377008,-0.5799000190822752,-0.0025632483554256513,-0.00254069399919149,0.0021995252932277,0.011596696309631727,0.06204753180869027,1.535886810897033,0.0017657502360631794,0.002573670359123037,0.0021392125529505757,0.0017788517862750153,0.0045669046386687395
25,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,25,4,2,3,6,4.6335,9267,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5812750533360902,-0.5878262456002966,0.006551192264206418,-0.0014683247445511638,-0.0013350454636437137,0.02034491647965536,0.4290049387495478,1.3587401942708477,0.0014969181617670024,0.0023312096390797343,0.001421508464299337,0.0018896851720945351,0.003845698506480172
26,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,26,4,3,3,5,4.9015,9803,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2398,-0.5820100110901023,-0.5870339897696519,0.005023978679549623,-0.00047638082011214333,-0.0007411150098323716,0.013959458408471348,0.056237905085229856,1.3448286868130777,0.00028193084345295993,0.0017994093450028892,0.0006912159300876963,0.0007926006814673592,0.0017253936513650925
27,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,27,4,4,3,4,4.9535,9907,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5831160950747827,-0.5868729166248476,0.0037568215500649593,-0.0007883873831081023,0.000791460448908099,0.015124322772111343,0.05812473967592602,1.348326124923286,0.002566150386341781,0.0005486562685693697,0.0009601648086947634,0.0017236033471943468,0.0037514617617724344
28,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,28,4,5,3,3,4.8985,9797,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2399,-0.5893568826636862,-0.5951882655805891,0.005831382916902883,0.00046965901012230304,0.0010045921626822274,0.015129225772116395,0.06559133566823688,1.3348674260632558,0.002278525332729875,0.0004028497253122376,0.0009478044096464799,0.0017641566915351792,0.0033948915730930285
29,1,9,1,1,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.05.27.700.jpk-force-map,2026-09-12T15:05:27.199000+02:00,0.1,29,4,6,3,2,5.0,10000,speed_conditioned_settled_window_median,35.0,155.0,0.35,1.55,2401,-0.5830625597655958,-0.5854790880011893,0.0024165282355934625,-3.1437045976523414e-05,-0.0009382918109412941,0.012525763361062647,0.041262802601416015,1.3405798855052784,0.0020487670815024783,0.00022144706829196892,0.0006259445687050169,0.0019786539033255224,0.002967126375832352
