speed_um_per_s,position_within_line,curve_count,pre_guard_corrected_V_q25,pre_guard_corrected_V_median,pre_guard_corrected_V_q75,post_guard_corrected_V_q25,post_guard_corrected_V_median,post_guard_corrected_V_q75,baseline_minus_initial_V_q25,baseline_minus_initial_V_median,baseline_minus_initial_V_q75
0.9,7,64,-0.006522436850535454,-0.004189158801782701,-0.0023334184920315165,0.003139023386785015,0.005968287303032506,0.007819529951548346,0.0754632703212574,0.1135433153598654,0.16940647119499597
0.9,8,64,-0.005989410111193627,-0.0047244451483304944,-0.002356474828696997,0.0035271919226324416,0.00499742099461048,0.007282469987159743,0.03140077893323267,0.05843997643433077,0.08840255014417189
2.7,1,64,-0.02036913668784797,-0.016499014956158548,-0.013122387266663454,0.018830531901818326,0.021765582284282714,0.025138028657551242,0.34754553442131575,0.4342626067015992,0.5276154591203956
2.7,2,64,-0.02745541506264057,-0.023966357661743085,-0.019668172464642017,0.021917354190563634,0.026195705598506605,0.029426917482975115,0.7253016591251872,0.753857178208946,0.8114656796794382
2.7,3,64,-0.0250183890610024,-0.022928360856655755,-0.018933871734879017,0.022073648092311507,0.025167785946293986,0.028846836683176807,0.7084458396764635,0.7377782569097675,0.8033244400639198
2.7,4,64,-0.025270011271554406,-0.021722695634777772,-0.018888633703352406,0.020929090297183373,0.025685796379040865,0.028751729468246986,0.6818954056429664,0.7166556684520065,0.7871167983282801
2.7,5,64,-0.025442530543568383,-0.02228314774822593,-0.019407922726145936,0.02065594828286571,0.02469324618460686,0.0284213408268148,0.6414485492894055,0.7180571129948445,0.7662382842977393
2.7,6,64,-0.023767282095317414,-0.021038752163574426,-0.01832031676630011,0.020274682325584784,0.025465788506723125,0.026874804471860435,0.6545064056505862,0.7208708078698112,0.7662382286766388
2.7,7,64,-0.02454214798890516,-0.020329959965743327,-0.016942872033044124,0.019270724243447668,0.022099282466983103,0.02677802931918076,0.5538061184945636,0.6507621697650264,0.70611586413055
2.7,8,64,-0.021392934121253218,-0.01916923659303206,-0.016404833137287578,0.019254599686426108,0.0230491073131035,0.025025607289313856,0.43188779915819253,0.5339176322415513,0.5914557931826185
