speed_um_per_s,scanner_travel_bin_center_nm,curve_count,endpoint_delta_V_q25,endpoint_delta_V_median,endpoint_delta_V_q75,dynamic_baseline_delta_V_q25,dynamic_baseline_delta_V_median,dynamic_baseline_delta_V_q75,dynamic_baseline_delta_nN_prior_D3_scale_median
0.1,217.5,512,0.0006222436797339581,0.0029854945489935225,0.005100836611420495,-0.00038792588879649204,0.0010402313827980458,0.0026344683935017044,0.0227036492746511
0.1,222.5,512,0.0010640003648132862,0.0031506322057134883,0.005239812188278209,-4.064372862921939e-05,0.0014204335865328765,0.00293549882758682,0.031001781430428293
0.1,227.5,512,0.0007890576173685826,0.0028922235256424456,0.0054306259354953285,-0.00019941137881963888,0.0012530877721249611,0.0027352343601389495,0.027349362612147182
0.1,232.5,512,0.001013333713882375,0.002968090706661486,0.005614957738718174,1.8683127642429853e-05,0.0015072289232637148,0.0030447532694170727,0.03289613966302814
0.1,237.5,512,0.0008988793944233742,0.0033912198851991926,0.005792788825825457,2.109013076455335e-05,0.0016065584749817563,0.0032387485435799654,0.0350640643595017
0.1,242.5,512,0.0011324518626140978,0.003525898036783104,0.005850944162668847,0.00028484677964429883,0.0017972387315576266,0.003418811427343212,0.03922577082259109
0.1,247.5,512,0.0012786908599275726,0.0034938978271644647,0.005713782528949561,0.0002996496402663251,0.0018037380571455652,0.0035405792262478974,0.039367622348232836
0.1,252.5,512,0.0013860103827258163,0.0038040327401300256,0.006116307566087831,0.0003827920612247404,0.001970484554196239,0.003652433954524359,0.04300696071988637
0.1,257.5,512,0.0017713304229661775,0.003889584945265692,0.006064130802279494,0.0007423915140877604,0.0021208520276907172,0.003718918551160605,0.04628881746540316
0.1,262.5,512,0.0018763541848431384,0.003939716243104796,0.006286579745643589,0.0008450207875902449,0.0023409169116364037,0.003700437745270929,0.051091860351237396
0.1,267.5,512,0.002056848132134718,0.004087619701849149,0.006623164577666207,0.0008342462851685158,0.0023497384181683624,0.004026268237521016,0.05128439481394215
0.1,272.5,512,0.001864649419516385,0.0045163443630924505,0.006730343657185722,0.0011087350253807249,0.002835773670791908,0.004530260067162185,0.061892394239031354
0.1,277.5,512,0.0025054663752190863,0.004858671378473289,0.007189376951330123,0.0013536507217454946,0.0029716657528932044,0.00474403142359156,0.06485831722717572
0.1,282.5,512,0.0024898577039042698,0.005093505055116965,0.007588551512429743,0.0014358343739848678,0.003269259498234048,0.005042900977924017,0.07135347218238829
0.1,287.5,512,0.002821993543154433,0.005056765927739626,0.008037546588469745,0.0019630744330883104,0.003493529337374013,0.005371355395587918,0.07624829063808634
0.1,292.5,512,0.002764987477299252,0.005476442426466652,0.008133659850053931,0.002087620505961063,0.0037924037585527204,0.005465713811452888,0.0827713970813411
