acquisition_order,block,position_in_block,speed_um_per_s,elapsed_midpoint_min,scanner_travel_bin_center_nm,finite_pixel_count,map_median_corrected_V,map_median_corrected_nN_prior_D3_scale
3,1,3,0.9,6.086941666666666,82.5,64,-0.0021577204741265454,-0.04709349255117955
3,1,3,0.9,6.086941666666666,87.5,64,-0.002135793245800127,-0.046614918159250396
3,1,3,0.9,6.086941666666666,92.5,64,-0.002365726703493831,-0.05163334835306351
3,1,3,0.9,6.086941666666666,97.5,64,-0.0027068314451921816,-0.059078155873298954
3,1,3,0.9,6.086941666666666,102.5,64,-0.0021854044863499344,-0.047697712068518416
3,1,3,0.9,6.086941666666666,107.5,64,-0.0024307116162091136,-0.05305168151511735
3,1,3,0.9,6.086941666666666,112.5,64,-0.0016970832064978902,-0.03703981878203797
3,1,3,0.9,6.086941666666666,117.5,64,-0.0009628958047270542,-0.021015755725185797
3,1,3,0.9,6.086941666666666,122.5,64,-0.0008306455141778857,-0.018129316935940047
3,1,3,0.9,6.086941666666666,127.5,64,3.018557121631238e-05,0.0006588174836705639
3,1,3,0.9,6.086941666666666,132.5,64,-0.0007961882424467326,-0.017377267127328063
3,1,3,0.9,6.086941666666666,137.5,64,-1.3041757528919895e-05,-0.00028464387227502316
3,1,3,0.9,6.086941666666666,142.5,64,0.0010809126556700077,0.023591541494213865
3,1,3,0.9,6.086941666666666,147.5,64,0.0014600079995058801,0.03186551579496218
3,1,3,0.9,6.086941666666666,152.5,64,0.0009997503458877843,0.02182012732032143
3,1,3,0.9,6.086941666666666,157.5,64,0.0018174111141646965,0.0396660446956145
3,1,3,0.9,6.086941666666666,162.5,64,0.0018408178637632222,0.04017691049175601
3,1,3,0.9,6.086941666666666,167.5,64,0.003461673742616578,0.07555302392842139
3,1,3,0.9,6.086941666666666,172.5,64,0.003116348749921255,0.06801610699861542
3,1,3,0.9,6.086941666666666,177.5,64,0.003651733823922393,0.07970119470891844
3,1,3,0.9,6.086941666666666,182.5,64,0.0046080274040255775,0.10057285307771646
3,1,3,0.9,6.086941666666666,187.5,64,0.005264613636970672,0.11490322591385678
3,1,3,0.9,6.086941666666666,192.5,64,0.006333393940104209,0.13822997182372332
3,1,3,0.9,6.086941666666666,197.5,64,0.005980209685914811,0.13052152198357647
3,1,3,0.9,6.086941666666666,202.5,64,0.006936271047923548,0.1513881120586672
3,1,3,0.9,6.086941666666666,207.5,64,0.007970080974674248,0.1739516093552657
3,1,3,0.9,6.086941666666666,212.5,64,0.0074202274619175335,0.16195073963291184
3,1,3,0.9,6.086941666666666,217.5,64,0.00809647853492812,0.1767103089336773
3,1,3,0.9,6.086941666666666,222.5,64,0.008866510954886386,0.19351671016512087
3,1,3,0.9,6.086941666666666,227.5,64,0.009355594243814741,0.20419123473873488
3,1,3,0.9,6.086941666666666,232.5,64,0.0101565659009005,0.22167290264659656
3,1,3,0.9,6.086941666666666,237.5,64,0.012153103378549357,0.2652484834316232
3,1,3,0.9,6.086941666666666,242.5,64,0.012913352046937804,0.28184134864799865
3,1,3,0.9,6.086941666666666,247.5,64,0.012296231765819732,0.26837234294938966
3,1,3,0.9,6.086941666666666,252.5,64,0.013694557355449805,0.2988916046095566
3,1,3,0.9,6.086941666666666,257.5,64,0.01486293558211102,0.3243921325852685
3,1,3,0.9,6.086941666666666,262.5,64,0.015954573376476072,0.348217756410953
3,1,3,0.9,6.086941666666666,267.5,64,0.017407007172627637,0.37991796085371515
3,1,3,0.9,6.086941666666666,272.5,64,0.0197733012113461,0.4315636916249351
3,1,3,0.9,6.086941666666666,277.5,64,0.019336562940054924,0.4220316272206281
3,1,3,0.9,6.086941666666666,282.5,64,0.020894594785945658,0.45603656994086506
3,1,3,0.9,6.086941666666666,287.5,64,0.02147498011126897,0.46870381406385164
3,1,3,0.9,6.086941666666666,292.5,64,0.023446282295641857,0.5117286200334333
3,1,3,0.9,6.086941666666666,297.5,64,0.02567371547602229,0.5603436325646368
3,1,3,0.9,6.086941666666666,302.5,64,0.02709805227327955,0.5914306038180187
3,1,3,0.9,6.086941666666666,307.5,64,0.02839610136195639,0.6197612730690549
3,1,3,0.9,6.086941666666666,312.5,64,0.02915885437039281,0.6364087969498909
3,1,3,0.9,6.086941666666666,317.5,64,0.032001871298991236,0.6984592794638623
3,1,3,0.9,6.086941666666666,322.5,64,0.03389075969882166,0.7396853571018532
3,1,3,0.9,6.086941666666666,327.5,64,0.03644746145072385,0.795486845919599
3,1,3,0.9,6.086941666666666,332.5,64,0.037847436205982354,0.8260421015697983
3,1,3,0.9,6.086941666666666,337.5,64,0.038996640448789616,0.8511241463005161
3,1,3,0.9,6.086941666666666,342.5,64,0.043418359414734944,0.9476307103726996
3,1,3,0.9,6.086941666666666,347.5,64,0.045581661466292056,0.9948460240672118
3,1,3,0.9,6.086941666666666,352.5,64,0.049802261485633784,1.0869630512520412
3,1,3,0.9,6.086941666666666,357.5,64,0.05400910501630579,1.1787798351456444
3,1,3,0.9,6.086941666666666,362.5,64,0.05872539889236478,1.2817156663548595
3,1,3,0.9,6.086941666666666,367.5,64,0.06323614638222405,1.3801653292565987
3,1,3,0.9,6.086941666666666,372.5,64,0.06762916346980768,1.476045458296516
3,1,3,0.9,6.086941666666666,377.5,64,0.07378502320042823,1.6104006437092315
