metric,metric_label,unit,block,speed_um_per_s,early_order,late_order,early_elapsed_midpoint_min,late_elapsed_midpoint_min,pair_time_gap_min,pair_centre_elapsed_min,pair_centre_offset_from_block_median_min,early_value,late_value,later_minus_earlier,palindrome_pair_mean
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,2,0.3,9,16,20.990547233333334,40.7520889,19.761541666666663,30.871318066666667,0.12238056666666708,-1.0009520081560885,-2.1146275332878237,-1.1136755251317352,-1.5577897707219561
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,2,0.9,10,15,22.926225,38.64136666666666,15.715141666666664,30.78379583333333,0.03485833333332877,-0.9475936964351155,-1.840611344382897,-0.8930176479477816,-1.3941025204090063
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,2,2.7,11,14,24.039575,37.299324999999996,13.259749999999997,30.669449999999998,-0.0794875000000026,-0.473989142368889,-1.25422633503586,-0.780237192666971,-0.8641077387023746
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,3,0.1,19,22,48.06350833333333,59.69199166666667,11.628483333333335,53.87775,0.22477776666666927,-2.491617754743182,-0.059706399740446364,2.4319113550027356,-1.2756620772418141
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,3,0.3,20,21,52.387655566666666,54.9182889,2.530633333333334,53.65297223333333,0.0,-2.6091441374318456,-2.6989330295995546,-0.08978889216770902,-2.6540385835157
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,3,0.9,17,24,42.610533333333336,64.25286666666666,21.642333333333326,53.4317,-0.22127223333333035,-2.0368464899948284,0.04651136778522145,2.08335785778005,-0.9951675611048035
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,3,2.7,18,23,44.09054166666667,63.11739166666667,19.026850000000003,53.603966666666665,-0.04900556666666489,-1.5934380111897308,0.5826188416864115,2.176056852876142,-0.5054095847516596
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,4,0.1,26,31,69.52426666666666,83.832825,14.308558333333337,76.67854583333333,0.3084374999999966,-0.3007697286287339,-0.5493384228068763,-0.24856869417814237,-0.42505407571780507
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,4,0.3,27,30,73.78829723333334,79.42069723333334,5.632400000000004,76.60449723333335,0.23438890000001322,-0.3333822389601128,-0.4320297883833242,-0.09864754942321136,-0.3827060136717185
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,4,0.9,28,29,75.67360833333333,77.06660833333333,1.3930000000000007,76.37010833333333,0.0,-0.20327980170188353,-0.22873510285011606,-0.025455301148232523,-0.2160074522759998
dynamic_baseline_raw_V,Absolute dynamic-baseline detector level,V,4,2.7,25,32,65.53098333333334,87.16833333333334,21.637349999999998,76.34965833333334,-0.02044999999999675,0.5234003464427206,0.12719535000886129,-0.3962049964338593,0.32529784822579094
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,1,0.1,1,8,0.0,16.8032,16.8032,8.4016,0.2887541666666671,0.012086006254544368,0.009306173505534032,-0.002779832749010336,0.0106960898800392
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,1,0.3,2,7,4.264597233333333,12.374530566666666,8.109933333333332,8.319563899999999,0.20671806666666548,0.022842865663148165,0.020557961980723766,-0.0022849036824243996,0.021700413821935965
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,1,0.9,3,6,6.086941666666666,10.3387,4.251758333333333,8.212820833333332,0.09997499999999881,0.04103931006715489,0.04169493822664466,0.0006556281594897739,0.041367124146899775
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,1,2.7,4,5,7.334133333333333,8.891558333333334,1.5574250000000012,8.112845833333333,0.0,0.05899745977154222,0.05753783277657448,-0.0014596269949677387,0.05826764627405835
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,2,0.1,12,13,27.711108333333335,33.786766666666665,6.07565833333333,30.7489375,0.0,0.009858004348411886,0.009490994079177084,-0.00036701026923480207,0.009674499213794485
corrected_320_360nm_V,Corrected increment at 320–360 nm travel,V,2,0.3,9,16,20.990547233333334,40.7520889,19.761541666666663,30.871318066666667,0.12238056666666708,0.020681816266159447,0.02004663442319632,-0.0006351818429631284,0.020364225344677883
