acquisition_order,instrument_scan_number,block,position_in_block,palindrome_mate_order,source,map_start_time,map_end_time,map_midpoint_time,elapsed_midpoint_min,map_duration_min,speed_um_per_s,baseline_transient_V,baseline_transient_V_spatial_IQR,dynamic_baseline_raw_V,dynamic_baseline_raw_V_spatial_IQR,corrected_320_360nm_V,corrected_320_360nm_V_spatial_IQR,corrected_380_420nm_V,corrected_380_420nm_V_spatial_IQR,corrected_terminal_V,corrected_terminal_V_spatial_IQR,baseline_window_drift_V,baseline_window_drift_V_spatial_IQR,retract_minimum_delta_V,retract_minimum_delta_V_spatial_IQR,retract_minimum_travel_nm,retract_minimum_travel_nm_spatial_IQR
11,19,2,3,14,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.32.03.517.jpk-force-map,2026-09-12T15:32:03.017000+02:00,2026-09-12T15:32:48.348000+02:00,2026-09-12T15:32:25.682500+02:00,24.039575,0.7555166666666667,2.7,0.7515300956555196,0.20598839596080332,-0.473989142368889,0.020508304852766057,0.055859916601293025,0.01015060401419559,0.13074561463438256,0.030471473406333466,0.6218328928772845,0.06321821831102037,0.02782794850715037,0.0061989420968728,-0.7807694421014344,1.2677576378289477,345.28240664581756,42.883713088440174
12,20,2,4,13,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.33.10.264.jpk-force-map,2026-09-12T15:33:09.759000+02:00,2026-09-12T15:39:02.190000+02:00,2026-09-12T15:36:05.974500+02:00,27.711108333333335,5.87385,0.1,0.0006489744853480639,0.003977821563761641,-1.4566006540482759,0.17373129889921457,0.009858004348411886,0.004464575023845091,0.05202500858830095,0.029859198418328653,1.346943384366003,0.05538316033875268,0.001093657535575221,0.0009684314947497885,-0.8569651880850965,1.644669505840096,346.7933719939351,71.13350332751901
13,21,2,5,12,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.39.14.852.jpk-force-map,2026-09-12T15:39:14.351000+02:00,2026-09-12T15:45:06.677000+02:00,2026-09-12T15:42:10.514000+02:00,33.786766666666665,5.8721000000000005,0.1,0.0015671411916174938,0.0026357177824706812,-1.8030568951046106,0.16114024053780152,0.009490994079177084,0.004317699164931549,0.05233627817171593,0.02884201363850364,1.3515973756569164,0.04882975087842967,0.0009178197696553259,0.00107461808525805,-0.7442321636976976,1.4509011609001403,349.55480144540536,67.34278023621704
14,22,2,6,11,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.45.19.105.jpk-force-map,2026-09-12T15:45:18.604000+02:00,2026-09-12T15:46:03.931000+02:00,2026-09-12T15:45:41.267500+02:00,37.299324999999996,0.75545,2.7,0.6889207545785302,0.18974283662572045,-1.25422633503586,0.019082965485173187,0.054878346012088575,0.010986988930676511,0.12803558497591427,0.030433284654025866,0.6415652347102563,0.06853436211650643,0.026678790847014744,0.007747648370008298,-0.6196575905733046,1.331701241502592,353.8246260526686,50.29697979051588
15,23,2,7,10,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.46.27.970.jpk-force-map,2026-09-12T15:46:27.469000+02:00,2026-09-12T15:47:36.111000+02:00,2026-09-12T15:47:01.790000+02:00,38.64136666666666,1.1440333333333332,0.9,0.14142476580354235,0.12249885831498475,-1.840611344382897,0.025753335690794632,0.03927562059286349,0.010008959319779853,0.11127467945879616,0.04258116521124233,1.1364298420029604,0.045371414401840005,0.006832270019031195,0.005528238881000458,-0.675150336994699,1.423516878967606,351.5438168671725,61.21244412458776
16,24,2,8,9,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.47.59.314.jpk-force-map,2026-09-12T15:47:58.814000+02:00,2026-09-12T15:50:18.052667+02:00,2026-09-12T15:49:08.433334+02:00,40.7520889,2.32064445,0.3,0.01135406872628697,0.022298006925212,-2.1146275332878237,0.05658777640762391,0.02004663442319632,0.00740328527471934,0.07888847469883364,0.03733193845644833,1.2986070976334265,0.05128269911533634,0.0021351981000250486,0.002977115230210048,-0.7815311132794669,1.51017533008433,348.57324442645256,60.98915652924393
17,25,3,1,24,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.50.26.125.jpk-force-map,2026-09-12T15:50:25.623000+02:00,2026-09-12T15:51:34.257000+02:00,2026-09-12T15:50:59.940000+02:00,42.610533333333336,1.1439,0.9,0.14882872965568694,0.11304236669968282,-2.0368464899948284,0.023403263546023734,0.03839336008799232,0.008440056329805157,0.11080004096965601,0.03437519514954346,1.13870584769984,0.05091110914374308,0.006323016433287032,0.0036684017295685045,-0.7738462128110395,1.5121268207279852,352.58607259667383,55.87609513146543
18,26,3,2,23,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.52.06.579.jpk-force-map,2026-09-12T15:52:06.078000+02:00,2026-09-12T15:52:51.403000+02:00,2026-09-12T15:52:28.740500+02:00,44.09054166666667,0.7554166666666667,2.7,0.6776879203838481,0.16881920067270006,-1.5934380111897308,0.015565655346299945,0.05442786237634778,0.013109289192770407,0.12810685785403586,0.03625529472023836,0.6647507402574753,0.06052599991944474,0.026331777058656858,0.006877787894219389,-0.8449684870694405,1.2984981936045292,344.37110534967564,42.349403727348204
19,27,3,3,22,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.53.31.481.jpk-force-map,2026-09-12T15:53:30.979000+02:00,2026-09-12T15:59:23.258000+02:00,2026-09-12T15:56:27.118500+02:00,48.06350833333333,5.871316666666667,0.1,0.0011478915848366356,0.0027633869801336752,-2.491617754743182,0.11953530420432879,0.0107631126108223,0.004507830163140769,0.05414034161229908,0.04552078764816436,1.3506138694534164,0.052847468067019676,0.001238586655972762,0.0014240020277588306,-1.2138140412589649,1.4165450715986028,327.3310265738063,60.91388009814324
20,28,3,4,21,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.59.37.465.jpk-force-map,2026-09-12T15:59:36.965000+02:00,2026-09-12T16:01:56.169667+02:00,2026-09-12T16:00:46.567334+02:00,52.387655566666666,2.3200777833333333,0.3,0.015851971913523943,0.020656179805696673,-2.6091441374318456,0.041435549919941916,0.01911141706858277,0.0074847486337078495,0.07791411677583093,0.049253287481528296,1.309204017177148,0.0495925462979554,0.00224510400399458,0.0026528772395930655,-1.1680115028406604,1.646167426572199,332.06512707544607,64.52206539503317
21,29,3,5,20,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.02.09.306.jpk-force-map,2026-09-12T16:02:08.805000+02:00,2026-09-12T16:04:28.005667+02:00,2026-09-12T16:03:18.405334+02:00,54.9182889,2.320011116666667,0.3,0.011185924749087306,0.023236992609381724,-2.6989330295995546,0.03805948539408943,0.019740926949826987,0.008179440882573774,0.0772949969161516,0.049004908676396064,1.3030853554479833,0.055071885193228365,0.002385168363893797,0.0028091294255150334,-1.169478916789692,1.6963624077902248,333.62815164061846,61.576585098015755
22,30,3,6,19,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.05.09.289.jpk-force-map,2026-09-12T16:05:08.793000+02:00,2026-09-12T16:11:00.862000+02:00,2026-09-12T16:08:04.827500+02:00,59.69199166666667,5.867816666666667,0.1,0.0024093113978094884,0.003117033584720614,-0.059706399740446364,0.07654240379697663,0.00939052012331723,0.006687205322201226,0.050041938369599505,0.034487154167383134,1.347259227394403,0.058472169232009596,0.0008811578165550671,0.0015048535546424236,-1.1278574039777562,1.778757529367711,338.158015883819,73.48422630336864
23,31,3,7,18,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.11.08.194.jpk-force-map,2026-09-12T16:11:07.693000+02:00,2026-09-12T16:11:53.010000+02:00,2026-09-12T16:11:30.351500+02:00,63.11739166666667,0.7552833333333333,2.7,0.7036442675291885,0.18131081337334787,0.5826188416864115,0.008040119064365747,0.05482411265809109,0.016496140040528837,0.1239936677417805,0.044484056918375814,0.66129286543602,0.05788539512803548,0.025052907515944134,0.008564413290936351,-0.9137530023041829,1.4194075649507885,344.3475348054251,48.45069267649046
24,32,3,8,17,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.12.04.675.jpk-force-map,2026-09-12T16:12:04.175000+02:00,2026-09-12T16:13:12.785000+02:00,2026-09-12T16:12:38.480000+02:00,64.25286666666666,1.1435,0.9,0.1684919608808175,0.12482614527595462,0.04651136778522145,0.013235897417942226,0.03674839246209189,0.011562591536624645,0.1055696009368039,0.05874111741535304,1.148673499314104,0.05258720650903981,0.006526811450086201,0.0041432414975667575,-0.8081559426206125,1.1492029176345537,347.46610131376497,39.49484042204364
25,33,4,1,32,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.13.33.010.jpk-force-map,2026-09-12T16:13:32.509000+02:00,2026-09-12T16:14:17.825000+02:00,2026-09-12T16:13:55.167000+02:00,65.53098333333334,0.7552666666666668,2.7,0.7033967508511139,0.18799551991761132,0.5234003464427206,0.008816457526587995,0.052301032470885744,0.013777503016765377,0.12493318877904183,0.045695936407701976,0.6590745179623987,0.05525479726786153,0.027012246296873155,0.007844868491491769,-0.5630203079099583,1.2717266789067387,346.6239102666899,44.42585412860575
26,34,4,2,31,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.14.59.227.jpk-force-map,2026-09-12T16:14:58.727000+02:00,2026-09-12T16:20:50.801000+02:00,2026-09-12T16:17:54.764000+02:00,69.52426666666666,5.867900000000001,0.1,0.001642613462823378,0.0023275622854173894,-0.3007697286287339,0.0646631043238402,0.010142375567647216,0.005325858725944127,0.05159659957680275,0.03787267080399447,1.3567622550986633,0.051171735715194844,0.0012272190935675997,0.0015162958579013897,-0.828516629072774,1.5950348543690978,350.54522021395246,67.47991794823275
27,35,4,3,30,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.21.01.539.jpk-force-map,2026-09-12T16:21:01.038000+02:00,2026-09-12T16:23:20.173667+02:00,2026-09-12T16:22:10.605834+02:00,73.78829723333334,2.3189277833333337,0.3,0.01942815003458978,0.02344560302295258,-0.3333822389601128,0.023739355436043275,0.018310165915467205,0.009071362077330447,0.07305526740983605,0.051813121396649536,1.30574037722863,0.052666959519189316,0.0022148968796018853,0.0021277744212740562,-0.7114623026636621,1.3570562835314648,351.8869574886719,51.0111427762032
28,36,4,4,29,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.23.29.925.jpk-force-map,2026-09-12T16:23:29.423000+02:00,2026-09-12T16:24:38.026000+02:00,2026-09-12T16:24:03.724500+02:00,75.67360833333333,1.1433833333333332,0.9,0.16553637935964804,0.12151519567713923,-0.20327980170188353,0.009580633044668496,0.037962295168947086,0.011367899608178487,0.10732925092867479,0.061007215603713916,1.1528545068436151,0.054218989848340726,0.006624367383963478,0.004857602410448941,-0.6346423168980242,1.3878994484179004,353.2896157300338,51.69030042628697
29,37,4,5,28,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.24.53.504.jpk-force-map,2026-09-12T16:24:53.003000+02:00,2026-09-12T16:26:01.606000+02:00,2026-09-12T16:25:27.304500+02:00,77.06660833333333,1.1433833333333332,0.9,0.1675639089144698,0.12418500363207804,-0.22873510285011606,0.007884048342283456,0.03473042000285563,0.013939116381507827,0.10182842143071413,0.06126560342587231,1.154653747934789,0.05282850822440244,0.006224838238348421,0.0050770641530865634,-0.6221418986819107,1.359090695502204,353.73382018900605,47.60277995958103
30,38,4,6,27,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.26.39.509.jpk-force-map,2026-09-12T16:26:38.986000+02:00,2026-09-12T16:28:58.113667+02:00,2026-09-12T16:27:48.549834+02:00,79.42069723333334,2.31879445,0.3,0.016788101454184967,0.020971502081543164,-0.4320297883833242,0.016250809271702027,0.01854471731502612,0.007696169303379151,0.07408744485728844,0.04784437441542656,1.3117224961088176,0.05137609737195459,0.002292517515812692,0.0025705948598999107,-0.5989362527342176,1.4157442118789814,354.1476838410105,52.064246313003196
31,39,4,7,26,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.29.17.790.jpk-force-map,2026-09-12T16:29:17.290000+02:00,2026-09-12T16:35:09.265000+02:00,2026-09-12T16:32:13.277500+02:00,83.832825,5.86625,0.1,0.001684523962015405,0.002578387028441681,-0.5493384228068763,0.039743558129926804,0.010780786215491528,0.006641529274508409,0.048861661399023704,0.03908844237982512,1.3680297106473234,0.06254603870256314,0.0012915198667473038,0.001233405202833826,-0.6369164565069833,1.5556231539729188,354.4882599690586,62.013668813506115
32,40,4,8,25,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-16.35.11.254.jpk-force-map,2026-09-12T16:35:10.752000+02:00,2026-09-12T16:35:56.064000+02:00,2026-09-12T16:35:33.408000+02:00,87.16833333333334,0.7552,2.7,0.6860011473946069,0.18374069414936922,0.12719535000886129,0.0057570536593113675,0.05053976807657419,0.014470795699691251,0.12448632051483047,0.04967614203088218,0.6806473898199388,0.056598856826097554,0.025018656042284627,0.008016264564908587,-0.5066396165072258,1.4390965445738466,354.2788719282171,51.70709500895049
