scanner_travel_bin_center_nm,finite_map_count,global_rho_speed,global_rho_elapsed_time,same_speed_0.1_rho_time,same_speed_0.3_rho_time,same_speed_0.9_rho_time,same_speed_2.7_rho_time,same_speed_rho_time_median,same_speed_rho_time_min,same_speed_rho_time_max,block_1_pair_mean_rho_speed,block_1_pair_mean_2p7_minus_0p1_V,block_2_pair_mean_rho_speed,block_2_pair_mean_2p7_minus_0p1_V,block_3_pair_mean_rho_speed,block_3_pair_mean_2p7_minus_0p1_V,block_4_pair_mean_rho_speed,block_4_pair_mean_2p7_minus_0p1_V,block_pair_mean_rho_speed_median,block_pair_mean_rho_speed_min,block_pair_mean_rho_speed_max,block_pair_mean_2p7_minus_0p1_V_median,block_pair_mean_2p7_minus_0p1_V_min,block_pair_mean_2p7_minus_0p1_V_max
147.5,32,-0.33602438903943493,-0.1228005865102639,0.2142857142857143,-0.2142857142857143,-0.6190476190476191,0.8095238095238096,0.0,-0.6190476190476191,0.8095238095238096,-0.19999999999999998,-0.022721843186989367,-0.19999999999999998,-0.01996925712930002,-0.19999999999999998,-0.01983929912335344,-0.39999999999999997,-0.01925764007482967,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998,-0.01990427812632673,-0.022721843186989367,-0.01925764007482967
152.5,32,-0.2542887268406534,0.03702346041055718,0.38095238095238104,0.023809523809523815,-0.2142857142857143,0.8095238095238096,0.20238095238095244,-0.2142857142857143,0.8095238095238096,-0.39999999999999997,-0.02011812561413729,-0.19999999999999998,-0.018390086484181903,-0.19999999999999998,-0.017997552387212595,-0.19999999999999998,-0.017778932261351185,-0.19999999999999998,-0.39999999999999997,-0.19999999999999998,-0.01819381943569725,-0.02011812561413729,-0.017778932261351185
157.5,32,-0.2633704670849625,0.03519061583577712,-0.38095238095238104,0.3571428571428572,-0.023809523809523815,0.8571428571428572,0.16666666666666669,-0.38095238095238104,0.8571428571428572,-0.19999999999999998,-0.019023140820052444,-0.19999999999999998,-0.017075498461284963,-0.19999999999999998,-0.016490664143189157,-0.19999999999999998,-0.016354366722318273,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.01678308130223706,-0.019023140820052444,-0.016354366722318273
162.5,32,-0.22401625935962327,0.007697947214076245,-0.04761904761904763,-0.07142857142857144,-0.07142857142857144,0.7142857142857144,-0.059523809523809534,-0.07142857142857144,0.7142857142857144,-0.19999999999999998,-0.017105919031650804,-0.19999999999999998,-0.015180710748487633,-0.19999999999999998,-0.014729834983988626,-0.19999999999999998,-0.015010680520719088,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.01509569563460336,-0.017105919031650804,-0.014729834983988626
167.5,32,-0.23007075285582934,0.003299120234604105,0.1666666666666667,0.07142857142857144,-0.523809523809524,0.6190476190476191,0.11904761904761907,-0.523809523809524,0.6190476190476191,-0.19999999999999998,-0.01549494841287561,-0.19999999999999998,-0.01328394779136069,-0.19999999999999998,-0.012386787088941155,-0.19999999999999998,-0.013178841988360421,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.013231394889860556,-0.01549494841287561,-0.012386787088941155
172.5,32,-0.21190727236721119,-0.08760997067448678,0.19047619047619052,-0.7857142857142858,-0.5000000000000001,0.6190476190476191,-0.1547619047619048,-0.7857142857142858,0.6190476190476191,-0.19999999999999998,-0.014418413137811253,-0.19999999999999998,-0.011912788242455882,-0.19999999999999998,-0.012179466389636958,-0.19999999999999998,-0.012820779068397473,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.012500122729017215,-0.014418413137811253,-0.011912788242455882
177.5,32,-0.20282553212290214,-0.021627565982404687,-0.28571428571428575,-0.09523809523809526,-0.261904761904762,0.4523809523809524,-0.1785714285714286,-0.28571428571428575,0.4523809523809524,-0.19999999999999998,-0.012780163845582268,-0.19999999999999998,-0.009682655352912281,-0.19999999999999998,-0.010280417405281041,-0.19999999999999998,-0.010348358579485493,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.010314387992383267,-0.012780163845582268,-0.009682655352912281
182.5,32,-0.20282553212290214,-0.044354838709677415,0.4761904761904762,-0.7857142857142858,-0.4047619047619048,0.30952380952380953,-0.047619047619047644,-0.7857142857142858,0.4761904761904762,-0.19999999999999998,-0.01053999204267042,-0.19999999999999998,-0.007430564643436832,-0.19999999999999998,-0.009671091030863943,-0.19999999999999998,-0.009415313228844504,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.009543202129854223,-0.01053999204267042,-0.007430564643436832
187.5,32,-0.1937437918785931,0.03629032258064516,0.1666666666666667,0.3571428571428572,-0.38095238095238104,0.38095238095238104,0.261904761904762,-0.38095238095238104,0.38095238095238104,-0.19999999999999998,-0.009570832606768588,-0.19999999999999998,-0.006005094566257821,-0.19999999999999998,-0.008949471912004604,-0.19999999999999998,-0.007907791599539759,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.008428631755772182,-0.009570832606768588,-0.006005094566257821
192.5,32,-0.1937437918785931,0.012096774193548385,0.261904761904762,0.261904761904762,-0.7857142857142858,0.5000000000000001,0.261904761904762,-0.7857142857142858,0.5000000000000001,-0.19999999999999998,-0.00759299077150976,-0.19999999999999998,-0.005710085116296865,-0.19999999999999998,-0.006817472720519109,-0.19999999999999998,-0.006190899633378998,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,-0.006504186176949054,-0.00759299077150976,-0.005710085116296865
