scanner_travel_bin_center_nm,block,speed_um_per_s,early_order,late_order,early_position_in_block,late_position_in_block,early_map_median_corrected_V,late_map_median_corrected_V,later_minus_earlier_V,palindrome_pair_mean_corrected_V
7.5,1,2.7,4,5,4,5,-0.7287956619371788,-0.7234831432369148,0.005312518700264057,-0.7261394025870468
7.5,2,0.1,12,13,4,5,7.821439145816456e-05,-0.0005179589832289277,-0.0005961733746870923,-0.0002198722958853816
7.5,2,0.3,9,16,1,8,-0.00965511526028634,-0.006281628772439207,0.0033734864878471327,-0.007968372016362774
7.5,2,0.9,10,15,2,7,-0.14222573885115541,-0.10512057735495006,0.03710516149620535,-0.12367315810305274
7.5,2,2.7,11,14,3,6,-0.6748107159458552,-0.6211484835793649,0.05366223236649026,-0.6479795997626101
7.5,3,0.1,19,22,3,6,0.00016266529880493152,-0.0018087064119436738,-0.0019713717107486053,-0.0008230205565693711
7.5,3,0.3,20,21,4,5,-0.007976029651367789,-0.007036450211951095,0.0009395794394166934,-0.007506239931659442
7.5,3,0.9,17,24,1,8,-0.112699077439264,-0.12486296574919131,-0.012163888309927318,-0.11878102159422765
7.5,3,2.7,18,23,2,7,-0.613637393487746,-0.6244049683013521,-0.010767574813606018,-0.619021180894549
7.5,4,0.1,26,31,2,7,-0.0006763080846385466,-0.0011645487138949862,-0.0004882406292564395,-0.0009204283992667664
7.5,4,0.3,27,30,3,6,-0.0076254790562848285,-0.00657440016837077,0.0010510788879140587,-0.007099939612327799
7.5,4,0.9,28,29,4,5,-0.11886655224618682,-0.122865203216805,-0.0039986509706181755,-0.1208658777314959
7.5,4,2.7,25,32,1,8,-0.6259498735675357,-0.6099161485840587,0.016033724983476993,-0.6179330110757972
12.5,1,0.1,1,8,1,8,-0.0011613894353892373,-0.0007041659128008693,0.00045722352258836807,-0.0009327776740950533
12.5,1,0.3,2,7,2,7,-0.004469850685223098,-0.004650830621879765,-0.00018097993665666667,-0.004560340653551431
12.5,1,0.9,3,6,3,6,-0.10389529178988688,-0.10076123050052607,0.0031340612893608066,-0.10232826114520648
12.5,1,2.7,4,5,4,5,-0.6275675159373104,-0.6194099668246114,0.008157549112699058,-0.6234887413809609
12.5,2,0.1,12,13,4,5,-0.0003386351648382302,-4.0910709911301524e-05,0.00029772445492692867,-0.00018977293737476586
12.5,2,0.3,9,16,1,8,-0.004292900497294194,-0.0018562986065469023,0.002436601890747292,-0.0030745995519205482
12.5,2,0.9,10,15,2,7,-0.08828144910320845,-0.06447778594134801,0.023803663161860444,-0.07637961752227823
12.5,2,2.7,11,14,3,6,-0.5743140680675505,-0.5374827751362873,0.03683129293126319,-0.5558984216019189
12.5,3,0.1,19,22,3,6,0.00036403454036038063,-0.0007068051340173836,-0.0010708396743777642,-0.00017138529682850148
12.5,3,0.3,20,21,4,5,-0.003268886836861107,-0.00274676322373546,0.0005221236131256468,-0.0030078250302982834
12.5,3,0.9,17,24,1,8,-0.07015904611759871,-0.07328293708874131,-0.003123890971142601,-0.07172099160317001
12.5,3,2.7,18,23,2,7,-0.5285836771691726,-0.5282702647828625,0.0003134123863101079,-0.5284269709760177
12.5,4,0.1,26,31,2,7,-0.0008741467768428324,-0.0006222457655249425,0.0002519010113178899,-0.0007481962711838874
12.5,4,0.3,27,30,3,6,-0.0029707674721208555,-0.0030530449849672237,-8.22775128463682e-05,-0.0030119062285440396
12.5,4,0.9,28,29,4,5,-0.07051281300281514,-0.07054775139706525,-3.493839425010303e-05,-0.0705302821999402
12.5,4,2.7,25,32,1,8,-0.5301321449668401,-0.5129925904652174,0.017139554501622745,-0.5215623677160288
17.5,1,0.1,1,8,1,8,-0.0006709962695452543,-0.00021369765847123467,0.0004572986110740196,-0.00044234696400824447
17.5,1,0.3,2,7,2,7,-0.0034019255565090334,-0.002701521020626374,0.0007004045358826594,-0.0030517232885677037
17.5,1,0.9,3,6,3,6,-0.06972793392061818,-0.06306070352611748,0.006667230394500706,-0.06639431872336783
17.5,1,2.7,4,5,4,5,-0.5422702348198494,-0.5355339869828506,0.006736247836998777,-0.53890211090135
17.5,2,0.1,12,13,4,5,-8.072846519868726e-05,-0.0005776751872038632,-0.000496946722005176,-0.00032920182620127525
17.5,2,0.3,9,16,1,8,-0.0013944043020480135,-0.001968790891687444,-0.0005743865896394307,-0.0016815975968677288
17.5,2,0.9,10,15,2,7,-0.054988525849977654,-0.04358617383691432,0.011402352013063333,-0.04928734984344599
17.5,2,2.7,11,14,3,6,-0.4919584812730034,-0.4584877206752913,0.03347076059771209,-0.47522310097414733
17.5,3,0.1,19,22,3,6,0.00016362337226016876,-0.00019984105182066503,-0.0003634644240808338,-1.810883978024813e-05
17.5,3,0.3,20,21,4,5,-0.0025697977400040983,-0.0015621422452145595,0.0010076554947895389,-0.002065969992609329
17.5,3,0.9,17,24,1,8,-0.04595820658267202,-0.04529290730434088,0.000665299278331144,-0.04562555694350645
17.5,3,2.7,18,23,2,7,-0.44649962285334843,-0.4500990325175461,-0.0035994096641976947,-0.4482993276854473
17.5,4,0.1,26,31,2,7,-0.0007576150092819534,-0.00013299422276769057,0.0006246207865142628,-0.00044530461602482196
17.5,4,0.3,27,30,3,6,-0.002255392517051036,-0.0019839657184187454,0.00027142679863229047,-0.0021196791177348906
17.5,4,0.9,28,29,4,5,-0.043172284713689515,-0.04257457341557484,0.0005977112981146726,-0.04287342906463218
17.5,4,2.7,25,32,1,8,-0.4485705007128087,-0.43193902966802933,0.016631471044779356,-0.440254765190419
22.5,1,0.1,1,8,1,8,-0.0005529279690842381,0.0003593276047345606,0.0009122555738187987,-9.680018217483877e-05
22.5,1,0.3,2,7,2,7,-0.0014478784280243795,-0.0020772659428475726,-0.0006293875148231931,-0.001762572185435976
22.5,1,0.9,3,6,3,6,-0.04517328856570482,-0.042697120605149796,0.0024761679605550257,-0.04393520458542731
22.5,1,2.7,4,5,4,5,-0.47230091366642657,-0.46684335182250897,0.005457561843917602,-0.46957213274446774
22.5,2,0.1,12,13,4,5,-0.00010140143770998034,-0.0004676357925933461,-0.00036623435488336575,-0.0002845186151516632
22.5,2,0.3,9,16,1,8,-0.0014333891313561553,-0.00190236400194288,-0.0004689748705867247,-0.0016678765666495177
22.5,2,0.9,10,15,2,7,-0.03464435330254084,-0.029870422061136437,0.0047739312414044055,-0.03225738768183864
22.5,2,2.7,11,14,3,6,-0.4252930618297047,-0.3935446600570641,0.0317484017726406,-0.4094188609433844
22.5,3,0.1,19,22,3,6,-0.0005726804123831197,-0.0004256112701454019,0.0001470691422377178,-0.0004991458412642608
22.5,3,0.3,20,21,4,5,-0.0016688735748751071,-0.001939217152576056,-0.00027034357770094886,-0.0018040453637255816
22.5,3,0.9,17,24,1,8,-0.02898399970742349,-0.02968965070360649,-0.0007056509961829993,-0.02933682520551499
22.5,3,2.7,18,23,2,7,-0.385633673720567,-0.38448587808212875,0.0011477956384382537,-0.3850597759013479
22.5,4,0.1,26,31,2,7,-0.0003993831402263892,-0.00045776999990021494,-5.838685967382573e-05,-0.0004285765700633021
22.5,4,0.3,27,30,3,6,-0.002182715206143021,-0.0020878381235163446,9.487708262667649e-05,-0.002135276664829683
22.5,4,0.9,28,29,4,5,-0.026283235133763336,-0.02644476437159138,-0.00016152923782804252,-0.026363999752677357
22.5,4,2.7,25,32,1,8,-0.3851878872867595,-0.3699448607431146,0.0152430265436449,-0.3775663740149371
27.5,1,0.1,1,8,1,8,-0.00028375660607538045,-0.00040054562122587845,-0.000116789015150498,-0.00034215111365062945
27.5,1,0.3,2,7,2,7,-0.0019621316554355728,-0.0015081258135085096,0.00045400584192706317,-0.0017351287344720412
27.5,1,0.9,3,6,3,6,-0.028487915112475587,-0.026868028431297653,0.0016198866811779344,-0.02767797177188662
27.5,1,2.7,4,5,4,5,-0.4075413122954089,-0.40480919688847794,0.0027321154069309683,-0.4061752545919434
27.5,2,0.1,12,13,4,5,0.00011442928996374668,-0.00031291874904348926,-0.00042734803900723595,-9.924472953987129e-05
27.5,2,0.3,9,16,1,8,-0.00115916598189858,-0.0012312286796465344,-7.206269774795437e-05,-0.0011951973307725572
27.5,2,0.9,10,15,2,7,-0.023355161027823257,-0.017590250888072756,0.005764910139750501,-0.020472705957948006
27.5,2,2.7,11,14,3,6,-0.3671291662895867,-0.3383707157066135,0.028758450582973216,-0.3527499409981001
27.5,3,0.1,19,22,3,6,-0.000585046373541287,-0.0006179045386344751,-3.285816509318812e-05,-0.000601475456087881
27.5,3,0.3,20,21,4,5,-0.0019295237852945402,-0.0018339653441874493,9.555844110709089e-05,-0.0018817445647409947
27.5,3,0.9,17,24,1,8,-0.01979331785487215,-0.018219083582419002,0.0015742342724531476,-0.019006200718645574
27.5,3,2.7,18,23,2,7,-0.3320622483626777,-0.3291120120292618,0.002950236333415901,-0.33058713019596975
27.5,4,0.1,26,31,2,7,-0.001004738168070951,-0.0008227959863763568,0.0001819421816945943,-0.0009137670772236539
27.5,4,0.3,27,30,3,6,-0.0012471627343990932,-0.0013936826182696926,-0.00014651988387059944,-0.001320422676334393
27.5,4,0.9,28,29,4,5,-0.017343366900015825,-0.018316716690573165,-0.0009733497905573402,-0.017830041795294495
27.5,4,2.7,25,32,1,8,-0.3265017735776453,-0.3140291645212314,0.012472609056413897,-0.32026546904943837
32.5,1,0.1,1,8,1,8,-0.0005545215136122938,5.7823696031855665e-05,0.0006123452096441495,-0.0002483489087902191
32.5,1,0.3,2,7,2,7,-0.0017335136367676307,-0.0015150770605376618,0.00021843657622996893,-0.0016242953486526462
32.5,1,0.9,3,6,3,6,-0.021744325290216776,-0.017867743167709643,0.003876582122507133,-0.01980603422896321
32.5,1,2.7,4,5,4,5,-0.35241208730972323,-0.34814194001409715,0.004270147295626081,-0.3502770136619102
32.5,2,0.1,12,13,4,5,-0.00015273693237372044,0.00038913634299531097,0.0005418732753690314,0.00011819970531079527
32.5,2,0.3,9,16,1,8,-0.0014669522938975943,-0.0014824497230114808,-1.549742911388652e-05,-0.0014747010084545376
32.5,2,0.9,10,15,2,7,-0.01667801756269416,-0.013401435546585572,0.003276582016108587,-0.015039726554639865
32.5,2,2.7,11,14,3,6,-0.31171793954354476,-0.28859877606389217,0.023119163479652594,-0.30015835780371847
32.5,3,0.1,19,22,3,6,0.00013580865045081936,0.00010071451711929358,-3.509413333152578e-05,0.00011826158378505647
32.5,3,0.3,20,21,4,5,-0.0016280852313843575,-0.00030714805987130944,0.001320937171513048,-0.0009676166456278334
32.5,3,0.9,17,24,1,8,-0.01519474881897831,-0.013183613583515594,0.002011135235462716,-0.014189181201246952
32.5,3,2.7,18,23,2,7,-0.28134324268041844,-0.2772155410230547,0.004127701657363758,-0.27927939185173656
32.5,4,0.1,26,31,2,7,-0.00016890876733077764,-0.00032627337526230926,-0.00015736460793153162,-0.00024759107129654345
32.5,4,0.3,27,30,3,6,-0.0014402611183172431,-0.0016921607391076898,-0.0002518996207904467,-0.0015662109287124665
32.5,4,0.9,28,29,4,5,-0.012035146320289347,-0.01294423566296482,-0.0009090893426754731,-0.012489690991627084
32.5,4,2.7,25,32,1,8,-0.27884747662511844,-0.2647576562624584,0.014089820362660044,-0.2718025664437884
37.5,1,0.1,1,8,1,8,-0.0007915730816365762,0.0003790995154183685,0.0011706725970549448,-0.00020623678310910387
37.5,1,0.3,2,7,2,7,-0.0020360326305536303,-0.0007518081663945853,0.001284224464159045,-0.0013939203984741078
37.5,1,0.9,3,6,3,6,-0.015003121613167414,-0.013782159198137106,0.0012209624150303078,-0.01439264040565226
37.5,1,2.7,4,5,4,5,-0.3081132695137714,-0.30393296281012594,0.004180306703645442,-0.30602311616194866
37.5,2,0.1,12,13,4,5,0.00017151322535946534,-0.00017221683228030304,-0.0003437300576397684,-3.518034604188536e-07
37.5,2,0.3,9,16,1,8,-0.0008469397155558278,-0.000811471530324015,3.546818523181283e-05,-0.0008292056229399214
