distance_nm,block,block_midpoint_elapsed_min,speed_um_per_s,early_map_order,late_map_order,early_position_in_block,late_position_in_block,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN,pair_centre_elapsed_min,pair_centre_offset_from_block_midpoint_min,pair_time_gap_min
20.0,4,76.37010833333333,0.3,27,30,3,6,925.5384070377738,934.5090947586109,930.0237508981924,4.4853438604185385,76.60449723333335,0.23438890000001322,5.632400000000004
20.0,4,76.37010833333333,0.9,28,29,4,5,1679.1363160537824,1699.8183902671437,1689.477353160463,10.341037106680687,76.37010833333333,0.0,1.3930000000000007
20.0,4,76.37010833333333,2.7,25,32,1,8,3283.537881231836,2999.086765623002,3141.312323427419,142.2255578044169,76.34965833333334,-0.02044999999999675,21.637349999999998
50.0,1,8.112845833333333,0.1,1,8,1,8,275.8467214297426,236.58866560423286,256.21769351698777,19.62902791275488,8.4016,0.2887541666666671,16.8032
50.0,1,8.112845833333333,0.3,2,7,2,7,485.8337016909536,444.8592568550266,465.3464792729901,20.487222417963494,8.319563899999999,0.20671806666666548,8.109933333333332
50.0,1,8.112845833333333,0.9,3,6,3,6,969.1952160504045,949.7714361154831,959.4833260829438,9.711889967460706,8.212820833333332,0.09997499999999881,4.251758333333333
50.0,1,8.112845833333333,2.7,4,5,4,5,1845.3006951149162,1841.810791935463,1843.5557435251894,1.744951589726611,8.112845833333333,0.0,1.5574250000000012
50.0,2,30.7489375,0.1,12,13,4,5,219.27652842369778,217.18436919208884,218.2304488078933,1.046079615804473,30.7489375,0.0,6.07565833333333
50.0,2,30.7489375,0.3,9,16,1,8,428.5993955807041,416.9912419371804,422.79531875894224,5.804076821761839,30.871318066666667,0.12238056666666708,19.761541666666663
50.0,2,30.7489375,0.9,10,15,2,7,883.9254460727204,855.5544878717419,869.7399669722312,14.18547910048926,30.78379583333333,0.03485833333332877,15.715141666666664
50.0,2,30.7489375,2.7,11,14,3,6,1747.4607228536966,1700.9189276545208,1724.1898252541087,23.270897599587897,30.669449999999998,-0.0794875000000026,13.259749999999997
50.0,3,53.65297223333333,0.1,19,22,3,6,259.17866709912784,231.70860644754094,245.4436367733344,13.735030325793446,53.87775,0.22477776666666927,11.628483333333335
50.0,3,53.65297223333333,0.3,20,21,4,5,450.84908156422256,445.00225199541507,447.9256667798188,2.9234147844037466,53.65297223333333,0.0,2.530633333333334
50.0,3,53.65297223333333,0.9,17,24,1,8,859.5421983716949,837.291882818558,848.4170405951264,11.125157776568471,53.4317,-0.22127223333333035,21.642333333333326
50.0,3,53.65297223333333,2.7,18,23,2,7,1670.4093380438803,1649.0939333668937,1659.751635705387,10.657702338493323,53.603966666666665,-0.04900556666666489,19.026850000000003
50.0,4,76.37010833333333,0.1,26,31,2,7,233.69266194945092,225.64387952195352,229.6682707357022,4.0243912137487,76.67854583333333,0.3084374999999966,14.308558333333337
50.0,4,76.37010833333333,0.3,27,30,3,6,412.77524618182997,402.4169207622081,407.596083472019,5.1791627098109245,76.60449723333335,0.23438890000001322,5.632400000000004
50.0,4,76.37010833333333,0.9,28,29,4,5,838.8923813172137,821.9759452064255,830.4341632618195,8.45821805539407,76.37010833333333,0.0,1.3930000000000007
50.0,4,76.37010833333333,2.7,25,32,1,8,1665.000075924122,1580.7090050459701,1622.854540485046,42.14553543907596,76.34965833333334,-0.02044999999999675,21.637349999999998
100.0,1,8.112845833333333,0.1,1,8,1,8,84.0879021368057,60.91385885197988,72.50088049439279,11.587021642412907,8.4016,0.2887541666666671,16.8032
100.0,1,8.112845833333333,0.3,2,7,2,7,188.37869317294434,176.5612573357755,182.46997525435992,5.908717918584415,8.319563899999999,0.20671806666666548,8.109933333333332
100.0,1,8.112845833333333,0.9,3,6,3,6,436.187995755927,426.4716822335496,431.3298389947383,4.858156761188695,8.212820833333332,0.09997499999999881,4.251758333333333
100.0,1,8.112845833333333,2.7,4,5,4,5,838.1897816284741,858.6909042808003,848.4403429546371,10.250561326163108,8.112845833333333,0.0,1.5574250000000012
100.0,2,30.7489375,0.1,12,13,4,5,57.11646061916389,58.689672245359425,57.90306643226165,0.7866058130977684,30.7489375,0.0,6.07565833333333
100.0,2,30.7489375,0.3,9,16,1,8,172.86841736167565,161.92235557254878,167.39538646711222,5.473030894563436,30.871318066666667,0.12238056666666708,19.761541666666663
100.0,2,30.7489375,0.9,10,15,2,7,391.6674338011054,383.001905099013,387.3346694500592,4.332764351046194,30.78379583333333,0.03485833333332877,15.715141666666664
100.0,2,30.7489375,2.7,11,14,3,6,798.3674160501307,768.8752772054986,783.6213466278147,14.746069422316054,30.669449999999998,-0.0794875000000026,13.259749999999997
100.0,3,53.65297223333333,0.1,19,22,3,6,62.86870563734513,63.92681334629198,63.397759491818555,0.5290538544734247,53.87775,0.22477776666666927,11.628483333333335
100.0,3,53.65297223333333,0.3,20,21,4,5,160.68394243980023,153.88101200706183,157.28247722343104,3.4014652163692034,53.65297223333333,0.0,2.530633333333334
100.0,3,53.65297223333333,0.9,17,24,1,8,379.630079357347,362.4270399637925,371.0285596605697,8.601519696777245,53.4317,-0.22127223333333035,21.642333333333326
