source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,42,5,5,50.0,46.31220795084524,38.17192171254552
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,43,5,4,50.0,-13.17880470763099,31.731963533751486
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,44,5,3,50.0,-10.21724491366901,42.66441250811193
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,45,5,2,50.0,57.26540616944586,62.20087597529039
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,46,5,1,50.0,43.64354423378047,42.479220989886585
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,47,5,0,50.0,66.25437487055122,58.726642885776926
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,48,6,0,50.0,69.29601625990814,13.39433724154573
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,49,6,1,50.0,38.49261843048265,42.62325883739532
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,50,6,2,50.0,13.266661946929979,60.01151251892911
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,51,6,3,50.0,4.757271720663503,61.64512403410367
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,52,6,4,50.0,47.4799721110092,76.22741874457152
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,53,6,5,50.0,56.25506414513481,51.92463883658229
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,54,6,6,50.0,85.10313018560052,36.01637995108233
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,55,6,7,50.0,41.93951919403758,50.4460631326428
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,56,7,7,50.0,-122.29052287655078,46.604935608075166
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,57,7,6,50.0,-8.135650541565138,47.14868439530283
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,58,7,5,50.0,45.810740414229606,53.233692164165056
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,59,7,4,50.0,172.10536093868097,52.88979884679686
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,60,7,3,50.0,42.96723432518297,38.255411630723344
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,61,7,2,50.0,28.116664705171114,36.526129656900046
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,62,7,1,50.0,-41.97395227423197,13.590644981171979
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,63,7,0,50.0,96.50811232554345,7.638736224930039
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,0,0,0,100.0,-52.81851385392465,-35.92189206917847
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,1,0,1,100.0,-48.51108495265459,-3.6813614063544615
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,2,0,2,100.0,-116.42096492136211,-24.00843655622444
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,3,0,3,100.0,-2.6430439401307853,2.976604795330559
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,4,0,4,100.0,-117.62664873346127,-7.569732871874465
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,5,0,5,100.0,-78.33628671976614,21.55630454718271
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,6,0,6,100.0,91.837870811351,47.47809114754848
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,7,0,7,100.0,-35.875026665634905,-18.006977834377917
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,8,1,7,100.0,12.296370558498756,14.129426946072078
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,9,1,6,100.0,38.21168573769294,47.59788617178993
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,10,1,5,100.0,-37.46695307778398,5.055692970245951
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,11,1,4,100.0,36.892300840365074,-2.1373300795937946
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,12,1,3,100.0,71.86141373676614,0.8937915036692021
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,13,1,2,100.0,-5.084308335055211,24.678129766766897
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,14,1,1,100.0,73.46092607716463,23.228586321910086
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,15,1,0,100.0,32.83928492170385,7.068320332107428
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,16,2,0,100.0,17.680690104302204,21.278931171705715
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,17,2,1,100.0,68.66986913637994,5.903482238545262
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,18,2,2,100.0,65.5558245989867,9.915255587378402
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,19,2,3,100.0,-67.75730863360035,24.609067284874328
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,20,2,4,100.0,32.50388218983363,53.32575576374242
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,21,2,5,100.0,35.28201318201425,28.201971950722815
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,22,2,6,100.0,23.898728021557112,-6.071762909320683
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,23,2,7,100.0,-81.28444160997293,3.785428159890889
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,24,3,7,100.0,-80.82214602817238,1.4312726341507125
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,25,3,6,100.0,-34.69339387753072,34.52319942434542
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,26,3,5,100.0,77.25544609733083,46.93434236031993
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,27,3,4,100.0,-129.54013137232047,-0.8235464450323278
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,28,3,3,100.0,-78.3315686076045,-3.4754747950959373
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,29,3,2,100.0,-19.030247540391407,20.97376724272734
