source,timestamp,map_order,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,valid_pixels
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,205.0,-9.093912435700915,-53.385062982385115,11.542039047572331,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,210.0,-12.902591925319921,-51.32135404961134,11.058098007819996,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,215.0,-10.361522299075077,-55.48440540188308,13.725373657401812,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,220.0,-6.096074981150242,-53.23249328648022,12.364120592302886,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,225.0,-8.33553464900474,-51.065020499174935,15.632298351195086,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,230.0,-8.876392312756806,-53.305003072523135,16.876741319818798,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,235.0,-7.924114771637089,-53.16473243993153,14.733695772708511,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,240.0,-12.660529168363745,-52.36651607282877,15.223076735934157,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,245.0,-10.252231916828716,-47.482817758457585,14.811152386366036,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,250.0,-13.392516666541907,-52.56098553467462,16.27407991014326,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,255.0,-14.302292774839362,-51.041112171915586,16.378245079613507,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,260.0,-11.65383137909436,-55.62153160704435,13.376831988454505,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,265.0,-14.723767342841958,-46.07971216667349,12.678211904503314,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,270.0,-16.950475981760093,-52.51738322264642,11.62366019025242,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,275.0,-15.740580337003678,-56.160802535297805,11.840575671828075,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,280.0,-19.44821266784531,-51.794559492596505,11.169028973364952,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,285.0,-12.54750118800455,-54.4239536620257,14.027891524666265,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,290.0,-13.147232708367929,-52.862168215965006,16.032722791012837,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,295.0,-12.54129379413844,-48.19850786497998,15.116991059264862,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,300.0,-14.735580152797755,-43.16811967195143,15.86342572777761,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,305.0,-16.644366502974776,-42.64297699095225,15.159860708009878,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,310.0,-16.328771400412236,-38.32374783454478,13.143551114281578,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,315.0,-16.063278634877292,-40.574387855619236,13.800284673283127,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,320.0,-8.777963607733504,-42.42098122708844,13.663560011019491,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,325.0,-13.247515794064654,-41.84996013032447,18.343269844845715,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,330.0,-13.300052591067212,-45.83574430140332,12.061980064256645,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,335.0,-8.774214812446125,-45.74491413570348,14.861634256309388,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,340.0,-11.00023570775208,-44.99890757486876,18.556349464234383,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,345.0,-8.479972259079023,-43.36123093229025,14.613525014612772,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,350.0,-6.7593742189938695,-42.557083993311956,19.91934517929763,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,355.0,-6.064758282523038,-43.00703272902575,22.70316309516697,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,360.0,-9.702307402693013,-45.2637068678385,14.62242328444654,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,365.0,-8.727352037969053,-43.35019218976042,15.88320046662147,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,370.0,-7.389750502416485,-46.85395214247125,17.99781755839478,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,linear_drift_corrected,375.0,-4.843937847577487,-45.243857886858365,21.63034233183712,64
