source,timestamp,point_index,row,column,contact_invOLS_40nm_nm_per_V,contact_invOLS_30nm_nm_per_V,contact_invOLS_50nm_nm_per_V,contact_fit_R2,contact_points,valid_before_map_outlier_filter,retained_for_global_consensus
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,57,7,6,67.65840993771421,66.91040221913474,68.02759242491038,0.9996536114908581,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,58,7,5,59.73391209730166,58.89579700663845,60.5053063055022,0.9997432706791289,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,59,7,4,64.99667794919536,64.91697446001147,65.62560028569013,0.9998009846524426,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,60,7,3,59.135116704029215,59.08896179130273,59.64918537936093,0.9998317841803451,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,61,7,2,61.041813327621604,61.92485389915313,60.50426458655264,0.9996498728494202,40,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,62,7,1,62.378642694368764,61.10941873478891,64.76296603233948,0.9992897813378258,41,True,True
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,63,7,0,64.67951750524642,65.12228879956675,64.72762291353814,0.999810831508316,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,0,0,0,69.34506985899186,69.73918992582365,69.90624966115486,0.9992861909886622,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,1,0,1,77.98439449572841,80.27072725385862,78.64807605586151,0.9985005945461378,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,2,0,2,74.3593755665586,73.52642653759536,76.82563377641975,0.9997055207707792,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,3,0,3,75.82784006611436,73.84045013131802,79.11457019149569,0.9990589342263377,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,4,0,4,60.74216467310061,60.524732724290544,61.27122520468295,0.9998907318967903,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,5,0,5,63.324459763926804,62.496213581228936,67.32499177758287,0.9994678523318098,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,6,0,6,68.18466361347734,67.43640513531564,68.83324974580242,0.9992568219176174,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,7,0,7,73.53504504775799,71.4943625879423,76.50687166283808,0.9991152927061473,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,8,1,7,68.70348457684801,68.56392020046488,70.19394177870846,0.9997459613002921,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,9,1,6,58.21109376864208,57.44185555499091,65.68645913890843,0.9995703733831994,40,True,False
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,10,1,5,60.286631207599264,58.964514517316076,61.29340061932883,0.9992995852298544,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,11,1,4,72.31350733714596,70.8838757922673,75.77118861674691,0.9993834645976659,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,12,1,3,73.33126340866745,71.26770056976471,76.07788415741855,0.999195715809535,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,13,1,2,73.8004252593662,72.59296257879339,75.01711884000623,0.9995826322433513,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,14,1,1,72.51772750423709,70.78629567485844,74.64399222858604,0.9994309121611338,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,15,1,0,73.88058183633765,73.67363544936428,74.62488652191891,0.9995847762875866,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,16,2,0,73.33936057451824,71.34261382388942,75.8235723414964,0.9992376761484638,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,17,2,1,71.91209314998078,70.65563612992052,73.28179117949686,0.999592417702739,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,18,2,2,71.5890518191759,70.826647073142,72.46203848532949,0.9997468783771272,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,19,2,3,72.675642192345,71.48836337626274,74.44035072278541,0.999587491448506,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,20,2,4,71.05107047420864,69.94128632959539,73.4066636455266,0.9996419899387959,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,21,2,5,71.8648067819654,70.37453633748636,74.2734253680396,0.9994571052585329,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,22,2,6,61.77414904152672,59.945156941531515,69.06491486194453,0.9988525219394455,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,23,2,7,63.708375030030126,62.56387025526079,72.16531194552319,0.999554925388377,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,24,3,7,62.0226100478227,60.810599916471496,66.91114881420644,0.9995686239429115,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,25,3,6,73.21511607369904,70.11018558986086,76.75325130029002,0.9978242643724321,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,26,3,5,72.80359440915645,71.83946543934907,74.46310014911167,0.9996353084361098,40,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,27,3,4,71.57536919154639,70.95708549762806,73.4501155681616,0.999809392660543,41,True,True
31-08-26/map-data-2026.08.31-15.01.59.514.jpk-force-map,2026-08-31T15:01:59.514000,28,3,3,70.90114531460303,69.56912003646808,71.81243118831568,0.9995905833197165,41,True,True
