before_map,after_map,pair,metric,unit,paired_pixels,before_median,after_median,paired_difference_after_minus_before_median,paired_difference_q25,paired_difference_q75,Wilcoxon_p_value,Spearman_rho_before_after
3,5,map3_to_map5,local_contact_InvOLS,nm/V,64,70.87707758293335,67.90014040654961,-1.1939026205627066,-2.8797773094689703,0.36830319039035686,0.0025048732575244214,0.7273809523809524
3,5,map3_to_map5,far_slope,pN/100 nm,64,-2.0102264523589968,-1.3287500699492796,0.6785486598441393,-4.686068214435429,5.431183393119608,0.6637890509214112,0.07948717948717948
3,5,map3_to_map5,far_noise,pN,64,22.715914324898705,11.892329105955284,-10.630741205569695,-14.691627683315584,-5.738976512353093,6.5077507626466425e-12,-0.21753663003663
3,5,map3_to_map5,terminal_load,nN,64,14.121144928752486,14.134502901001584,-0.00874559829494359,-0.1662194920135378,0.13013626317663007,0.7431477813467691,0.27829670329670325
3,5,map3_to_map5,gap_speed,um/s,64,1.9947814701622653,1.9983964500005205,0.0036116584087728665,0.001708709052944568,0.005570139189571333,2.4870360896475838e-11,0.4690018315018314
3,5,map3_to_map5,retract_pull_off_force,nN,62,-3.5699273900543202,-4.127762546716346,-0.5505164503272334,-4.105376213650696,0.7322480693730303,0.023324200359463833,0.5846490896728866
3,5,map3_to_map5,retract_detachment_travel,nm,62,19.65692481778153,19.989551760611995,1.538572896314231,-5.505422621791395,11.48122521069795,0.0743719903556236,0.41074261539623785
4,5,map4_to_map5,local_contact_InvOLS,nm/V,64,70.17571802820522,67.90014040654961,-0.8448858026980339,-2.946431810169223,0.35173148548605937,0.001049619701841091,0.8862637362637362
4,5,map4_to_map5,far_slope,pN/100 nm,64,-2.022211426838962,-1.3287500699492796,-0.026717574472261196,-4.351542876133221,3.49896027589051,0.5561964561941721,0.20375457875457875
4,5,map4_to_map5,far_noise,pN,64,17.83929132481017,11.892329105955284,-5.779906627318052,-8.754409519565701,-2.7386347022613666,6.819856375950049e-12,0.040842490842490836
4,5,map4_to_map5,terminal_load,nN,64,14.135646109013813,14.134502901001584,-0.006326434118942181,-0.13904174763614385,0.10493444936858154,0.5472570648834718,0.39835164835164827
4,5,map4_to_map5,gap_speed,um/s,64,1.997512640354073,1.9983964500005205,0.0011424000282127533,-0.00037392684805581666,0.002462783466932128,7.526335972326885e-05,0.6383699633699632
4,5,map4_to_map5,retract_pull_off_force,nN,62,-3.7007746880877965,-4.520153118050897,-0.637667492167491,-4.215766231853964,0.5646419210003712,0.0021095785153554775,0.7391654705245398
4,5,map4_to_map5,retract_detachment_travel,nm,62,18.779979597436096,20.46197587606445,2.87617646081047,-3.200346543888551,10.903153347922675,0.0026624099228818427,0.6861323059102011
