before_map,after_map,pair,baseline_method,distance_nm,time_lag_min,paired_pixels,before_median_pN,after_median_pN,paired_difference_after_minus_before_mean_pN,paired_difference_after_minus_before_median_pN,paired_difference_q25_pN,paired_difference_q75_pN,fraction_after_greater_before,paired_t_p_value,Wilcoxon_p_value,row_block_Wilcoxon_p_value,Pearson_r_before_after,Spearman_rho_before_after,Theil_Sen_delta_endpoint_change_pN,Theil_Sen_delta_endpoint_low_pN,Theil_Sen_delta_endpoint_high_pN
2,4,map2_to_map4,linear_drift_corrected,100.0,53.33301666666667,64,-8.659321240116961,-12.736666576312867,-14.82819828582318,-21.49947265459363,-108.67161759238866,59.32397973780279,0.453125,0.343410056591526,0.2555902102814971,0.640625,0.07817663764482943,0.10238095238095236,63.154667711559355,-58.93366557299773,196.9282245829301
2,4,map2_to_map4,linear_drift_corrected,200.0,53.33301666666667,64,-38.50069759549231,-4.51351301683168,31.268421771701266,25.262995057145453,-31.8405990730885,94.2664838323328,0.625,0.020438583194517492,0.020310379922793047,0.1484375,0.002511749477802472,0.00586080586080586,5.061074262589229,-92.91913857110056,102.20091460637252
2,4,map2_to_map4,far_constant_referenced,20.0,53.33301666666667,64,402.70058242376444,250.5134211807901,-143.64348865244284,-129.59559944903228,-237.20013479288934,-63.79024433800399,0.140625,2.3304211789051486e-07,4.761279961332184e-07,0.0078125,0.6404934006240568,0.7843864468864468,-119.81794188315351,-287.8517741103767,38.176350999993694
2,4,map2_to_map4,far_constant_referenced,50.0,53.33301666666667,64,150.59357995060765,60.939037024241344,-87.13716871264967,-83.6589970882437,-118.83735881138003,-44.555397069568286,0.046875,5.745306137471829e-17,1.572950757315325e-11,0.0078125,0.48751937731597905,0.46254578754578746,-33.595493097858586,-87.96571664589796,32.66927386162
2,4,map2_to_map4,far_constant_referenced,100.0,53.33301666666667,64,41.198046909061134,11.24742829032025,-27.427898788584436,-27.40275702221163,-52.7293231825374,-3.3628491423709166,0.234375,2.630583247862815e-09,1.1804093227224613e-07,0.015625,0.3501245839781685,0.31350732600732595,10.98901270927413,-19.737805881897383,41.134291240322476
2,4,map2_to_map4,far_constant_referenced,200.0,53.33301666666667,64,6.953344308100017,28.859602878470103,19.361262874670096,24.837984578236,-10.330118291640119,47.51019810616842,0.703125,0.0001027241111210259,0.000190246585032079,0.109375,-0.03056768089304101,-0.04052197802197802,-45.16708913262911,-79.33474261682548,-9.623573033291926
2,5,map2_to_map5,linear_drift_corrected,20.0,78.6563,64,392.35065384843665,144.44059012742605,-242.04519482812432,-201.5315357895185,-339.85876915187816,-106.55754302438665,0.046875,2.4897860889281077e-13,1.3079621198163594e-11,0.0078125,0.5980083551566223,0.6820970695970695,-137.72669677661384,-282.17046304500667,-1.624793470093127
2,5,map2_to_map5,linear_drift_corrected,50.0,78.6563,64,135.67832693433365,26.036856573151425,-109.24670393521717,-97.24232085961647,-177.41579132407227,-29.79506766043839,0.1875,1.3358963762049836e-09,1.0790155906904254e-08,0.0078125,0.05198323233479968,0.06195054945054944,-48.86058982016315,-154.60196847713163,54.504604037339384
2,5,map2_to_map5,linear_drift_corrected,100.0,78.6563,64,-8.659321240116961,-8.623712937339743,-21.921736451804584,-6.792764055989203,-99.29694479131683,46.91202452203298,0.46875,0.13741775268996267,0.22102264306190755,0.4609375,-0.15028864146965812,-0.13717948717948716,-35.51739682907527,-134.12340693769337,71.22542102510762
2,5,map2_to_map5,linear_drift_corrected,200.0,78.6563,64,-38.50069759549231,-4.2804993054185845,16.621292347936404,31.139825824229533,-47.62930125095271,82.89931530625938,0.609375,0.2019136681238247,0.16422513016938778,0.25,-0.16447076990536733,-0.14972527472527472,-50.21943843655549,-150.17370979583526,42.275416857624315
2,5,map2_to_map5,far_constant_referenced,20.0,78.6563,64,402.70058242376444,161.93910298190286,-246.78636611768655,-223.73672028723962,-326.52352666631026,-131.9454976984909,0.046875,2.7182891814756274e-15,2.3761347577422386e-11,0.0078125,0.6127199472959596,0.7668498168498167,-96.09449134112134,-251.96287356723707,69.63703835987296
2,5,map2_to_map5,far_constant_referenced,50.0,78.6563,64,150.59357995060765,42.1146917083222,-113.93032405293863,-106.06915160954162,-146.89301645436007,-72.88158392511653,0.0,3.517626662085128e-23,3.5254980732707397e-12,0.0078125,0.46434340234273785,0.46282051282051273,-22.527846491991202,-75.51308326191416,31.82279187817009
2,5,map2_to_map5,far_constant_referenced,100.0,78.6563,64,41.198046909061134,18.170350811662477,-26.464635520602332,-29.621241430915056,-48.47463378812576,-0.2489028403467921,0.234375,4.936422578669415e-10,9.126133342181067e-08,0.015625,0.2431386685197571,0.18841575091575088,-0.18672415297973793,-26.817991951853415,24.927938017437747
2,5,map2_to_map5,far_constant_referenced,200.0,78.6563,64,6.953344308100017,20.921674737121986,12.286072510786308,17.099971035586115,-3.7207264297460303,31.286324269707947,0.6875,0.0015793768817089764,0.0016715317980035358,0.1484375,0.06902646692859221,0.0809981684981685,-15.122878677081324,-40.56517618191079,11.291030214508995
3,4,map3_to_map4,linear_drift_corrected,20.0,26.17201666666667,64,343.32343321474156,259.07078910786294,-115.77989797868901,-96.3478104110417,-165.17996417549838,-28.433211917120676,0.1875,5.0021474780992787e-08,1.2139603806325042e-08,0.0078125,0.8874810156178436,0.8983516483516482,-103.89735476434267,-204.47221685525162,-13.612078069741274
3,4,map3_to_map4,linear_drift_corrected,50.0,26.17201666666667,64,62.33697884967705,38.023205976069235,-43.51290675958754,-36.259073591075506,-108.04426002853504,21.263350074458412,0.34375,0.0003339906917553112,0.0008672836494879511,0.109375,0.7379016258264339,0.7421703296703296,-46.281374205722265,-133.62456960118138,28.10477337935447
3,4,map3_to_map4,linear_drift_corrected,100.0,26.17201666666667,64,-15.2347341054585,-12.736666576312867,-3.0243069267014464,10.746522305865334,-58.93249132964935,55.48658520271695,0.59375,0.7673724468396449,0.9839935035318373,0.640625,0.7503932544997841,0.7523809523809523,-35.01833069788449,-115.01862193917222,34.01771624546125
3,4,map3_to_map4,linear_drift_corrected,200.0,26.17201666666667,64,6.6496989956162675,-4.51351301683168,5.862141087686675,10.082765121161415,-49.42628346230104,59.25272714467388,0.546875,0.5174272340571633,0.5079308692055089,0.4609375,0.6291175041897692,0.6246336996336996,-33.69918084256535,-98.81781631061581,32.20257254118859
3,4,map3_to_map4,far_constant_referenced,20.0,26.17201666666667,64,358.6447205533797,250.5134211807901,-129.30971244487975,-97.5390481632695,-157.57904599953474,-72.24092297365412,0.046875,3.5479268851224636e-12,9.454791110133027e-12,0.0078125,0.9119966826382284,0.9414835164835165,-46.777883054936126,-139.6962653313332,17.127155518521185
3,4,map3_to_map4,far_constant_referenced,50.0,26.17201666666667,64,105.46118890507587,60.939037024241344,-56.809391262265805,-52.37283542283695,-76.97875409712844,-29.87134163021592,0.078125,2.411471960727518e-16,1.6470148194411478e-11,0.0078125,0.839556645039571,0.7982600732600732,-30.770074281849148,-64.93298410371874,4.446030311703877
3,4,map3_to_map4,far_constant_referenced,100.0,26.17201666666667,64,30.244873277247677,11.24742829032025,-15.906358447715856,-19.360762127330627,-33.04590977261711,0.8773536869146397,0.265625,1.4086050072322804e-05,3.908629405944291e-05,0.109375,0.6810195246098107,0.6961080586080586,-16.47758828594587,-44.221627826491506,7.895384942984128
3,4,map3_to_map4,far_constant_referenced,200.0,26.17201666666667,64,38.306262430747104,28.859602878470103,-6.212033141231906,-10.362269596886401,-22.006186305298343,16.23290576634738,0.421875,0.07453052736996607,0.09194011948185131,0.3125,0.5780667187376247,0.5703296703296703,-16.083360873938773,-43.28875390049473,5.966809223244702
3,5,map3_to_map5,linear_drift_corrected,20.0,51.4953,64,343.32343321474156,144.44059012742605,-227.35484582831123,-202.26682343536396,-298.2155362253242,-90.8736167794133,0.078125,5.47028846184468e-13,2.9835671018880914e-11,0.0078125,0.7964904183419348,0.7389652014652013,-170.4562413828854,-294.30543299320925,-43.215602484864775
3,5,map3_to_map5,linear_drift_corrected,50.0,51.4953,64,62.33697884967705,26.036856573151425,-78.6103228553059,-60.63108429135126,-171.16508293908672,11.71247731310871,0.328125,1.530780876390084e-05,9.146281124513315e-05,0.0390625,0.23924352337005161,0.288507326007326,-126.15800981331951,-254.21796334433043,-12.101924745538211
3,5,map3_to_map5,linear_drift_corrected,100.0,51.4953,64,-15.2347341054585,-8.623712937339743,-10.117845092682847,-4.565502121332596,-105.51822368614408,90.41756286813836,0.484375,0.5421482435729312,0.6686509012904026,0.84375,0.0999040123523343,0.1119047619047619,-150.26720179858245,-273.77600932969966,-32.62794026220255
3,5,map3_to_map5,linear_drift_corrected,200.0,51.4953,64,6.6496989956162675,-4.2804993054185845,-8.784988336078186,3.979610986648332,-91.85955845248864,59.525394317846136,0.53125,0.5028769568904699,0.578851644524119,0.84375,0.03609291262418046,0.054029304029304025,-106.05551441974717,-210.54625582856687,-10.947536148963714
3,5,map3_to_map5,far_constant_referenced,20.0,51.4953,64,358.6447205533797,161.93910298190286,-232.4525899101235,-175.6496021161542,-273.34718947426455,-142.87556673715295,0.0,1.4119226353533907e-17,3.5254980732707397e-12,0.0078125,0.8647317016758759,0.8692307692307691,-42.784471137677656,-131.5877502061247,34.88003752240673
3,5,map3_to_map5,far_constant_referenced,50.0,51.4953,64,105.46118890507587,42.1146917083222,-83.60254660255475,-76.60767629684005,-112.24134484890902,-46.18053837880974,0.03125,4.930489154584075e-18,5.14545136045379e-12,0.0078125,0.7149381451274133,0.6284798534798535,-22.861648212150108,-65.15241605652403,21.48324495589183
3,5,map3_to_map5,far_constant_referenced,100.0,51.4953,64,30.244873277247677,18.170350811662477,-14.943095179733753,-13.543371475800964,-39.514146317815595,7.355390836892456,0.328125,0.0020652551504037513,0.0031860847292266427,0.109375,0.2614163841923522,0.26996336996336995,-27.289192230489814,-63.8104737914487,9.351213783205706
3,5,map3_to_map5,far_constant_referenced,200.0,51.4953,64,38.306262430747104,20.921674737121986,-13.28722350511569,-17.780543952179144,-35.03058397667423,9.33224525222384,0.34375,0.002881403519864813,0.004118505459362477,0.3828125,0.15107050612880807,0.20915750915750914,5.284555683150701,-26.455492582002623,34.08712424971731
4,5,map4_to_map5,linear_drift_corrected,20.0,25.32328333333333,64,259.07078910786294,144.44059012742605,-111.57494784962222,-110.22111294856609,-182.8990445124992,-40.59038690914004,0.15625,2.341787482981762e-10,2.761335380721356e-09,0.0078125,0.8692474898552411,0.8001373626373626,-55.497627106879,-171.11779717446237,44.325057354088365
4,5,map4_to_map5,linear_drift_corrected,50.0,25.32328333333333,64,38.023205976069235,26.036856573151425,-35.097416095718366,-22.136947786263356,-95.06462404134783,18.747875286447016,0.359375,0.0022102707351175244,0.003864665775898163,0.1484375,0.39591372447195866,0.3762820512820512,-86.27910734937893,-152.63085169660218,-12.952270242788552
4,5,map4_to_map5,linear_drift_corrected,100.0,25.32328333333333,64,-12.736666576312867,-8.623712937339743,-7.093538165981402,0.8216965020326237,-77.4688587490461,51.81578649010484,0.515625,0.5436180696770836,0.6159750552830681,1.0,0.3284969390494381,0.2541208791208791,-118.3800187149618,-195.68612516445836,-26.354011145671464
4,5,map4_to_map5,linear_drift_corrected,200.0,25.32328333333333,64,-4.51351301683168,-4.2804993054185845,-14.647129423764863,-11.681748269788592,-59.81949138148768,36.36988205205662,0.4375,0.12045481031440403,0.19914163952982888,0.84375,0.27294222990201056,0.1856227106227106,-66.39084420199413,-133.16039707720353,1.2760541102798229
4,5,map4_to_map5,far_constant_referenced,20.0,25.32328333333333,64,250.5134211807901,161.93910298190286,-103.14287746524377,-77.12478754289347,-128.8477822622892,-52.11359981818172,0.015625,1.8251102925247861e-13,4.06386776458881e-12,0.0078125,0.9368088472446858,0.9198717948717947,19.23437484614834,-22.149699384381364,68.97798678400241
4,5,map4_to_map5,far_constant_referenced,50.0,25.32328333333333,64,60.939037024241344,42.1146917083222,-26.79315534028895,-20.391407324784133,-42.56034575457609,-9.335275605131804,0.1875,6.276088473680432e-09,2.013742727307449e-08,0.015625,0.81026458325485,0.7969322344322344,6.057923645516085,-20.762559036119143,31.46720734245416
4,5,map4_to_map5,far_constant_referenced,100.0,25.32328333333333,64,11.24742829032025,18.170350811662477,0.9632632679821038,1.019617669307948,-12.983850071239866,19.133751738967845,0.515625,0.7432759049303552,0.551717865169735,1.0,0.6554374495337114,0.620054945054945,-4.0372280302010175,-28.543210383299726,20.24243961047174
4,5,map4_to_map5,far_constant_referenced,200.0,25.32328333333333,64,28.859602878470103,20.921674737121986,-7.075190363883784,-7.977840106481365,-19.736777185524698,9.40373201644349,0.390625,0.020485143540165552,0.02779348508458246,0.4609375,0.5395284079840329,0.5468406593406593,18.89207850614625,-1.322239058286442,36.97351322163356
