analysis,dataset_subset,baseline_method,fit_variant,parameter,time_model,n,speed_beta_log_per_um_per_s,speed_HC3_SE_log_per_um_per_s,speed_HC3_95CI_low_log_per_um_per_s,speed_HC3_95CI_high_log_per_um_per_s,speed_two_sided_p,high_0p2_vs_low_0p05_percent,high_vs_low_percent_CI_low,high_vs_low_percent_CI_high,model_R2,design_rank,parameter_count,residual_df,design_condition,claim_status
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,global_time_poly1,17,0.05749548807854332,0.21436054902586013,-0.40226216388668534,0.517253140043772,0.7924426637422741,0.8661619829471883,-5.855497606159219,8.06772965466068,0.9868200718832357,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,global_time_poly2,17,0.053296327360958504,0.11223713638706363,-0.1891772641805936,0.2957699189025106,0.6427688753517274,0.8026490038677001,-2.7977755627911027,4.536435303092348,0.9976206949821269,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,global_time_poly3,17,0.02660140051122755,0.08248241496628389,-0.15311234343893368,0.2063151444613888,0.7526161056581806,0.3998181564022036,-2.2705120919834765,3.1431116811549407,0.9985873493087143,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,block_fixed_linear_within,17,0.05556519535209814,0.19010423174115387,-0.35863634373883546,0.46976673444303174,0.7750583806348587,0.8369610278075247,-5.237407791793133,7.300702443669232,0.992174857692456,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,lambda_D_nm,block_fixed_quadratic_within,17,0.04499523107644254,0.21269873865090544,-0.42315153626256186,0.5131419984154469,0.8363308391622563,0.6772112411282794,-6.1500288573512005,8.001107937311328,0.9935522118038935,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly1,17,0.02775668118941682,0.3476089431905868,-0.7177903527666252,0.7733037151454589,0.9374865071255871,0.4172181595016846,-10.207483820844548,12.2990882978929,0.8739695043304102,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly2,17,0.021367009659834568,0.20572150099369382,-0.42306727304705466,0.4658012923667238,0.9188627203987361,0.3210193118007615,-6.148842634803036,7.236897213703099,0.9657590007305833,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly3,17,0.07364296108424831,0.21894856136246296,-0.403404973448634,0.5506908956171307,0.7424168957367855,1.1107681403825236,-5.871634608636736,8.611122602966601,0.9793649774662613,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,block_fixed_linear_within,17,0.03934120726111168,0.31748724666201755,-0.6524040790206063,0.7310864935428296,0.9034345412923359,0.5918627359273767,-9.32247113274125,11.590191915091516,0.9137715013485973,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,linear_drift_corrected,measurement_window_20_200nm,zeta_magnitude_mV,block_fixed_quadratic_within,17,0.0217962985451301,0.29672566416591384,-0.631292484899803,0.6748850819900633,0.942761927917648,0.327479524578656,-9.034863906765631,10.653417122776004,0.9277002756241689,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
