pair_id,concentration_wt_percent,primary_included,load_regime,speed_first_um_per_s,speed_second_um_per_s,same_speed_control,response,predictor,paired_pixel_count,pearson_r,spearman_rho,robust_slope,robust_intercept,robust_inliers
c30_high_load_162734_2_to_164202_1,30,True,high_load,2.0006948003103613,1.0001721841168327,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,128,0.05358975425667253,0.0801478666910822,0.050071723944582765,-4.427740162227318,125
c30_high_load_162734_2_to_165304_4,30,True,high_load,2.0006948003103613,4.00273760231792,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,154,-0.03903317468605145,-0.07120431750412776,0.4148233271739511,-6.20239652775687,146
c30_high_load_162734_2_to_165304_4,30,True,high_load,2.0006948003103613,4.00273760231792,False,delta_snap_distance_nm,delta_contact_height_nm,154,0.015199458920859913,0.016532360744884466,-0.047328011234681056,-4.984571233579657,147
c30_high_load_162734_2_to_165304_4,30,True,high_load,2.0006948003103613,4.00273760231792,False,delta_snap_distance_nm,delta_terminal_load_nN,154,0.02458092242760167,-0.011235696624690933,-0.31813615071901175,-6.705721015882075,146
c30_high_load_162734_2_to_165304_4,30,True,high_load,2.0006948003103613,4.00273760231792,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,154,0.03024793034839893,0.008209500809121303,-0.0026595674320084267,-6.585290340419726,145
c30_high_load_163753_1_to_164202_1,30,True,high_load,1.0001704103420987,1.0001721841168327,True,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,65,-0.20653479111966486,-0.059571678321678326,-1.329311810742471,-0.5146867981168672,58
c30_high_load_163753_1_to_164202_1,30,True,high_load,1.0001704103420987,1.0001721841168327,True,delta_snap_distance_nm,delta_contact_height_nm,65,0.21021724714942652,0.14873251748251748,0.2909906761848645,5.516712948656689,64
c30_high_load_163753_1_to_164202_1,30,True,high_load,1.0001704103420987,1.0001721841168327,True,delta_snap_distance_nm,delta_terminal_load_nN,65,0.05358237628130241,0.09602272727272727,2.1473377240103084,-0.3008381714422216,55
c30_high_load_163753_1_to_164202_1,30,True,high_load,1.0001704103420987,1.0001721841168327,True,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,65,-0.09490302895837806,-0.068006993006993,0.01145598691627388,-0.23263813232811423,57
c30_high_load_163753_1_to_165304_4,30,True,high_load,1.0001704103420987,4.00273760231792,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,63,-0.07226500927165502,-0.12879224270353304,-0.9934457115397214,-3.435590960273361,50
c30_high_load_163753_1_to_165304_4,30,True,high_load,1.0001704103420987,4.00273760231792,False,delta_snap_distance_nm,delta_contact_height_nm,63,0.06949112527295978,0.0704205069124424,0.18261409853621888,-5.319794911472364,52
c30_high_load_163753_1_to_165304_4,30,True,high_load,1.0001704103420987,4.00273760231792,False,delta_snap_distance_nm,delta_terminal_load_nN,63,0.019366114938935957,0.12509600614439323,2.9832830799244228,-2.9465712886899307,51
c30_high_load_163753_1_to_165304_4,30,True,high_load,1.0001704103420987,4.00273760231792,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,63,0.005128161170846242,0.006864439324116743,0.06263278263301977,-3.5887830409483406,54
c30_high_load_164202_1_to_165304_4,30,True,high_load,1.0001721841168327,4.00273760231792,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,113,-0.21150883565763845,-0.09206367689134341,-0.7376065769824258,-3.2789367123471784,92
c30_high_load_164202_1_to_165304_4,30,True,high_load,1.0001721841168327,4.00273760231792,False,delta_snap_distance_nm,delta_contact_height_nm,113,-0.1154570788499392,-0.20051234280391247,-0.08804529022466219,-1.3806880926415046,91
c30_high_load_164202_1_to_165304_4,30,True,high_load,1.0001721841168327,4.00273760231792,False,delta_snap_distance_nm,delta_terminal_load_nN,113,-0.0013155820584053817,0.12330328032470557,-0.29473005680911557,-3.295811599707008,89
c30_high_load_164202_1_to_165304_4,30,True,high_load,1.0001721841168327,4.00273760231792,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,113,-0.026827507104699215,0.04755805442810567,0.03656000635512552,-3.4205841774837284,97
c40_main_170303_2_to_170748_1,40,True,main,2.00069701891158,1.0001694814408835,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,124,-0.15071610805840596,-0.17285287175452396,-1.1748180522542784,0.7149256150955177,116
c40_main_170303_2_to_170748_1,40,True,main,2.00069701891158,1.0001694814408835,False,delta_snap_distance_nm,delta_contact_height_nm,124,-0.1337310297187444,-0.02459795436664044,0.01367839992467604,-0.1377931014222108,116
c40_main_170303_2_to_170748_1,40,True,main,2.00069701891158,1.0001694814408835,False,delta_snap_distance_nm,delta_terminal_load_nN,124,-0.047744027719175505,-0.14352163650668762,-1.127591633282096,0.7568538025585066,116
c40_main_170303_2_to_170748_1,40,True,main,2.00069701891158,1.0001694814408835,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,124,-0.025200274176821198,-0.10532179386309992,-0.02358343013981808,0.950299055647038,116
c40_main_170303_2_to_171839_4,40,True,main,2.00069701891158,4.0027398807261,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,94,-0.031249765755777037,-0.19137376729400718,-0.24345896431335132,-2.831563901446637,91
c40_main_170303_2_to_171839_4,40,True,main,2.00069701891158,4.0027398807261,False,delta_snap_distance_nm,delta_contact_height_nm,94,0.11525602057341382,0.14237618755192716,0.01563556593837426,-4.816267542917133,91
c40_main_170303_2_to_171839_4,40,True,main,2.00069701891158,4.0027398807261,False,delta_snap_distance_nm,delta_terminal_load_nN,94,0.050536031425250635,0.06862695517104361,0.322956789058766,-3.421350007747767,91
c40_main_170303_2_to_171839_4,40,True,main,2.00069701891158,4.0027398807261,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,94,-0.027449880344065748,0.06541921034569953,0.005072368452199274,-3.4271072366243627,91
c40_main_170748_1_to_171839_4,40,True,main,1.0001694814408835,4.0027398807261,False,delta_snap_distance_nm,delta_contact_invOLS_nm_per_V,99,-0.13283977943958772,-0.13450834879406307,-0.3916919930650682,-3.0699401006146214,98
c40_main_170748_1_to_171839_4,40,True,main,1.0001694814408835,4.0027398807261,False,delta_snap_distance_nm,delta_contact_height_nm,99,0.08824852732591999,0.038392084106369816,0.015661616753162886,-4.742024014905881,98
c40_main_170748_1_to_171839_4,40,True,main,1.0001694814408835,4.0027398807261,False,delta_snap_distance_nm,delta_terminal_load_nN,99,0.012175309774380584,-0.034112554112554115,-0.14717917047902812,-4.051018666250948,98
c40_main_170748_1_to_171839_4,40,True,main,1.0001694814408835,4.0027398807261,False,delta_snap_distance_nm,delta_far_slope_pN_per_100nm,99,0.007532652689437603,-0.014644403215831787,-0.002881195461466825,-4.070116866690236,98
