concentration_wt_percent,load_regime,primary_included,variant,velocity_model,scale_mode,fit_valid,invalid_reasons,experimental_velocity_identification,map_count,speed_group_count,n_data,contact_scale_observation_count,likelihood_observation_count,parameter_count,dmin_nm,dmax_nm,contact_shift_nm,excluded_speed_label_um_per_s,lambda_D_nm,lambda_local_ci95_low_nm,lambda_local_ci95_high_nm,zeta_magnitude_mV,zeta_signed_silica_mV,zeta_local_ci95_low_mV,zeta_local_ci95_high_mV,chi_observed_over_no_slip,chi_local_se,chi_local_ci95_low,chi_local_ci95_high,viscosity_mPa_s,force_weighted_rss,joint_force_plus_contact_scale_weighted_rss,aic,aicc,r2,rmse_pN,jacobian_rank,jacobian_condition,optimizer_success,optimizer_status,optimizer_nfev,optimizer_message,local_ci_interpretation,delta_aicc_within_primary_models,aicc_preferred_within_tested_models
30,high_load,True,M2_dmax350,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,264,4,268,15,25.0,350.0,0.0,nan,16.11531287855192,15.861127733049143,16.373571510460057,78.97458918055351,-78.97458918055351,77.25660173058567,80.73078023787829,-0.2645389497958923,0.3486555630195476,-0.9479038533142056,0.41882595372242093,2.0886040760749633,333.2997225428145,524.1484840521603,554.1484840521603,556.0532459569222,0.9956922459379287,20.176919489445215,15,29.761182975257977,True,2,10,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_fixed_unity_scale,M2_fitted_chi,fixed_unity,True,,confounded_with_sequential_map_history,4,3,184,0,184,11,25.0,250.0,0.0,nan,16.78484109437781,16.34284680395138,17.23878917444157,78.37526586408931,-78.37526586408931,76.63255522146679,80.15760771012316,-3.5416295781254683,0.5567046704002007,-4.6327707321098615,-2.450488424141075,2.0886040760749633,1783.3175113968896,1783.3175113968896,1805.3175113968896,1806.85239511782,0.9934045886473347,29.2886191684429,11,21.47216144263046,True,2,13,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_contact_minus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,180,4,184,15,25.0,250.0,-2.5,nan,16.282391025462655,15.938770767537882,16.633419312737896,71.36378063299809,-71.36378063299809,69.75792833304754,73.00660022356173,-1.3910070136186379,0.5384914594143779,-2.4464502740708185,-0.33556375316645726,2.0886040760749633,192.31116211066268,354.7465260984897,384.7465260984897,387.60366895563254,0.9988622299542579,9.423953977647734,15,47.4823456072932,True,3,23,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_contact_plus2p5nm,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,4,3,180,4,184,15,25.0,250.0,2.5,nan,16.28238697729812,15.978728799764689,16.59181584472425,88.27583963970434,-88.27583963970434,85.99150058509436,90.62086149297365,-1.6300008411733191,0.6029732566986556,-2.811828424302684,-0.44817325804395414,2.0886040760749633,235.84002842250163,388.6949386592445,418.6949386592445,421.5520815163873,0.996597307577057,21.233717294650233,15,47.90902829569675,True,3,33,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_leave_out_1um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,2,2,92,2,94,9,25.0,250.0,0.0,1.0,16.81980653217119,16.204057489800956,17.458953842747917,84.4084373466312,-84.4084373466312,80.68455423173866,88.30419109507217,-3.4402984268585057,1.0033563293596168,-5.406876832403355,-1.4737200213136568,2.0886040760749633,213.5616211439098,300.5276021839993,318.5276021839993,320.6704593268565,0.994855026978435,26.883221033920233,9,60.737360200383684,True,4,25,Both `ftol` and `xtol` termination conditions are satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_leave_out_2um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,2,138,3,141,12,25.0,250.0,0.0,2.0,15.809904265069141,15.625166038725512,15.99682667378805,75.50791118593855,-75.50791118593855,74.31583683368181,76.71910718604121,-1.119656037957635,0.31315673757763296,-1.7334432436097957,-0.5058688323054744,2.0886040760749633,93.31408987691324,111.43551996095434,135.43551996095434,137.87301996095434,0.9997002825808412,5.678672994600523,12,43.28278187719939,True,2,18,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
30,high_load,True,M2_leave_out_4um_s,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,2,138,3,141,12,25.0,250.0,0.0,4.0,15.537700640024871,15.196615089978758,15.886441799676245,73.87480665208969,-73.87480665208969,71.94846586454558,75.85272308874829,9.044834035815047,1.2445819729245646,6.6054533688829,11.484214702747193,2.0886040760749633,120.63746957777062,169.04909895198975,193.04909895198975,195.48659895198975,0.9943908901396437,28.06656593432414,12,54.87567083467168,True,3,28,`xtol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
40,main,True,primary,M0_no_hydrodynamic,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,20.34116507597677,20.028536362849103,20.658673662026814,80.87092329040019,-80.87092329040019,78.57786347194984,83.2308991981747,0.0,nan,nan,nan,3.079577977090719,429.47134635579414,432.79556513862474,454.79556513862474,456.8420767665317,0.9992086844208532,11.926173682596623,11,19.697766975472298,True,2,15,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,47.36116039333626,False
40,main,True,primary,M1_no_slip_chi1,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,11,25.0,250.0,0.0,nan,20.03303084582416,19.695039716780787,20.37682231875893,79.72665144435712,-79.72665144435712,77.33197212498331,82.1954849445317,1.0,nan,nan,nan,3.079577977090719,461.66481072260285,467.95835504117224,489.95835504117224,492.0048666690792,0.9991599898920096,12.287641378219394,11,20.097242055724678,True,2,15,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,82.52395029588376,False
40,main,True,primary,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,138,3,141,12,25.0,250.0,0.0,nan,21.52292777619503,20.954212674735807,22.10707828778625,85.83712628766877,-85.83712628766877,82.81361888514306,88.97102129474786,-3.4195874589279343,0.7117347514816796,-4.814587571832027,-2.024587346023842,3.079577977090719,365.0999475085107,383.04341637319544,407.04341637319544,409.48091637319544,0.999263844865184,11.50299535929637,12,73.08008897808985,True,2,16,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,0.0,True
40,main,True,M2_dmin30,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,135,3,138,12,30.0,250.0,0.0,nan,21.766226521433822,21.265003450442464,22.279263583778604,83.27474956784765,-83.27474956784765,80.68836451692867,85.94403861207057,-2.9293045991099964,0.6266364621042894,-4.157512064834403,-1.7010971333855893,3.079577977090719,259.5044871491082,268.77866424621163,292.77866424621163,295.2746642462116,0.9992640591749291,9.138648077658845,12,74.99224530870158,True,2,33,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
40,main,True,M2_dmax150,M2_fitted_chi,contact_constrained,True,,confounded_with_sequential_map_history,3,3,78,3,81,12,25.0,150.0,0.0,nan,20.010385557612814,19.419235730994505,20.61953084617163,83.69479984028825,-83.69479984028825,80.7125974647156,86.78718986051898,-2.611029591926523,1.0286962318974244,-4.627274206445475,-0.5947849774075715,3.079577977090719,96.1321829754209,107.0098068295904,131.0098068295904,135.59804212370804,0.999765777143182,7.830540110000177,12,142.44301077292744,True,2,54,`ftol` termination condition is satisfied.,conditional_bins_correlated_not_map_replication_ci,,
