concentration_wt_percent,slow_speed_um_per_s,fast_speed_um_per_s,comparison,slow_map_timestamp,fast_map_timestamp,distance_nm,paired_pixel_count,spatial_block_size_pixels,spatial_block_count,slow_force_q25_pN,slow_force_median_pN,slow_force_q75_pN,fast_force_q25_pN,fast_force_median_pN,fast_force_q75_pN,median_difference_fast_minus_slow_pN,difference_mad_pN,robust_effect_median_over_mad,difference_pointwise_ci95_low_pN,difference_pointwise_ci95_high_pN,difference_simultaneous_ci95_low_pN,difference_simultaneous_ci95_high_pN,paired_dominance_fast_gt_slow,dominance_pointwise_ci95_low,dominance_pointwise_ci95_high,dominance_simultaneous_ci95_low,dominance_simultaneous_ci95_high,bootstrap_median_positive_fraction,bootstrap_median_negative_fraction,simultaneous_force_difference_excludes_zero,inference_scope
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,25.0,255,4,16,1838.645870018551,1902.4839356571,1957.6647163069574,1861.892483452561,1931.3414511056449,1977.2680785027533,21.955377712517475,112.54187933668831,0.19508629002750347,3.922759752510501,42.53128213599666,-13.960066639303164,57.870822064338114,0.596078431372549,0.546875,0.64453125,0.5140475780295084,0.6781092847155896,1.0,0.0,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,185.0,255,4,16,-31.62090726467796,-12.697165741690036,5.053581798882831,-34.03075774590535,-8.165586934417002,11.132617268587069,0.1576912749263446,34.67520925108625,0.004547666137628418,-3.2341420726443624,4.42827821821947,-8.03168024507391,8.347062794926599,0.5019607843137255,0.44140625,0.5612648221343873,0.40246925121590926,0.6014523174115417,0.5305,0.4695,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,190.0,255,4,16,-31.731495226889116,-13.115773607326194,7.059825723507137,-34.34710037343082,-7.874745398935018,9.843862515154242,-2.292969227983491,35.81096366205365,-0.06402981080381226,-6.455738972857403,3.260644820986185,-11.521892743421628,6.935954287454646,0.4745098039215686,0.4235294117647059,0.5294117647058824,0.3881234686343511,0.5608961392087861,0.1612,0.8388,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,195.0,255,4,16,-33.883234143973255,-15.348991706714118,5.550485484333272,-32.8016679237211,-9.229187609914389,9.929295562979561,-3.3402729054418323,37.31808498856693,-0.08950815419561817,-6.196796312495911,0.5378992250552344,-10.81467421470974,4.134128403826075,0.4549019607843137,0.41015625,0.5019607843137255,0.3789227290537973,0.5308811925148301,0.0311,0.9689,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,200.0,255,4,16,-30.693423925385687,-15.102483565241613,8.298119436959809,-31.033605654161935,-8.044701637697639,9.699551913565866,-1.4454129878147626,34.61494623808677,-0.041756904022701526,-5.021122464353504,3.2171376420282396,-9.761026433520628,6.870200457891103,0.47843137254901963,0.43529411764705883,0.5215686274509804,0.40722735746101424,0.549635387637025,0.1611,0.8389,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,205.0,255,4,16,-31.086972655833343,-13.365523662612777,6.799334487588105,-32.36495086324649,-7.940965983731385,10.546236457174512,-1.2103696515379951,36.06648900799621,-0.03355939779083146,-3.453895124529067,3.9602378396172213,-9.959926122205784,7.539186819129794,0.4823529411764706,0.4330708661417323,0.5333333333333333,0.39818087792303536,0.5665250044299058,0.2632,0.7368,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,210.0,255,4,16,-30.32133758267745,-13.93885001665808,8.091928180878442,-31.325810431717485,-8.743243581526153,8.27932905674498,-1.7788338594957223,34.81156489532264,-0.05109893407103713,-5.476916687023046,2.5876528334633218,-9.602169187089762,6.044501468098318,0.47843137254901963,0.4308300395256917,0.5294117647058824,0.39616625037465664,0.5606964947233826,0.1877,0.8123,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,215.0,255,4,16,-28.858586126019702,-14.410648288302061,6.781984278498522,-30.67573653263559,-8.267364513693746,12.138685488922025,-0.20769374724076783,33.47953813556694,-0.006203602522823475,-4.774516311217795,7.05159738786016,-12.684902407193233,12.269514912711697,0.49411764705882355,0.44313725490196076,0.5490196078431373,0.40584444396529495,0.5823908501523521,0.4022,0.5978,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,220.0,255,4,16,-29.10526990879901,-13.440199148362073,7.4125958026146535,-32.05076096273002,-8.770411004640724,12.299735235374563,-0.4281403706762541,34.15208519010902,-0.012536287851619973,-4.338814371088505,4.045286001125028,-9.73022903235217,8.873948290999664,0.49411764705882355,0.4296875,0.5612648221343873,0.3849510754552974,0.6032842186623497,0.417,0.583,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,225.0,255,4,16,-29.027116081361292,-13.10607623008764,8.998239932739732,-29.43864599213867,-6.042412701391907,7.887417332386601,0.8293724097350932,35.835132478928365,0.023144114514513866,-3.132308821389907,3.40466932221263,-5.976191643167023,7.634936462637209,0.5098039215686274,0.4609375,0.5625,0.4235649233926661,0.5960429197445887,0.6229,0.3771,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,230.0,255,4,16,-29.9648936442834,-10.8291873983383,8.395269478651679,-30.24020938952612,-6.496833596728689,10.710830871966113,-0.4728015281566442,35.59166036459646,-0.013284053716891129,-4.081316968440234,2.484995808004668,-6.730338108804055,5.784735052490767,0.47843137254901963,0.43529411764705883,0.5236220472440944,0.4045360868821809,0.5523266582158584,0.182,0.818,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,235.0,255,4,16,-26.91300545463921,-9.066745625518662,8.684090145580392,-28.880195153488643,-7.072305240736053,10.75329899059658,-1.897514289442583,32.53347419547368,-0.05832498177236111,-5.578564697761449,2.3496414025152923,-9.021980780743132,5.226952201857965,0.47058823529411764,0.41338582677165353,0.5333333333333333,0.3706525657852495,0.5705239048029858,0.1618,0.8382,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
0,1,2,F_2_minus_F_1,2026-08-20T15:06:26.277000,2026-08-20T15:01:47.915000,240.0,255,4,16,-27.589048903997117,-9.957939772963721,7.542373799983161,-27.168314686191522,-6.338541420538411,10.876126106682346,-0.40172650621497397,36.16702236126445,-0.011107536091918656,-4.307197886931078,2.23201187415033,-7.474289497480967,6.670836485051019,0.49411764705882355,0.4448818897637795,0.55078125,0.4063643131079032,0.5818709810097439,0.3852,0.6148,False,conditional_within_area_spatial_blocks; one_sequential_map_per_speed; speed_time_order_confounded
