concentration_wt_percent,load_regime,variant,velocity_model,scale_mode,contact_shift_nm,excluded_speed_label_um_per_s,source,map_intercept_pN_at_window_center,map_linear_slope_pN_per_nm,fitted_map_force_scale,contact_response_constraint_center,contact_response_constraint_sigma
0,main,primary,M0_no_hydrodynamic,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,31.68244100829312,-0.30504766539961964,0.9948511722149888,1.0017534610498218,0.02
0,main,primary,M0_no_hydrodynamic,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,19.056991506360976,-0.09629567066356441,0.9897561633120073,0.9993799353526734,0.02
0,main,primary,M0_no_hydrodynamic,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,25.168703703525242,0.015075288772055936,0.9422552906221808,0.9924312817944358,0.02
0,main,primary,M1_no_slip_chi1,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,27.115673076748777,-0.2885482550169665,0.9969087779514335,1.0017534610498218,0.02
0,main,primary,M1_no_slip_chi1,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,17.221911835493685,-0.09537543566243938,0.9951122414356828,0.9993799353526734,0.02
0,main,primary,M1_no_slip_chi1,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,15.642597219056855,0.06152263374242011,0.9383466961989235,0.9924312817944358,0.02
0,main,primary,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,51.363152876757574,-0.39292950533254667,0.9908322371035051,1.0017534610498218,0.02
0,main,primary,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,27.553723369311825,-0.12024600711730193,0.9728408943570701,0.9993799353526734,0.02
0,main,primary,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,65.99318030206598,-0.19790966155865966,0.9630901882992858,0.9924312817944358,0.02
0,main,M2_dmin30,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.01.47.915.jpk-force-map,54.14548986488057,-0.357575747059483,1.0119141337369415,1.0017534610498218,0.02
0,main,M2_dmin30,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.06.26.277.jpk-force-map,27.742258908543896,-0.08738546226060612,0.9740210366945741,0.9993799353526734,0.02
0,main,M2_dmin30,M2_fitted_chi,contact_constrained,0.0,nan,20-08-26/0/map-data-2026.08.20-15.15.57.076.jpk-force-map,79.35085734396871,-0.2508057644448344,0.9744006899693853,0.9924312817944358,0.02
