block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
2,0.1,0.3,0.19999999999999998,75.0,200.0,140.4668468051112,42.237303494065614,98.22954331104559,491.147716555228,58937.725986627345
2,0.1,0.3,0.19999999999999998,80.0,200.0,141.71036276525336,42.237303494065614,99.47305927118775,497.36529635593877,66315.3728474585
2,0.1,0.3,0.19999999999999998,85.0,200.0,126.37115592884926,42.237303494065614,84.13385243478365,420.6692621739183,62185.89093005749
2,0.1,0.3,0.19999999999999998,90.0,200.0,114.83845951703955,42.237303494065614,72.60115602297394,363.0057801148697,59400.94583697867
2,0.1,0.3,0.19999999999999998,95.0,200.0,112.94634603014364,42.237303494065614,70.70904253607803,353.5452126803902,63974.848008832516
2,0.1,0.3,0.19999999999999998,100.0,200.0,109.49232003485056,42.237303494065614,67.25501654078495,336.2750827039248,67255.01654078496
2,0.1,0.3,0.19999999999999998,105.0,200.0,100.36847293789208,42.237303494065614,58.131169443826465,290.65584721913234,64250.239911597666
2,0.1,0.3,0.19999999999999998,110.0,200.0,91.88941281476372,42.237303494065614,49.6521093206981,248.26054660349052,60685.91139196436
2,0.1,0.3,0.19999999999999998,115.0,200.0,85.78257099555361,42.237303494065614,43.545267501488,217.72633750744,58914.18544318965
2,0.1,0.3,0.19999999999999998,120.0,200.0,81.56709712027762,42.237303494065614,39.32979362621201,196.64896813106006,58994.69043931802
2,0.1,0.3,0.19999999999999998,125.0,200.0,80.18489360131538,42.237303494065614,37.947590107249766,189.73795053624886,63245.98351208295
2,0.1,0.3,0.19999999999999998,130.0,200.0,77.45618978752853,42.237303494065614,35.218886293462916,176.0944314673146,65406.50311643113
2,0.1,0.3,0.19999999999999998,135.0,200.0,65.27912059242003,42.237303494065614,23.041817098354414,115.20908549177209,47856.08166581301
2,0.1,0.3,0.19999999999999998,140.0,200.0,63.04380882802447,42.237303494065614,20.806505333958853,104.03252666979428,48548.512445904
2,0.1,0.3,0.19999999999999998,145.0,200.0,61.72025468884891,42.237303494065614,19.482951194783297,97.4147559739165,51364.14405897416
2,0.1,0.3,0.19999999999999998,150.0,200.0,60.91303875472013,42.237303494065614,18.675735260654513,93.37867630327257,56027.20578196353
2,0.1,0.3,0.19999999999999998,155.0,200.0,58.77834215514267,42.237303494065614,16.541038661077053,82.70519330538527,56974.68872148763
