block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
1,0.9,240.0,3,6,56.45692017846805,51.47094421810351,53.96393219828578,2.4929879801822707
1,0.9,245.0,3,6,48.47989211929524,42.265841221942466,45.372866670618855,3.1070254486763886
1,0.9,250.0,3,6,46.13426484774086,36.0859693275573,41.11011708764908,5.024147760091779
1,0.9,255.0,3,6,44.391947509818436,33.81135088136554,39.10164919559199,5.2902983142264475
1,0.9,260.0,3,6,24.91241752885339,39.91998200368864,32.41619976627101,7.503782237417624
1,0.9,265.0,3,6,18.77031981128293,25.741892062348306,22.25610593681562,3.4857861255326874
1,0.9,270.0,3,6,2.661505541349996,24.91293112511771,13.787218333233852,11.125712791883856
1,0.9,275.0,3,6,18.272943248944802,23.499563910283104,20.886253579613953,2.613310330669151
1,0.9,280.0,3,6,20.08617000650031,19.915523505980474,20.000846756240392,0.08532325025991838
1,0.9,285.0,3,6,3.4331093732605327,22.505042732305466,12.969076052782999,9.535966679522467
1,0.9,290.0,3,6,7.894256222610169,5.804797513292387,6.849526867951278,1.044729354658891
1,0.9,295.0,3,6,0.491329380524038,-1.8345161510670738,-0.6715933852715179,1.1629227657955559
1,0.9,300.0,3,6,-15.498777882008655,-11.062946358173221,-13.280862120090937,2.217915761917717
1,2.7,20.0,4,5,3552.5030422976315,3572.112710944769,3562.3078766212,9.804834323568684
1,2.7,25.0,4,5,3153.350208035063,3153.342189306301,3153.346198670682,0.004009364381090563
1,2.7,30.0,4,5,2799.616232160146,2810.498955932626,2805.057594046386,5.441361886239974
1,2.7,35.0,4,5,2521.4075312165187,2518.857509199634,2520.132520208076,1.275011008442334
1,2.7,40.0,4,5,2253.1286175971313,2248.1258917715218,2250.6272546843265,2.5013629128047796
1,2.7,45.0,4,5,2035.8252100452137,2037.5533786344517,2036.6892943398327,0.8640842946190332
1,2.7,50.0,4,5,1845.3006951149162,1841.810791935463,1843.5557435251894,1.744951589726611
1,2.7,55.0,4,5,1719.3795157835516,1685.1527483629604,1702.266132073256,17.11338371029558
1,2.7,60.0,4,5,1565.3720431222687,1559.9116698904613,1562.641856506365,2.7301866159036763
1,2.7,65.0,4,5,1421.966787835379,1433.4936441606437,1427.7302159980113,5.763428162632408
1,2.7,70.0,4,5,1326.0207763508442,1315.6378645810507,1320.8293204659476,5.1914558848967545
1,2.7,75.0,4,5,1229.0110904365679,1214.6191787733146,1221.8151346049412,7.195955831626634
1,2.7,80.0,4,5,1129.0461219181063,1126.2217235230573,1127.6339227205817,1.412199197524501
1,2.7,85.0,4,5,1050.0875056668574,1030.9539738914114,1040.5207397791344,9.566765887723022
1,2.7,90.0,4,5,978.4787335986981,974.4564961757326,976.4676148872154,2.0111187114827658
1,2.7,95.0,4,5,907.8663879849781,909.3141661494801,908.5902770672292,0.7238890822509916
1,2.7,100.0,4,5,838.1897816284741,858.6909042808003,848.4403429546371,10.250561326163108
1,2.7,105.0,4,5,794.9483891550683,787.6850610909798,791.3167251230241,3.6316640320442275
1,2.7,110.0,4,5,756.5016331823673,726.7049317533617,741.6032824678646,14.898350714502783
1,2.7,115.0,4,5,713.457594215193,682.4274333722408,697.9425137937169,15.515080421476114
1,2.7,120.0,4,5,652.958853685253,649.9124657309362,651.4356597080946,1.5231939771583711
1,2.7,125.0,4,5,604.2708556734317,609.8708773861006,607.0708665297661,2.8000108563344384
1,2.7,130.0,4,5,559.5675197192186,564.3104818087464,561.9390007639824,2.371481044763925
1,2.7,135.0,4,5,529.6474392135763,524.7354873856705,527.1914632996234,2.455975913952898
1,2.7,140.0,4,5,480.1884338042148,489.5925139335061,484.89047386886045,4.702040064645644
