block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN
2,160.0,0.3,73.58121366746154,144.17797334731165
2,160.0,0.9,181.50040491422516,-16.670598412020865
2,160.0,2.7,308.29724930757493,-338.1178139884376
2,165.0,0.1,14.455605883762244,218.0555574141049
2,165.0,0.3,72.90125363337867,150.41780553453128
2,165.0,0.9,175.76524939752812,-15.485961707415413
2,165.0,2.7,286.5078698334891,-352.9874012412209
2,170.0,0.1,12.302030479588076,229.61588033461564
2,170.0,0.3,62.302324931835734,153.53277515767326
2,170.0,0.9,163.7456802953529,-13.791632484905733
2,170.0,2.7,256.4243497426419,-369.35702300738313
2,175.0,0.1,12.890611797787539,242.7278376253892
2,175.0,0.3,52.59808920546624,156.35191540387785
2,175.0,0.9,150.40927522448567,-14.604661583198833
2,175.0,2.7,228.78290533138272,-384.47509144606823
2,180.0,0.1,13.661743452487896,250.91992790712789
2,180.0,0.3,55.21726447411513,166.3920492995651
2,180.0,0.9,140.74980521116464,-16.8431729694816
2,180.0,2.7,205.36823391320127,-400.4688042372114
2,185.0,0.1,10.641615178105084,255.77277888755975
2,185.0,0.3,54.62416847908226,173.67193255934689
2,185.0,0.9,130.33645043703163,-19.38354848879993
2,185.0,2.7,187.90289593749128,-410.06116295810676
2,190.0,0.1,13.087625667780452,264.2984209492336
2,190.0,0.3,54.587280670012845,179.71467632227598
2,190.0,0.9,121.64334492910187,-21.997022424731142
2,190.0,2.7,169.86835247682097,-422.0160748467785
2,195.0,0.1,8.442122611193845,270.2554769742321
2,195.0,0.3,44.63936836795043,180.36932310179873
2,195.0,0.9,116.14235617340847,-16.89545209883937
2,195.0,2.7,147.5525202648228,-433.7293479771916
2,200.0,0.1,4.830232035302401,271.27526170390655
2,200.0,0.3,47.067535529368016,187.42916556878214
2,200.0,0.9,111.96313225377614,-16.44300071290587
2,200.0,2.7,134.3887663766657,-442.2614265597828
3,20.0,0.1,700.3153368158155,-682.0780463605115
3,20.0,0.3,1105.9313078798184,-395.58475446665597
3,20.0,0.9,1730.9484372995773,-2.594065415221678
3,20.0,2.7,3253.3160546374593,1080.256866242389
3,25.0,0.1,558.4595434698284,-589.298904644138
3,25.0,0.3,940.317636554342,-326.5634907297719
3,25.0,0.9,1521.9904057336319,23.0828380811933
3,25.0,2.7,2831.2038106254267,892.7795572927168
3,30.0,0.1,481.4338136217668,-488.20762987414815
3,30.0,0.3,783.1164235139254,-305.64769915213714
3,30.0,0.9,1342.6718074504618,21.881244416074594
3,30.0,2.7,2532.281333324869,771.9740846102106
3,35.0,0.1,404.8766740938431,-405.5810768547315
3,35.0,0.3,666.5651121736415,-263.01531794508077
3,35.0,0.9,1176.3891355724645,14.782265085417691
3,35.0,2.7,2254.937685881713,653.814129714395
3,40.0,0.1,346.90853004468397,-335.6505261391655
3,40.0,0.3,568.8453877086092,-232.83634764538778
3,40.0,0.9,1048.9481254910866,15.239949768764916
3,40.0,2.7,2026.4717854183818,553.2469240157889
3,45.0,0.1,289.73857257598956,-272.4223362524746
3,45.0,0.3,491.1443864633237,-190.139201535288
3,45.0,0.9,916.7389871032615,3.4289587363251144
3,45.0,2.7,1811.9592930986455,459.13257905143786
3,50.0,0.1,245.4436367733344,-239.70645720824137
3,50.0,0.3,447.9256667798188,-156.34710637190454
3,50.0,0.9,848.4170405951264,12.117827075078537
3,50.0,2.7,1659.751635705387,383.9357365050677
3,55.0,0.1,217.2380068664034,-192.99387882566958
3,55.0,0.3,392.1869032865919,-137.16766157562864
3,55.0,0.9,771.8980148802559,10.517009649710815
3,55.0,2.7,1520.5422216624038,319.6445307515874
3,60.0,0.1,188.0081334686866,-153.2732384427814
3,60.0,0.3,343.83401026921473,-116.5700408124008
3,60.0,0.9,697.517951927475,5.087460477534876
3,60.0,2.7,1396.7029959078593,264.7558187776479
3,65.0,0.1,160.4493449206394,-118.92622529695262
3,65.0,0.3,305.9459973285496,-92.55225205919004
3,65.0,0.9,627.350546354333,-3.1741434017312145
3,65.0,2.7,1284.6939961942098,214.65262075787433
3,70.0,0.1,139.72817940456144,-94.22877265588983
3,70.0,0.3,275.0678278444108,-78.01180338618809
3,70.0,0.9,590.1823799962988,5.076308397375385
3,70.0,2.7,1191.7870249238972,167.16426764470253
3,75.0,0.1,118.71298002751692,-64.21012929952764
3,75.0,0.3,243.2613165460153,-58.78447195117684
3,75.0,0.9,543.6944378505127,9.62220898499595
3,75.0,2.7,1086.961306811497,113.37239226570892
3,80.0,0.1,106.3575024012606,-30.821331460309295
3,80.0,0.3,228.15094169652082,-28.150571335196673
3,80.0,0.9,482.33095860490926,-5.996994795132821
3,80.0,2.7,992.8135366709524,64.96889759063907
3,85.0,0.1,94.76959439110114,-13.92110055421307
3,85.0,0.3,215.5725053051466,-12.240868810315192
3,85.0,0.9,451.90404142510283,-7.935773058683537
3,85.0,2.7,933.4542425872698,34.097742423212196
3,90.0,0.1,84.61319514121973,7.841984033741539
3,90.0,0.3,193.202579809248,-2.6913104683778215
3,90.0,0.9,429.41445628357235,1.4941256376219485
3,90.0,2.7,860.7922171232364,-6.644799202985325
3,95.0,0.1,70.55343115198676,29.72938998180274
3,95.0,0.3,174.71706569380393,14.770345353472294
3,95.0,0.9,388.7131204027727,-3.2600403058835354
3,95.0,2.7,790.2501513595364,-41.2396950293911
3,100.0,0.1,63.397759491818555,45.1565563912215
3,100.0,0.3,157.28247722343104,19.91859495268642
3,100.0,0.9,371.0285596605697,1.6382370215005153
3,100.0,2.7,742.1936199539323,-66.7133883654082
3,105.0,0.1,57.03716798309689,61.141919101172846
3,105.0,0.3,144.63751354828406,29.619585496212437
3,105.0,0.9,350.0441097888605,2.9997413684642993
3,105.0,2.7,692.7998081348181,-93.76124596584935
3,110.0,0.1,59.39964452562457,85.4389841065825
3,110.0,0.3,135.70185806291857,42.618518473728955
3,110.0,0.9,318.0398639289407,-7.069916028573516
3,110.0,2.7,643.6388790860478,-120.98758655173759
3,115.0,0.1,46.805054703374275,96.4116990566543
3,115.0,0.3,125.90017158741725,56.384136770549674
3,115.0,0.9,297.7395574157208,-3.802917769471321
3,115.0,2.7,592.0662428077312,-148.9929180577322
3,120.0,0.1,41.066030647077724,112.74455519995666
3,120.0,0.3,125.77127549285048,78.32712087558184
3,120.0,0.9,274.02543452437067,-5.445160461222542
3,120.0,2.7,533.3607650515489,-185.62651561431557
3,125.0,0.1,35.072875845979866,121.66430783972186
3,125.0,0.3,114.59209070286857,82.06084352646303
3,125.0,0.9,259.8023137880401,-4.755373756690005
3,125.0,2.7,505.1045956155069,-198.96977760949443
3,130.0,0.1,38.10156129682075,133.8629687874316
