fit_range,minimum_distance_nm,maximum_distance_nm,block,model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,interaction_rms_pN,residual_rmse_pN,normalized_rmse,first_singular_value_variance_fraction,coefficient_over_bulk_no_slip,optimizer_success,optimizer_nfev,optimizer_message
sensitivity_20_250,20.0,250.0,2,classical_fitted,24725.593593937803,1.0,0.0,260.069891588792,77.49489223901672,0.2979771774640769,0.9990908310493788,0.07854819714964202,True,0,closed form
sensitivity_20_250,20.0,250.0,2,distance_shift_only,79619.4436535476,1.0,44.01618381447739,260.069891588792,32.05007967771329,0.12323640957404285,0.9990908310493788,0.25293482776393333,True,9,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,2,velocity_power_only,40422.06349127718,0.6357402879588464,0.0,260.069891588792,70.86065099532368,0.27246772228199556,0.9990908310493788,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,2,velocity_power_and_shift,124424.50041995343,0.654565353133984,43.10087395836113,260.069891588792,9.308851212192113,0.03579365206531,0.9990908310493788,nan,True,8,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,3,additive_null,0.0,1.0,0.0,251.88870762383277,251.88870762383277,1.0,0.9993092124854182,0.0,True,0,closed form
sensitivity_20_250,20.0,250.0,3,theoretical_no_slip,314782.4455707509,1.0,0.0,251.88870762383277,2919.5736469531826,11.590728597937924,0.9993092124854182,1.0,True,0,fixed physical coefficient
sensitivity_20_250,20.0,250.0,3,classical_fitted,24085.556658260062,1.0,0.0,251.88870762383277,70.47297254256132,0.27977821319328344,0.9993092124854182,0.07651492958760485,True,0,closed form
sensitivity_20_250,20.0,250.0,3,distance_shift_only,73767.58174841761,1.0,41.27421825727511,251.88870762383277,23.877235015066415,0.09479279655015087,0.9993092124854182,0.23434464909459987,True,12,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,3,velocity_power_only,34449.617355953815,0.7244753713982967,0.0,251.88870762383277,66.99056928058577,0.2659530469330471,0.9993092124854182,nan,True,10,`ftol` termination condition is satisfied.
sensitivity_20_250,20.0,250.0,3,velocity_power_and_shift,103845.77078311377,0.7321193331223291,40.99233820783379,251.88870762383277,9.169013913299416,0.03640105187641956,0.9993092124854182,nan,True,12,`ftol` termination condition is satisfied.
