block,distance_nm,speed_intercept_pN,speed_slope_pN_per_um_s,distance_times_speed_slope_pN_nm_per_um_s,speed_linear_r2
2,20.0,723.295393174526,963.105066898699,19262.101337973978,0.9713113967436405
2,25.0,585.7022432998386,872.7278041635537,21818.195104088845,0.9778537111749268
2,30.0,486.5993842746955,788.5733800682833,23657.2014020485,0.9811626503435077
2,35.0,413.34062494071065,712.6505269951883,24942.768444831592,0.9801452623294715
2,40.0,342.9327803812253,655.7426582521124,26229.706330084497,0.9817615375146864
2,45.0,299.0956881335728,598.646841480925,26939.107866641625,0.9795359185960493
2,50.0,248.79018062057972,559.9487093277141,27997.43546638571,0.9831677927494888
2,55.0,221.01748780836343,512.1562758662931,28168.59517264612,0.9819433957310192
2,60.0,190.19879046392793,473.8047831249956,28428.286987499734,0.9774468503962481
2,65.0,172.05153086748254,434.0319012843647,28212.073583483707,0.9780746276399823
2,70.0,150.83647508997072,406.6726295005459,28467.084065038212,0.9769003587598577
2,75.0,133.04494313333464,379.2028528653259,28440.21396489944,0.9758926653861751
2,80.0,120.29856382084839,351.5805596382491,28126.444771059927,0.9738057761495662
2,85.0,103.1490596387598,332.1010969139375,28228.593237684687,0.9762961348325034
2,90.0,96.55510953366294,309.9516838949635,27895.651550546714,0.9784566701522804
2,95.0,89.0544485177786,287.5236451001666,27314.74628451583,0.977787220820149
2,100.0,81.41283343329641,267.6507838110156,26765.078381101557,0.9766045140050235
2,105.0,75.66422303567859,247.50460785210623,25987.983824471154,0.9682907518851802
2,110.0,62.53460032134397,236.8923672639939,26058.160399039327,0.9779622545526073
2,115.0,55.46067291074378,221.6945489031683,25494.873123864356,0.9772095901795959
2,120.0,53.26871821710624,204.5167838105431,24542.014057265173,0.9715323543661866
2,125.0,53.66660118342361,187.9673069048605,23495.91336310756,0.9626322666447731
2,130.0,51.24919972157025,172.39911601445144,22411.885081878685,0.9560685962510709
2,135.0,51.816954454871315,156.58638900437313,21139.16251559037,0.9522496559747442
2,140.0,46.53892900067168,145.51547322583428,20372.1662516168,0.9401705195871524
2,145.0,42.96427119539304,138.90412129986643,20141.097588480632,0.9521846615083196
2,150.0,42.6104152037213,125.58753583781154,18838.13037567173,0.9530183341177778
2,155.0,40.719044202666026,117.51007584382135,18214.06175579231,0.9468058047645522
2,160.0,39.11033881440489,105.21694809393718,16834.71169502995,0.9248189694936279
2,165.0,40.87274922550912,96.53474546153042,15928.23300115252,0.910637497789629
2,170.0,36.821365017344675,86.87223134500996,14768.279328651694,0.8954168487456441
2,175.0,33.677411228097895,77.49280916168264,13561.241603294462,0.8861481452969446
2,180.0,36.10560393126456,67.64365783147765,12175.858409665978,0.8669717248225515
2,185.0,34.30797144736091,61.56831106056665,11390.13754620483,0.8548937023196045
2,190.0,35.83905447219708,53.95759646373195,10251.943328109071,0.8404299665472612
