analysis_variant,acquisition_order,block,speed_um_per_s,distance_nm,available_pixels,original_map_median_force_pN,empirical_hyd_full_model_pN,empirical_hyd_reference_value_pN,empirical_hyd_shape_correction_pN,full_model_corrected_map_median_force_pN,full_model_corrected_map_force_q25_pN,full_model_corrected_map_force_q75_pN,pb_fit_gauge_centered_map_median_force_pN,pb_fit_gauge_centered_map_force_q25_pN,pb_fit_gauge_centered_map_force_q75_pN,map_force_spatial_mad_pN,hyd_reference_distance_nm,hyd_coefficient_pN_nm_per_um_s_to_alpha,hyd_velocity_exponent_alpha,hyd_distance_shift_D0_nm
shared_empirical_20_200,1,1,0.1,235.0,64,9.159194117235764,92.32761038594309,87.50992934265824,4.81768104328485,-83.16841626870732,-100.32739407312211,-62.682229327082496,4.341513073950921,-12.817464730463868,24.827700015575743,27.24633635632492,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,240.0,64,13.136533286180725,90.6638393396962,87.50992934265824,3.1539099970379567,-77.52730605351547,-93.01997048322384,-59.03281228726967,9.982623289142765,-5.510041140565605,28.477117055388568,26.411311885037545,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,245.0,64,7.928865983735309,89.05897016407086,87.50992934265824,1.5490408214126177,-81.13010418033555,-97.24506503781227,-56.98989520157493,6.379825162322689,-9.735135695154028,30.520034141083308,26.0007878671341,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,250.0,64,11.995786281642687,87.50992934265824,87.50992934265824,0.0,-75.51414306101555,-90.36076137766672,-63.61744772302424,11.995786281642694,-2.85083203500848,23.892481619633998,18.699512709966424,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,255.0,64,12.729400557660995,86.01385353924579,87.50992934265824,-1.4960758034124524,-73.28445298158479,-88.44461353341322,-63.51864369024664,14.225476361073447,-0.9346841907549788,23.991285652411598,19.7015175123558,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,260.0,64,13.15691146051544,84.56807193353119,87.50992934265824,-2.941857409127053,-71.41116047301574,-91.56013004846896,-57.153968423255535,16.098768869642498,-4.050200705810724,30.355960919402705,26.876120476601294,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,265.0,64,14.060791181759836,83.17009030886975,87.50992934265824,-4.339839033788493,-69.1092991271099,-89.68373350417258,-53.91724590406811,18.400630215548333,-2.17380416151434,33.59268343859013,25.761321664145175,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,270.0,64,8.53489300727788,81.81757669261393,87.50992934265824,-5.692352650044313,-73.28268368533605,-91.16507839479098,-54.192716470386536,14.227245657322186,-3.6551490521327423,33.3172128722717,27.13467225141276,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,275.0,64,3.772364556865848,80.50834837513518,87.50992934265824,-7.001580967523054,-76.73598381826933,-94.4066277584879,-58.97812791894938,10.773945524388907,-6.896698415829661,28.531801423708856,26.36601742629108,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,280.0,64,9.738746081765091,79.24036015553052,87.50992934265824,-8.269569187127715,-69.50161407376544,-87.88448349076286,-56.294900343291815,18.0083152688928,-0.37455414810462173,31.215028999366425,24.658657050509923,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,285.0,64,8.874164758504783,78.01169368087082,87.50992934265824,-9.498235661787419,-69.13752892236604,-86.29277072815353,-59.59558961532597,18.372400420292195,1.2171586145047115,27.91433972733227,22.89698753791171,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,290.0,64,8.91487140430779,76.82054776211125,87.50992934265824,-10.689381580546993,-67.90567635780346,-78.42544496425178,-46.75608871969358,19.60425298485478,9.084484378406458,40.75384062296466,26.1517530208474,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,295.0,64,-0.696270857360965,75.66522956384627,87.50992934265824,-11.844699778811972,-76.36150042120724,-88.93306953350944,-62.651205554178944,11.148428921451,-1.4231401908511998,24.858723788479296,20.25693958456432,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,1,1,0.1,300.0,64,-2.105048841064837,74.54414657727925,87.50992934265824,-12.96578276537899,-76.64919541834409,-88.3911657399911,-63.51638984698053,10.860733924314147,-0.8812363973328559,23.99353949567771,18.10992328845313,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,5.0,64,2090.3229924243715,1210.0774176534655,178.75506613161025,1031.3223515218554,880.2455747709059,250.16624176468144,1856.201780320449,1059.0006409025161,428.9213078962917,2034.9568464520592,1328.772439262909,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,10.0,64,1391.0780482087794,1082.6066289112298,178.75506613161025,903.8515627796196,308.4714192975496,-27.99209524848743,806.3202748195729,487.2264854291598,150.76297088312282,985.0753409511831,636.3464933524175,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,15.0,64,1443.2944028493455,979.4322384668218,178.75506613161025,800.6771723352115,463.8621643825237,12.599869772723423,636.7389732444439,642.617230514134,191.35493590433367,815.4940393760542,422.27611227450257,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,20.0,64,1200.6988810211087,894.2121830468684,178.75506613161025,715.4571169152582,306.4866979742403,-61.17187495063854,461.4061602074478,485.24176410585056,117.58319118097171,640.161226339058,388.1634159923277,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,25.0,64,1006.4135657336893,822.6350003046539,178.75506613161025,643.8799341730437,183.77856542903544,-93.19739679217719,279.6474463520972,362.5336315606457,85.55766933943306,458.4025124837074,241.7301890308038,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
shared_empirical_20_200,2,1,0.3,30.0,64,858.908155500344,761.6673630198516,178.75506613161025,582.9122968882414,97.24079248049247,-160.5697701454917,169.63429822053,275.9958586121027,18.185295986118547,348.38936435214026,180.09322428779993,250.0,112407.03423471947,0.6501513458457943,37.464890960250294
