analysis_variant,parameter,parameter_label,unit,block,speed_um_per_s,early_map_order,late_map_order,both_maps_usable,pair_mean,pair_half_difference
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.9,10,15,True,44.62018016253599,5.6629530090389935
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,2.7,11,14,False,35.57261023724241,6.113368881690819
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.1,19,22,True,39.832630351347206,2.2991325757967367
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.3,20,21,True,46.367118425616226,0.9479363138997883
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.9,17,24,True,41.77643622343615,0.8159135635305219
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,2.7,18,23,True,43.60021868964692,0.16335585749736836
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.1,26,31,True,34.94173844145887,0.3843048689579369
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.3,27,30,True,38.046571602287656,0.6625062782489977
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.9,28,29,False,43.38120828387109,1.3730288112527838
shared_empirical_20_250,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,2.7,25,32,False,270.9267805550422,220.45101251347648
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.1,1,8,True,8.438991435529383,0.989601096155766
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.3,2,7,False,6.464490210880157,0.7596546084882605
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,0.9,3,6,False,6.60953568978058,0.41676254078922037
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,1,2.7,4,5,True,8.898664052486838,0.21472610823718163
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.1,12,13,True,9.989849356137066,0.11043423898770399
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.3,9,16,True,7.860528816602474,0.7884029096564964
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,0.9,10,15,False,7.333329834919754,0.5523614800289574
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,2,2.7,11,14,False,9.44601491097722,1.8196878244334744
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.1,19,22,True,16.562864352704402,0.29521198140284177
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.3,20,21,True,14.323628993608589,0.5234410814811561
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,0.9,17,24,True,14.414555166614072,0.14126939041525155
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,3,2.7,18,23,True,18.968276936857166,1.5522772166229704
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.1,26,31,True,14.451271737013432,0.3323117125442634
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.3,27,30,True,11.044778343723227,0.39436553489393855
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,0.9,28,29,True,11.205739986635214,0.5156268140718421
block_specific_empirical_20_200,lambda_D_apparent_nm,Apparent Debye length,nm,4,2.7,25,32,False,18.78387301837122,7.607838566996271
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.1,1,8,True,39.43783766415578,1.195616075249621
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.3,2,7,False,50.050555906776694,0.3925695803086846
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,0.9,3,6,False,54.370543448961776,0.543393670559567
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,1,2.7,4,5,True,38.56847929713666,1.1713488150347509
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.1,12,13,True,38.087709132211636,2.3107135080624985
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.3,9,16,True,44.80898619184964,2.033593161788346
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,0.9,10,15,False,49.760006233106864,7.306838031968773
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,2,2.7,11,14,False,37.88481515313314,6.307273284741383
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.1,19,22,True,41.133525227417884,2.2401791906069093
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.3,20,21,True,46.282620722067534,0.41492484324238177
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,0.9,17,24,True,42.60656465921227,0.8888048014141354
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,3,2.7,18,23,True,40.05044175158473,0.7983146341417964
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.1,26,31,True,34.44639980502858,0.38164531710478045
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.3,27,30,True,35.86342389390572,0.6544828671630576
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,0.9,28,29,True,38.4954242229384,0.8951000646976972
block_specific_empirical_20_200,surface_potential_magnitude_apparent_mV,Apparent surface potential,mV,4,2.7,25,32,False,30.51404657713116,4.780914938631851
